ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Portas A.,Kuerten G.,91,5,4,6,4,6,6,4,7,6,6,4,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Fromberg R.,Enqvist T.,80,6,6,4,7,6,4,6,3,6,10,8,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Ivanisevic G.,Pioline C.,70,15,6,4,2,6,7,5,1,6,9,7,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Kucera K.,102,18,6,2,6,4,3,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Costa A.,120,20,6,3,6,7,6,4,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Voinea A.,Spadea V.,95,21,7,6,4,6,4,6,6,3,6,2,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Clavet F.,Hrbaty D.,39,22,3,6,6,1,6,4,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Stafford G.,Safin M.,472,23,7,6,6,4,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek R.,Santoro F.,10,25,6,1,6,2,7,5,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Zabaleta M.,Mantilla F.,33,27,6,1,5,7,6,3,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Behrend T.,Meligeni F.,106,28,6,2,4,6,6,7,6,3,6,0,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Golmard J.,13,31,6,7,6,3,7,6,7,6,,,3,1,Completed
