ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vanek J.,6,78,6,0,7,5,6,3,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Schukin Y.,82,211,6,3,7,5,4,6,6,2,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Zimonjic N.,67,284,6,1,6,4,6,3,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Burgsmuller L.,Elsner D.,185,99,5,7,6,7,6,3,7,5,6,4,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Calatrava A.,Stoliarov A.,50,97,6,3,6,2,3,6,6,4,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Calleri A.,Stoltenberg J.,63,77,7,6,6,4,7,6,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Bastl G.,228,108,6,4,6,4,6,3,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Suzuki T.,64,159,6,3,6,1,6,7,7,6,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Clavet F.,Hantschk M.,40,93,6,2,6,0,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Robredo T.,18,111,6,3,6,2,7,5,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Gonzalez F.,79,116,4,6,7,6,6,4,6,4,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Fukarek O.,133,279,7,6,7,5,6,3,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Dosedel S.,Portas A.,72,51,7,6,6,2,4,6,3,6,6,3,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Balcells J.,46,74,6,3,3,6,7,6,5,7,6,4,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,di Pasquale A.,29,61,6,4,4,6,6,1,7,5,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Alami K.,13,55,6,3,7,5,6,4,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Jones A.,12,400,6,3,7,6,6,2,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Goldstein P.,Puentes G.,80,91,4,6,6,4,6,2,6,1,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Ljubicic I.,19,92,6,0,7,6,6,4,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Haas T.,Massu N.,20,66,6,3,6,1,6,1,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Henman T.,Arazi H.,10,28,7,6,6,4,6,4,,,,,3,0,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Heuberger I.,El Aynaoui Y.,234,31,6,2,5,4,,,,,,,1,0,Retired,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Hewitt L.,Bjorkman J.,7,41,7,5,4,6,2,6,6,3,6,2,3,2,Completed,1.15,4.8,1.31,2.6,1.25,2.6,1.22,3.75
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Lisnard J.,16,214,3,6,3,6,6,4,6,1,6,1,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Ilie A.,Wessels P.,49,130,6,3,6,4,3,6,6,4,,,3,1,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Johansson T.,Behrend T.,34,152,6,1,6,2,6,0,,,,,3,0,Completed,,,,,,,,
