ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Acasuso J.,Vacek J.,85,72,3,6,1,6,6,4,7,6,6,1,3,2,Completed,,,2.35,1.55,2.2,1.55,1.9,1.6,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Heuberger I.,26,114,6,4,6,2,4,6,7,6,,,3,1,Completed,,,1.28,3.5,1.27,3.2,1.15,3.8,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Bachelot J.F,Galvani S.,255,132,6,2,7,5,7,5,,,,,3,0,Completed,,,2,1.75,2.15,1.57,2.1,1.5,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Massu N.,64,100,6,4,,,,,,,,,1,0,Retired,,,1.6,2.3,1.5,2.3,1.4,2.3,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Black B.,Labadze I.,215,104,4,6,4,6,6,3,6,3,7,5,3,2,Completed,,,,,,,,,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Blake J.,Corretja A.,70,16,5,7,7,6,6,3,6,2,,,3,1,Completed,,,2.55,1.48,2.6,1.4,2.2,1.45,2.625,1.444
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Kuerten G.,49,2,3,6,4,6,7,5,6,3,6,3,3,2,Completed,,,2.45,1.53,2.8,1.35,2.3,1.4,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Calatrava A.,Rochus O.,98,111,6,3,3,6,6,3,3,6,6,3,3,2,Completed,,,1.7,2,1.81,1.83,1.75,1.75,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Srichaphan P.,14,83,6,1,6,1,6,4,,,,,3,0,Completed,,,1.33,3.2,1.3,3.05,1.25,3,,
6,Melbourne,Australian Open,14/01/02,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Okun N.,55,113,6,2,6,7,6,3,6,1,,,3,1,Completed,,,1.36,3,1.35,2.8,1.3,2.7,,
