ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Gaston H.,Jasika O.,81,179,703,323,6,2,3,6,6,2,6,2,,,3,1,Completed,1.36,3.2,1.38,3.31,1.38,3.31,1.36,3.11
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Fils A.,Virtanen O.,21,93,2280,627,3,6,7,6,6,4,6,4,,,3,1,Completed,1.13,6,1.13,7.31,1.14,7.31,1.12,6.15
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Monteiro T.,76,105,743,566,4,6,6,7,7,5,6,2,6,3,3,2,Completed,1.2,4.5,1.22,4.82,1.25,4.82,1.21,4.41
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Munar J.,6,62,4210,922,6,3,1,6,7,5,2,6,6,1,3,2,Completed,1.17,5,1.18,5.66,1.18,5.66,1.17,5.12
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Habib H.,Bu Y.,219,67,264,784,7,6,6,4,7,6,,,,,3,0,Completed,3.2,1.36,3.39,1.37,3.39,1.38,3.16,1.36
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Tu L.,29,168,1660,342,6,1,3,6,6,3,7,6,,,3,1,Completed,1.07,9,1.11,8.2,1.12,9,1.09,7.54
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Nagal S.,25,91,1805,635,6,3,6,1,7,5,,,,,3,0,Completed,1.04,13,1.06,12.67,1.07,13,1.05,10.52
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Darderi L.,44,45,1220,1198,6,3,4,1,,,,,,,1,0,Retired,1.62,2.3,1.63,2.45,1.63,2.45,1.61,2.32
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Gigante M.,14,145,2765,403,7,6,7,5,6,4,,,,,3,0,Completed,1.08,8,1.11,8.5,1.11,8.5,1.09,7.38
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Onclin G.,170,239,341,242,3,6,7,6,6,3,6,2,,,3,1,Completed,1.29,3.75,1.33,3.68,1.33,3.75,1.29,3.59
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Walton A.,74,90,756,636,4,6,4,6,6,4,7,6,7,5,3,2,Completed,2,1.8,2.01,1.9,2.01,1.91,1.94,1.87
5,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Pouille L.,2,103,7635,575,6,4,6,4,6,4,,,,,3,0,Completed,1.02,19,1.03,20.73,1.04,20.73,1.02,14.24
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Rinderknech A.,16,61,2560,927,7,6,6,3,4,6,6,7,6,3,3,2,Completed,1.25,4,1.27,4.18,1.3,4.18,1.27,3.8
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Tabilo A.,57,26,981,1705,1,6,6,2,6,3,7,6,,,3,1,Completed,2.63,1.5,2.79,1.5,2.79,1.53,2.61,1.5
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Mensik J.,Basilashvili N.,48,206,1162,273,6,1,6,7,6,3,6,3,,,3,1,Completed,1.17,5,1.16,6.32,1.18,6.32,1.16,5.16
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Michelsen A.,Tsitsipas S.,42,12,1270,3195,7,5,6,3,2,6,6,4,,,3,1,Completed,2.5,1.53,2.44,1.63,2.53,1.63,2.41,1.57
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Muller A.,33,58,1445,965,6,7,6,3,6,2,7,5,,,3,1,Completed,1.67,2.2,1.7,2.3,1.7,2.3,1.67,2.21
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Seyboth Wild T.,59,79,960,732,6,3,6,7,7,5,5,7,7,5,3,2,Completed,1.4,3,1.43,3.1,1.44,3.1,1.41,2.91
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Stricker D.,89,304,637,173,6,2,6,4,6,2,,,,,3,0,Completed,1.73,2.1,1.83,2.08,1.83,2.12,1.73,2.09
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Mccabe J.,Landaluce M.,258,142,216,414,6,4,6,3,6,4,,,,,3,0,Completed,3.5,1.3,3.92,1.3,3.92,1.32,3.56,1.3
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Jarry N.,1,36,11830,1340,7,6,7,6,6,1,,,,,3,0,Completed,1.01,26,1.02,29.95,1.02,29.95,1.02,17.25
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Koepfer D.,27,124,1695,485,7,6,6,4,4,6,6,3,,,3,1,Completed,1.36,3.2,1.39,3.26,1.42,3.26,1.37,3.09
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Schoolkate T.,Daniel T.,173,113,336,519,6,7,7,6,6,1,6,4,,,3,1,Completed,2,1.8,1.97,1.93,2.02,1.93,1.96,1.84
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Vukic A.,Dzumhur D.,68,82,778,679,6,7,6,0,3,6,6,3,6,4,3,2,Completed,1.29,3.75,1.34,3.56,1.34,3.75,1.3,3.51
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Navone M.,18,47,2530,1173,4,6,6,3,3,6,6,3,6,2,3,2,Completed,1.05,11,1.08,11.12,1.11,11.12,1.06,9.71
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Safiullin R.,71,63,766,823,3,6,6,3,6,3,7,6,,,3,1,Completed,1.57,2.38,1.65,2.4,1.67,2.4,1.6,2.33
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Cazaux A.,Baez S.,78,28,732,1690,6,3,5,7,3,6,6,0,6,3,3,2,Completed,1.4,3,1.42,3.13,1.42,3.13,1.4,2.96
5,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Dougaz A.,65,231,807,254,3,6,6,4,7,6,6,3,,,3,1,Completed,1.14,5.5,1.18,5.67,1.18,5.67,1.16,5.18
