ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Portas A.;Kuerten G.;91,0;5,0;4,0;6,0;4,0;6,0;6,0;4,0;7,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Fromberg R.;Enqvist T.;80,0;6,0;6,0;4,0;7,0;6,0;4,0;6,0;3,0;6,0;10,0;8,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Ivanisevic G.;Pioline C.;70,0;15,0;6,0;4,0;2,0;6,0;7,0;5,0;1,0;6,0;9,0;7,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Srichaphan P.;Kucera K.;102,0;18,0;6,0;2,0;6,0;4,0;3,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Rochus C.;Costa A.;120,0;20,0;6,0;3,0;6,0;7,0;6,0;4,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Voinea A.;Spadea V.;95,0;21,0;7,0;6,0;4,0;6,0;4,0;6,0;6,0;3,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Clavet F.;Hrbaty D.;39,0;22,0;3,0;6,0;6,0;1,0;6,0;4,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Stafford G.;Safin M.;472,0;23,0;7,0;6,0;6,0;4,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Krajicek R.;Santoro F.;10,0;25,0;6,0;1,0;6,0;2,0;7,0;5,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Zabaleta M.;Mantilla F.;33,0;27,0;6,0;1,0;5,0;7,0;6,0;3,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Behrend T.;Meligeni F.;106,0;28,0;6,0;2,0;4,0;6,0;6,0;7,0;6,0;3,0;6,0;0,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Henman T.;Golmard J.;13,0;31,0;6,0;7,0;6,0;3,0;7,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Lapentti N.;Medvedev A.;7,0;32,0;6,0;3,0;5,0;7,0;6,0;7,0;6,0;4,0;8,0;6,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Escude N.;Courier J.;34,0;36,0;6,0;7,0;6,0;3,0;7,0;5,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Federer R.;Chang M.;62,0;38,0;6,0;4,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Corretja A.;Sargsian S.;30,0;51,0;7,0;6,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Tieleman L.;Martin A.;89,0;52,0;6,0;2,0;7,0;6,0;6,0;7,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Black W.;Gambill J.M.;151,0;57,0;7,0;6,0;6,0;1,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Vicente F.;Berasategui A.;55,0;59,0;6,0;0,0;6,0;2,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Llodra M.;Gaudio G.;263,0;61,0;6,0;3,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Vinciguerra A.;Gumy H.;99,0;63,0;7,0;6,0;6,0;1,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Ilie A.;Tarango J.;46,0;65,0;6,0;3,0;7,0;6,0;4,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Clement A.;van Lottum J.;54,0;66,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Martin T.;Black B.;9,0;71,0;5,0;7,0;6,0;7,0;6,0;4,0;6,0;2,0;8,0;6,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Sekulov J.;Ljubicic I.;133,0;72,0;7,0;6,0;4,0;6,0;4,0;6,0;7,0;5,0;6,0;0,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Schuettler R.;Marin J.A.;60,0;73,0;6,0;3,0;6,0;3,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Kiefer N.;Canas G.;4,0;74,0;4,0;6,0;6,0;3,0;6,0;4,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Novak J.;Hipfl M.;37,0;75,0;6,0;3,0;4,0;6,0;6,0;3,0;5,0;7,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Schalken S.;Blanco G.;47,0;77,0;7,0;6,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Ferreira W.;Bastl G.;53,0;78,0;6,0;3,0;6,0;3,0;4,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Bjorkman J.;Stoltenberg J.;76,0;81,0;6,0;7,0;6,0;4,0;6,0;4,0;0,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Jonsson F.;Diaz J.;123,0;84,0;4,0;6,0;4,0;6,0;6,0;2,0;7,0;5,0;6,0;3,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Kafelnikov Y.;Knippschild J.;2,0;85,0;6,0;7,0;6,0;4,0;6,0;1,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Hewitt L.;Goldstein P.;17,0;87,0;6,0;2,0;6,0;7,0;7,0;6,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Sluiter R.;Gaudenzi A.;166,0;88,0;3,0;6,0;6,0;1,0;3,0;6,0;6,0;3,0;13,0;11,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Woodruff C.;Damm M.;56,0;92,0;6,0;3,0;7,0;6,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Woodbridge T.;Siemerink J.;204,0;93,0;6,0;4,0;6,0;1,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/00;Grand Slam;Outdoor;Hard;1st Round;5;Mirnyi M.;Agenor R.;67,0;94,0;6,0;7,0;7,0;6,0;6,0;3,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
