ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Coria G.,30,28,7,5,6,2,,,,,,,2,0,Completed,1.62,2.15,1.57,2.15,1.5,2.1,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Blake J.,Boutter J.,120,57,7,6,6,0,,,,,,,2,0,Completed,2.45,1.48,2.35,1.45,2.2,1.45,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Canas G.,Safin M.,33,3,6,3,6,3,,,,,,,2,0,Completed,2.4,1.5,2.25,1.5,2,1.55,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Chang M.,Voltchkov V.,70,77,6,1,6,3,,,,,,,2,0,Completed,1.55,2.25,1.55,2.2,1.5,2.1,1.667,2.1
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Clement A.,Calatrava A.,11,64,4,6,6,4,7,6,,,,,2,1,Completed,1.33,3,1.28,3,1.3,2.7,1.364,2.875
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Escude N.,Vicente F.,31,49,6,4,6,2,,,,,,,2,0,Completed,1.33,3,1.3,2.8,1.3,2.7,1.286,3.25
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Arthurs W.,4,51,6,4,6,4,,,,,,,2,0,Completed,1.33,3,1.25,3.2,1.25,3,1.364,2.875
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Hrbaty D.,22,20,6,3,6,1,,,,,,,2,0,Completed,1.33,3,1.3,2.9,1.35,2.5,,
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Agassi A.,56,2,6,4,7,6,,,,,,,2,0,Completed,5.5,1.1,4.6,1.1,3.8,1.15,6,1.111
49,Cincinnati,Cincinnati TMS,06/08/01,Masters,Outdoor,Hard,1st Round,3,Haas T.,Woodruff C.,16,90,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
