ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Agassi A.,El Aynaoui Y.,6,18,6,4,4,6,6,4,,,,,2,1,Completed,1.167,4.5,1.22,4,,,1.15,3.8,1.143,5
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Arthurs W.,Okun N.,70,118,6,3,7,6,,,,,,,2,0,Completed,1.571,2.25,1.65,2.15,,,1.45,2.2,1.571,2.25
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Blake J.,Pavel A.,30,29,6,4,7,6,,,,,,,2,0,Completed,2,1.727,2.15,1.65,,,2,1.55,2,1.727
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Chang M.,Haas T.,111,3,6,3,6,2,,,,,,,2,0,Completed,5,1.143,4.5,1.18,,,3.3,1.2,4.5,1.167
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Coria G.,Chela J.I.,94,25,6,3,6,4,,,,,,,2,0,Completed,2.25,1.571,2.3,1.57,,,2,1.55,,
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Costa A.,Lapentti N.,7,27,4,6,7,6,6,4,,,,,2,1,Completed,2.1,1.667,2.05,1.72,,,1.85,1.65,2,1.727
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Dent T.,Johansson T.,67,11,6,4,6,3,,,,,,,2,0,Completed,2.25,1.571,2.25,1.6,2.2,1.66,2,1.55,2.2,1.615
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Enqvist T.,Koubek S.,31,37,6,4,6,0,,,,,,,2,0,Completed,1.571,2.25,1.42,2.7,,,1.45,2.2,1.533,2.375
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Ferreira W.,Zabaleta M.,44,32,7,6,7,6,,,,,,,2,0,Completed,1.5,2.5,1.45,2.65,,,1.45,2.2,1.533,2.375
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Delgado R.,8,136,7,6,6,1,,,,,,,2,0,Completed,1.333,3.25,1.22,4,,,1.3,2.7,1.3,3.2
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Norman M.,48,227,6,4,6,2,,,,,,,2,0,Completed,1.286,3.5,1.28,3.5,,,1.25,3,1.3,3.2
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Clement A.,39,41,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Henman T.,Kuerten G.,5,19,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.5,2.5,,,1.55,2,1.533,2.375
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Ginepri R.,1,108,6,0,6,0,,,,,,,2,0,Completed,1.083,7,1.08,7,,,1.1,4.5,1.1,6
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,Grosjean S.,54,10,6,3,3,6,6,4,,,,,2,1,Completed,3.25,1.333,3,1.36,,,2.5,1.35,3.1,1.333
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Mirnyi M.,60,28,6,3,7,6,,,,,,,2,0,Completed,2.1,1.667,2.05,1.72,,,1.85,1.65,2.1,1.667
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Krajicek R.,Novak J.,152,13,6,4,6,4,,,,,,,2,0,Completed,2.375,1.533,2.65,1.45,2.5,1.47,2.2,1.45,2.375,1.533
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Ulihrach B.,85,76,6,3,7,5,,,,,,,2,0,Completed,1.833,1.833,1.85,1.9,,,1.75,1.75,,
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Federer R.,34,14,2,6,6,4,6,3,,,,,2,1,Completed,2.5,1.5,2.65,1.45,,,2.2,1.45,2.5,1.5
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Boutter J.,23,51,6,7,7,6,6,4,,,,,2,1,Completed,1.5,2.5,1.42,2.7,,,1.35,2.5,1.5,2.5
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Moya C.,Saulnier C.,17,166,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.25,3.7,,,1.25,3,1.286,3.25
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Nieminen J.,Nalbandian D.,35,15,3,6,6,3,6,4,,,,,2,1,Completed,2.75,1.4,2.55,1.48,,,2.1,1.5,2.625,1.444
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Philippoussis M.,Santoro F.,77,42,4,6,7,6,6,3,,,,,2,1,Completed,1.615,2.2,1.6,2.25,1.62,2.26,1.5,2.1,1.571,2.25
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Rios M.,Gaudio G.,24,21,6,3,6,2,,,,,,,2,0,Completed,1.727,2,1.75,2,,,1.65,1.85,1.667,2.1
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Martin T.,33,45,4,6,6,4,7,6,,,,,2,1,Completed,2.5,1.5,2.25,1.6,,,2,1.55,2.25,1.571
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Kratochvil M.,9,36,6,3,6,3,,,,,,,2,0,Completed,1.167,4.5,1.25,3.7,,,1.2,3.3,1.182,4.333
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Safin M.,38,2,7,6,6,2,,,,,,,2,0,Completed,2.75,1.4,2.4,1.53,,,2.3,1.4,2.625,1.444
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Sampras P.,Canas G.,16,12,5,7,7,6,6,3,,,,,2,1,Completed,1.909,1.8,1.8,1.95,1.8,1.88,1.75,1.75,1.833,1.833
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Sanguinetti D.,Bjorkman J.,53,47,3,6,6,1,6,2,,,,,2,1,Completed,2.375,1.533,2.3,1.58,,,2.3,1.4,2.5,1.5
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Schalken S.,Mantilla F.,20,50,7,6,4,6,6,3,,,,,2,1,Completed,1.533,2.375,1.5,2.5,,,1.45,2.2,,
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Schuettler R.,Kafelnikov Y.,26,4,6,3,6,2,,,,,,,2,0,Completed,2.625,1.444,2.65,1.45,,,2.5,1.35,2.625,1.444
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,1st Round,3,Vicente F.,Morrison J.,52,101,6,4,6,1,,,,,,,2,0,Completed,2,1.727,1.9,1.85,,,1.75,1.75,2,1.727
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Agassi A.,Coria G.,6,94,6,0,6,2,,,,,,,2,0,Completed,1.125,5.5,1.2,4.25,1.17,4.77,1.2,3.3,1.1,6
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Arthurs W.,Sampras P.,70,16,4,6,6,3,7,6,,,,,2,1,Completed,3,1.364,3,1.36,2.95,1.4,2.5,1.35,3.25,1.286
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Chang M.,Vicente F.,111,52,5,7,7,6,6,0,,,,,2,1,Completed,1.833,1.833,1.9,1.85,1.89,1.75,1.7,1.8,1.833,1.833
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Dent T.,Rios M.,67,24,6,2,6,3,,,,,,,2,0,Completed,2.25,1.571,2.25,1.6,2.35,1.6,2.1,1.5,,
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Enqvist T.,Hrbaty D.,31,54,6,3,6,2,,,,,,,2,0,Completed,1.5,2.5,1.48,2.55,1.5,2.5,1.45,2.2,1.5,2.5
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Ferreira W.,Costa A.,44,7,7,6,6,2,,,,,,,2,0,Completed,1.667,2.1,1.72,2.05,1.75,1.95,1.7,1.8,1.7,2.05
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Blake J.,8,30,6,4,4,6,6,4,,,,,2,1,Completed,1.8,1.909,1.7,2.08,1.75,1.96,1.55,2,1.727,2
47,Cincinnati,Cincinnati TMS,05/08/02,Masters,Outdoor,Hard,2nd Round,3,Gonzalez F.,Henman T.,39,5,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,,
