ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Nadal R.,16,71,6,4,4,6,7,6,,,,,2,1,Completed,1.8,1.909,1.85,1.9,1.8,1.95,1.75,1.75,1.926,1.893
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Arthurs W.,Pavel A.,107,17,7,6,6,3,,,,,,,2,0,Completed,3,1.364,2.65,1.45,2.6,1.45,2.2,1.45,3.5,1.345
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Schalken S.,Norman D.,25,157,6,4,6,3,,,,,,,2,0,Completed,1.3,3.4,1.35,3.1,1.3,3.35,1.35,2.5,1.398,3.16
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Gambill J.M.,9,80,6,4,6,2,,,,,,,2,0,Completed,1.55,2.3,1.68,2.17,1.6,2.25,1.5,2.1,1.633,2.38
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Haas T.,Schuettler R.,67,8,6,3,1,6,6,4,,,,,2,1,Completed,1.727,2,1.9,1.9,1.85,1.9,1.75,1.75,1.98,1.847
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Karlovic I.,Moodie W.,58,135,6,7,7,6,7,6,,,,,2,1,Completed,1.571,2.25,1.67,2.2,1.7,2.1,1.5,2.1,1.578,2.53
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Sargsian S.,Kratochvil M.,59,163,2,6,6,2,7,5,,,,,2,1,Completed,2,1.727,,,2.2,1.65,1.8,1.7,2.37,1.637
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Moya C.,Parmar A.,4,181,3,6,7,5,6,2,,,,,2,1,Completed,1.063,8,1.12,6,1.1,6.23,1.15,3.8,1.087,9.5
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Agassi A.,Fish M.,11,19,4,6,7,6,4,1,,,,,1,1,Retired,1.444,2.625,1.45,2.75,1.45,2.6,1.35,2.5,1.465,2.87
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Malisse X.,26,37,4,6,7,6,7,6,,,,,2,1,Completed,1.667,2.1,1.7,2.15,1.65,2.2,1.55,2,1.735,2.16
46,Cincinnati,Western & Southern Financial Group Masters,02/08/04,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Enqvist T.,96,54,3,6,6,3,6,2,,,,,2,1,Completed,1.571,2.25,1.52,2.55,1.6,2.3,1.45,2.2,1.535,2.67
