ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Volandri F.,34,37,1050,936,4,6,6,3,6,1,,,,,2,1,Completed,1.22,4,1.2,4.55,1.23,3.89,1.25,3.2,1.244,4.7
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Ljubicic I.,81,17,498,1415,6,7,7,6,7,5,,,,,2,1,Completed,3,1.36,2.95,1.4,2.85,1.4,2.9,1.3,3,1.455
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Martin A.,56,62,665,627,6,6,,,,,,,,,0,0,Retired,1.3,3.39,1.33,3.3,1.32,3.22,1.25,3.2,1.327,3.76
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Henman T.,Massu N.,12,31,1515,1060,6,2,6,1,,,,,,,2,0,Completed,1.36,3,1.33,3.3,1.4,2.85,1.35,2.7,1.376,3.46
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Horna L.,Rochus C.,63,49,610,732,6,3,6,0,,,,,,,2,0,Completed,1.36,3,1.33,3.3,1.35,3.1,1.4,2.5,1.389,3.37
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Melzer J.,5,41,3130,865,6,3,6,4,,,,,,,2,0,Completed,1.05,8.5,1.06,9,1.06,7.79,1.07,4.5,1.061,14.5
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Monfils G.,Stepanek R.,46,16,755,1415,6,3,6,2,,,,,,,2,0,Completed,1.83,1.83,1.95,1.85,1.9,1.85,1.95,1.65,1.98,1.926
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Saulnier C.,26,69,1195,545,6,2,3,6,7,6,,,,,2,1,Completed,1.28,3.5,1.3,3.5,1.3,3.35,1.2,3.6,1.377,3.45
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Koubek S.,24,91,1245,458,0,6,6,3,6,2,,,,,2,1,Completed,1.28,3.5,1.3,3.5,1.3,3.35,1.25,3.2,1.26,4.45
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Coria G.,Srichaphan P.,10,45,1745,785,6,4,6,2,,,,,,,2,0,Completed,1.5,2.5,1.55,2.45,1.5,2.45,1.5,2.2,1.526,2.7
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Djokovic N.,18,97,1385,440,3,6,7,6,6,4,,,,,2,1,Completed,1.28,3.5,1.3,3.5,1.28,3.46,1.25,3.2,1.364,3.55
49,Cincinnati,Western & Southern Financial Group Masters,15/08/05,Masters,Outdoor,Hard,1st Round,3,Beck K.,Novak J.,39,23,912,1285,6,4,6,3,,,,,,,2,0,Completed,2,1.72,2,1.81,2.05,1.75,1.9,1.7,1.935,1.971
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Ancic M.,Mello R.,27,55,1175,678,6,2,6,3,,,,,,,2,0,Completed,1.3,3.39,1.37,3.1,1.3,3.35,1.35,2.7,1.405,3.27
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Nalbandian D.,Pavel A.,11,40,1680,875,6,2,7,6,,,,,,,2,0,Completed,1.25,3.75,1.28,3.65,1.3,3.35,1.3,2.9,1.275,4.34
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Federer R.,Blake J.,1,70,6500,545,7,6,7,5,,,,,,,2,0,Completed,1.05,9,1.06,9,1.05,8.5,1.07,4.5,1.055,15.25
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Lapentti N.,38,87,915,472,6,1,6,4,,,,,,,2,0,Completed,1.36,3,1.33,3.3,1.35,3.1,1.3,2.9,1.322,3.81
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Gasquet R.,Lopez F.,15,25,1459,1215,7,5,4,6,6,1,,,,,2,1,Completed,1.44,2.62,1.45,2.75,1.4,2.85,1.45,2.35,1.418,3.19
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Mathieu P.H.,Haas T.,43,28,808,1125,6,3,2,6,6,1,,,,,2,1,Completed,1.57,2.25,1.57,2.4,1.6,2.25,1.8,1.8,1.571,2.63
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,Johansson T.,20,13,1341,1480,6,1,7,5,,,,,,,2,0,Completed,1.66,2.1,1.73,2.1,1.65,2.2,1.7,1.9,1.676,2.38
49,Cincinnati,Western & Southern Financial Group Masters,16/08/05,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Puerta M.,58,9,645,1762,7,6,6,1,,,,,,,2,0,Completed,1.57,2.25,1.62,2.3,1.55,2.35,1.55,2.1,1.637,2.47
