ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Henman T.,21,92,1270,450,6,4,3,6,6,3,,,,,2,1,Completed,1.44,2.62,1.4,2.85,1.4,2.85,1.543,2.74,1.44,2.7
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Hrbaty D.,10,31,1880,915,6,3,6,1,,,,,,,2,0,Completed,1.3,3.4,1.33,3.2,1.3,3.35,1.303,4,1.3,3.4
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Melzer J.,Karlovic I.,34,33,855,877,7,6,7,6,,,,,,,2,0,Completed,2.5,1.5,2.4,1.55,2.3,1.6,2.63,1.578,2.34,1.57
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Nieminen J.,Spadea V.,28,58,1000,615,6,2,6,0,,,,,,,2,0,Completed,1.5,2.5,1.53,2.45,1.55,2.35,1.602,2.56,1.5,2.5
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Moya C.,Nalbandian D.,19,23,1325,1185,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.3,1.6,2.64,1.575,2.32,1.58
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Almagro N.,Mayer F.,32,48,890,701,7,6,6,4,,,,,,,2,0,Completed,1.9,1.8,1.81,1.95,1.87,1.87,2.06,1.862,1.92,1.84
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Verdasco F.,Volandri F.,35,29,820,981,6,2,6,2,,,,,,,2,0,Completed,1.12,5.5,1.12,6,,,1.16,6.65,1.11,6.2
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Delic A.,11,79,1870,517,1,6,7,6,6,3,,,,,2,1,Completed,1.39,2.75,1.45,2.7,1.42,2.75,1.426,3.15,1.45,2.68
49,Cincinnati,Western & Southern Financial Group Masters,13/08/07,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Safin M.,222,24,185,1155,6,3,7,6,,,,,,,2,0,Completed,1.9,1.8,1.8,1.97,1.81,1.93,1.877,2.04,1.82,1.94
49,Cincinnati,Western & Southern Financial Group Masters,14/08/07,Masters,Outdoor,Hard,1st Round,3,Ferrer D.,Isner J.,15,192,1565,213,7,6,6,3,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.65,2.15,1.741,2.25,1.26,2.15
