ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Fish M.,16,40,1315,880,6,2,6,2,,,,,,,2,0,Completed,2.1,1.66,2.05,1.75,2,1.727,2.14,1.806,2,1.77
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Karlovic I.,Bellucci T.,22,77,1110,532,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3.15,1.333,3.25,1.389,3.37,1.37,3
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Gulbis E.,Nieminen J.,53,29,782,995,7,6,6,2,,,,,,,2,0,Completed,1.4,2.75,1.47,2.72,1.5,2.5,1.488,2.85,1.5,2.52
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Querrey S.,Mathieu P.H.,46,23,849,1100,6,4,4,6,6,3,,,,,2,1,Completed,1.9,1.8,1.9,1.9,1.833,1.833,2.04,1.877,2,1.77
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Benneteau J.,45,57,850,745,6,0,6,3,,,,,,,2,0,Completed,1.25,3.75,1.3,3.55,1.25,3.75,1.284,4.22,1.28,3.6
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Seppi A.,Lopez F.,39,27,895,1045,7,5,7,5,,,,,,,2,0,Completed,2.62,1.44,2.45,1.55,2.25,1.571,2.53,1.613,2.4,1.55
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Yani M.,37,229,910,161,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.167,4.5,1.189,5.8,1.16,5
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Berdych T.,Gonzalez F.,21,15,1205,1340,6,3,3,6,6,3,,,,,2,1,Completed,1.9,1.8,1.95,1.85,1.833,1.833,2.1,1.833,1.88,1.88
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Bjorkman J.,64,161,665,273,6,0,7,6,,,,,,,2,0,Completed,1.38,2.87,1.36,3.17,,,1.369,3.51,1.38,2.95
47,Cincinnati,Western & Southern Financial Group Masters,28/07/08,Masters,Outdoor,Hard,1st Round,3,Haas T.,Youzhny M.,42,17,865,1280,7,6,2,6,6,4,,,,,2,1,Completed,1.8,1.9,1.75,2.05,1.8,1.909,1.833,2.1,1.77,2
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Tursunov D.,Safin M.,34,38,928,900,7,6,6,4,,,,,,,2,0,Completed,1.8,1.9,1.9,1.9,1.909,1.8,1.877,2.04,1.88,1.88
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Capdeville P.,48,133,833,360,5,7,6,2,6,2,,,,,2,1,Completed,,,,,,,,,,
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Monfils G.,Young D.,35,104,918,461,6,1,6,1,,,,,,,2,0,Completed,1.22,4,1.3,3.55,1.286,3.5,1.323,3.8,1.25,3.75
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Serra F.,Becker B.,84,109,507,443,4,6,7,6,6,4,,,,,2,1,Completed,2.5,1.5,2.4,1.6,2.25,1.571,2.3,1.714,2.18,1.65
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Gasquet R.,Llodra M.,11,36,1545,911,3,6,6,1,1,0,,,,,1,1,Retired,1.14,5,1.2,4.55,1.2,4.333,1.211,5.34,1.18,4.7
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Clement A.,Johansson T.,70,60,582,681,7,6,6,7,6,3,,,,,2,1,Completed,2,1.72,2,1.8,1.833,1.833,1.962,1.943,1.88,1.88
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Isner J.,Stoppini A.,107,234,451,159,7,6,6,3,,,,,,,2,0,Completed,1.36,3,1.38,3.07,1.4,2.75,1.426,3.15,1.42,2.8
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Moya C.,Tipsarevic J.,41,43,870,863,7,6,7,5,,,,,,,2,0,Completed,3,1.36,2.89,1.42,2.75,1.4,2.96,1.463,2.77,1.43
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Guccione C.,Levine J.,91,108,493,449,6,3,6,4,,,,,,,2,0,Completed,2.2,1.61,2.15,1.7,2,1.727,2.14,1.806,2.22,1.64
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Cilic M.,89,32,494,970,7,6,6,2,,,,,,,2,0,Completed,5.5,1.12,5.6,1.15,5,1.143,5.66,1.194,5,1.16
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Verdasco F.,Estrella V.,12,243,1400,149,6,3,7,5,,,,,,,2,0,Completed,1.05,9,1.05,9.5,1.083,7,1.08,11,1.07,8
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Bolelli S.,Anderson K.,50,117,815,422,6,3,7,6,,,,,,,2,0,Completed,1.66,2.1,1.75,2.05,1.727,2,1.82,2.12,1.7,2.1
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,1st Round,3,Simon G.,Ram R.,14,200,1390,200,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,,
47,Cincinnati,Western & Southern Financial Group Masters,30/07/08,Masters,Outdoor,Hard,1st Round,3,Andreev I.,Stepanek R.,24,20,1100,1240,7,6,6,7,7,6,,,,,2,1,Completed,2.5,1.5,2.55,1.5,2.2,1.615,2.56,1.602,2.52,1.5
47,Cincinnati,Western & Southern Financial Group Masters,29/07/08,Masters,Outdoor,Hard,2nd Round,3,Soderling R.,Robredo T.,45,16,850,1315,7,6,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.65,1.5,2.5,1.493,2.83,1.47,2.6
