ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Becker B.,Vassallo-Arguello M.,47,49,1009,983,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.25,3.75,1.222,4,1.22,3.75,1.18,4.6
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Mathieu P.H.,Zverev M.,31,46,1340,1020,6,7,7,5,6,3,,,,,2,1,Completed,1.5,2.5,1.4,2.85,1.444,2.625,1.4,2.75,1.42,2.76
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Andreev I.,Kiefer N.,27,130,1385,490,6,1,7,5,,,,,,,2,0,Completed,1.66,2.1,1.73,2.1,1.667,2.1,1.571,2.25,1.57,2.34
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Simon G.,Odesnik W.,9,85,3320,714,6,3,6,2,,,,,,,2,0,Completed,1.3,3.4,1.33,3.2,1.333,3.25,1.25,4,1.33,3.2
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Almagro N.,Sela D.,33,34,1270,1254,6,4,1,0,,,,,,,1,0,Retired,1.72,2,1.8,1.95,1.833,1.833,1.73,2,1.7,2.1
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Ljubicic I.,Serra F.,54,56,906,901,4,6,6,3,6,4,,,,,2,1,Completed,1.3,3.4,1.3,3.35,1.333,3.25,1.25,3.5,1.33,3.2
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Monfils G.,29,13,1360,2485,6,4,6,7,7,6,,,,,2,1,Completed,1.8,1.9,1.87,1.87,1.8,1.9,1.727,2,1.9,1.86
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Acasuso J.,Kubot L.,51,135,931,471,6,4,6,3,,,,,,,2,0,Completed,2.25,1.57,2.45,1.53,2.25,1.571,2.2,1.615,2.38,1.55
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Ferrer D.,Wawrinka S.,19,20,1890,1835,7,5,6,2,,,,,,,2,0,Completed,2.37,1.53,2.6,1.45,2.375,1.533,2.2,1.62,2.4,1.54
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Ferrero J.C.,15,25,2340,1500,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.35,1.55,2.25,1.57,2.25,1.615,2.25,1.62
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Robredo T.,35,16,1222,2245,6,3,7,5,,,,,,,2,0,Completed,1.72,2,1.7,2.1,1.667,2.1,1.667,2.1,1.68,2.12
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Safin M.,Ginepri R.,61,70,875,805,7,5,7,6,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.1,1.667,2.1,1.667,2.28,1.6
47,Cincinnati,Western & Southern Financial Group Masters,17/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Stepanek R.,Troicki V.,17,30,2015,1355,7,6,1,0,,,,,,,1,0,Retired,1.33,3.25,1.35,3.1,1.33,3.25,1.333,3,1.34,3.15
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Lu Y.H.,26,74,1475,781,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.286,3.25,1.26,3.65
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Hanescu V.,64,28,840,1381,7,5,6,2,,,,,,,2,0,Completed,1.8,1.9,1.9,1.85,1.83,1.83,1.833,1.833,1.88,1.88
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Melzer J.,Lopez F.,37,36,1155,1215,5,7,7,6,7,6,,,,,2,1,Completed,2,1.72,1.95,1.8,1.833,1.833,1.83,1.83,1.82,1.94
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Verdasco F.,53,10,914,3185,7,6,7,6,,,,,,,2,0,Completed,7.5,1.07,6.25,1.1,6,1.11,7,1.1,6.7,1.1
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Seppi A.,Hernych J.,45,72,1045,795,3,6,6,4,6,1,,,,,2,1,Completed,1.72,2,1.8,1.95,1.8,1.909,1.727,2,1.88,1.88
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Soderling R.,42,11,1105,2905,3,6,7,6,6,4,,,,,2,1,Completed,2.25,1.57,2.25,1.63,2.25,1.57,2.25,1.571,2.2,1.64
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Guccione C.,Kohlschreiber P.,124,23,510,1575,7,5,2,6,6,3,,,,,2,1,Completed,3.25,1.33,2.92,1.37,3,1.364,2.875,1.364,3.4,1.3
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Berdych T.,Gonzalez F.,18,12,1915,2815,6,4,,,,,,,,,1,0,Retired,2.37,1.53,2.4,1.54,2.62,1.44,2.5,1.5,2.5,1.5
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Kunitsyn I.,Blake J.,43,24,1073,1520,7,6,6,7,6,4,,,,,2,1,Completed,4.5,1.16,3.7,1.25,4,1.222,4,1.22,4,1.23
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Petzschner P.,Bolelli S.,39,71,1118,801,7,6,6,3,,,,,,,2,0,Completed,1.8,1.9,1.87,1.87,1.667,2.1,1.73,2,1.8,1.97
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Haas T.,59,21,889,1750,7,6,5,7,7,6,,,,,2,1,Completed,2.37,1.53,2.15,1.65,2.25,1.571,2.375,1.533,2.4,1.55
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,Andreev I.,9,27,3320,1385,7,6,6,7,6,1,,,,,2,1,Completed,1.53,2.37,1.5,2.5,1.5,2.5,1.53,2.38,1.55,2.38
47,Cincinnati,Western & Southern Financial Group Masters,18/08/09,Masters 1000,Outdoor,Hard,2nd Round,3,Ferrer D.,Cilic M.,19,15,1890,2340,7,6,6,2,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.72,2,1.667,2.1,1.74,2.04
47,Cincinnati,Western & Southern Financial Group Masters,19/08/09,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Ljubicic I.,4,54,7150,906,7,6,6,4,,,,,,,2,0,Completed,1.11,6,1.15,5.2,1.143,5,1.1,6,1.16,5
