ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
49,Cincinnati,Western & Southern Financial Group Masters,12/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Tomic B.,Harrison R.,49,58,880,775,6,4,7,6,,,,,,,2,0,Completed,1.83,1.83,1.8,1.95,1.8,1.91,1.87,2.01,1.83,1.83,1.95,2.01,1.82,1.93
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Blake J.,Anderson K.,106,34,527,1145,7,5,6,4,,,,,,,2,0,Completed,2.75,1.4,3.3,1.3,2.75,1.4,3.22,1.4,2.63,1.44,3.3,1.44,2.9,1.39
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Davydenko N.,Dolgopolov O.,50,16,875,1905,6,1,6,1,,,,,,,2,0,Completed,3,1.36,2.8,1.4,2.75,1.4,2.9,1.47,2.75,1.4,3,1.47,2.82,1.41
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Seppi A.,Haase R.,27,44,1355,955,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.75,2,1.73,2,1.71,2.28,1.73,2,1.75,2.28,1.7,2.09
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Stakhovsky S.,15,102,2015,548,6,3,4,6,6,4,,,,,2,1,Completed,1.18,4.5,1.15,5,1.17,4.5,1.23,4.77,1.14,5,1.23,5.15,1.18,4.62
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Levine J.,Young D.,88,80,589,620,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.62,1.56,2.59,1.44,2.63,1.59,2.85,1.45,2.66
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Kubot L.,74,72,644,650,6,3,6,0,,,,,,,2,0,Completed,1.5,2.5,1.55,2.35,1.57,2.25,1.62,2.46,,,1.63,2.5,1.58,2.34
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Baker B.,Kohlschreiber P.,78,17,625,1765,7,6,7,6,,,,,,,2,0,Completed,5,1.16,4.5,1.18,4.5,1.17,4.5,1.25,4,1.2,5,1.32,4.38,1.2
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Andujar P.,Matosevic M.,40,64,975,705,6,4,6,3,,,,,,,2,0,Completed,3,1.36,3,1.35,2.75,1.4,2.93,1.47,2.75,1.4,3.1,1.47,2.9,1.39
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Troicki V.,Dodig I.,32,116,1175,485,6,4,7,5,,,,,,,2,0,Completed,1.57,2.25,1.6,2.25,1.62,2.2,1.66,2.37,1.67,2.1,1.7,2.4,1.64,2.21
49,Cincinnati,Western & Southern Financial Group Masters,13/08/12,Masters 1000,Outdoor,Hard,1st Round,3,Mayer F.,Fognini F.,24,59,1545,755,7,5,6,2,,,,,,,2,0,Completed,1.44,2.62,1.45,2.65,1.44,2.62,1.5,2.8,1.4,2.75,1.52,2.88,1.45,2.68
