ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
50,Cincinnati,Western & Southern Financial Group Masters,14/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Cressy M.,24,32,1478,1304,6,2,4,6,6,4,,,,,2,1,Completed,1.72,2.1,1.99,1.92,2,2.12,1.84,1.95
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Mcdonald M.,Basilashvili N.,72,34,666,1290,6,0,6,1,,,,,,,2,0,Completed,1.36,3.2,1.42,3.13,1.42,3.25,1.37,3.04
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Schwartzman D.,Molcan A.,16,39,2200,1086,5,7,6,4,6,2,,,,,2,1,Completed,1.66,2.2,1.67,2.34,1.75,2.34,1.67,2.18
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Karatsev A.,Nakashima B.,38,66,1175,709,7,5,7,5,,,,,,,2,0,Completed,2.75,1.44,2.99,1.45,2.99,1.46,2.78,1.43
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Bautista Agut R.,Cerundolo F.,19,27,1760,1402,6,7,6,4,6,2,,,,,2,1,Completed,1.36,3.2,1.38,3.36,1.4,3.38,1.35,3.13
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Wolf J.J.,44,83,1001,617,7,6,6,2,,,,,,,2,0,Completed,1.53,2.5,1.6,2.51,1.6,2.6,1.54,2.46
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Bonzi B.,50,48,880,921,7,6,3,6,7,6,,,,,2,1,Completed,1.61,2.3,1.67,2.35,1.67,2.36,1.61,2.28
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Norrie C.,Rune H.,11,29,3065,1380,7,6,4,6,6,4,,,,,2,1,Completed,1.25,4,1.27,4.2,1.29,4.45,1.24,3.94
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Murray A.,Wawrinka S.,47,306,930,155,7,6,5,7,7,5,,,,,2,1,Completed,1.5,2.62,1.52,2.72,1.57,2.84,1.48,2.63
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Munar J.,17,57,2130,809,6,3,6,3,,,,,,,2,0,Completed,1.4,3,1.42,3.13,1.42,3.26,1.38,3
50,Cincinnati,Western & Southern Financial Group Masters,15/08/2022,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Goffin D.,54,62,836,745,6,3,6,4,,,,,,,2,0,Completed,2.2,1.66,2.13,1.81,2.3,1.81,2.13,1.7
