ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Agassi A.;Dupuis A.;1;116,0;7,0;6,0;6,0;3,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Agenor R.;Srichaphan P.;91;92,0;6,0;2,0;6,0;4,0;3,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Arazi H.;Woodruff C.;28;41,0;6,0;3,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Balcells J.;Bruguera S.;122;198,0;6,0;3,0;5,0;7,0;6,0;2,0;1,0;6,0;6,0;0,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Browne F.;Marin J.A.;123;71,0;7,0;5,0;6,0;3,0;6,0;7,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Calleri A.;Mantilla F.;102;63,0;6,0;2,0;6,0;3,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Chang M.;Voinea A.;33;90,0;6,0;1,0;6,0;2,0;2,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Charpentier M.;Alami K.;230;30,0;6,0;7,0;6,0;4,0;6,0;3,0;1,0;6,0;6,0;3,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Chela J.I.;Martin T.;56;22,0;4,0;6,0;6,0;3,0;6,0;4,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Clavet F.;Canas G.;49;117,0;6,0;2,0;6,0;0,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Clement A.;Escude N.;59;23,0;7,0;6,0;6,0;4,0;6,0;0,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Coria G.;Llodra M.;295;176,0;6,0;3,0;6,0;7,0;6,0;4,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Corretja A.;Martin A.;10;73,0;6,0;3,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Costa A.;Ivanisevic G.;18;67,0;6,0;3,0;6,0;3,0;6,0;0,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Dosedel S.;Rusedski G.;55;17,0;6,0;3,0;7,0;6,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;El Aynaoui Y.;Lisnard J.;15;148,0;3,0;6,0;2,0;6,0;6,0;4,0;6,0;3,0;6,0;1,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Enqvist T.;Rochus C.;7;89,0;6,0;2,0;6,0;0,0;6,0;0,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Eschauer W.;Saulnier C.;209;126,0;3,0;6,0;6,0;2,0;6,0;2,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Federer R.;Arthurs W.;54;106,0;7,0;6,0;6,0;3,0;1,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Ferreira W.;Schuettler R.;48;77,0;7,0;6,0;4,0;6,0;6,0;3,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Ferrero J.C.;Golmard J.;16;79,0;6,0;4,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Gambill J.M.;Kiefer N.;69;8,0;6,0;3,0;7,0;5,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Gaudenzi A.;van Lottum J.;74;114,0;6,0;3,0;3,0;6,0;7,0;6,0;6,0;0,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Gaudio G.;di Pasquale A.;47;51,0;6,0;2,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Goldstein P.;Sa A.;80;86,0;6,0;1,0;6,0;1,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Paris;French Open;29/05/2000;Grand Slam;Outdoor;Clay;1st Round;5;Grosjean S.;Fromberg R.;34;61,0;6,0;4,0;6,0;2,0;1,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
