ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;portas a.;kuerten g.;91,0;5,0;4,0;6,0;4,0;6,0;6,0;4,0;7,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;fromberg r.;enqvist t.;80,0;6,0;6,0;4,0;7,0;6,0;4,0;6,0;3,0;6,0;10,0;8,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;ivanisevic g.;pioline c.;70,0;15,0;6,0;4,0;2,0;6,0;7,0;5,0;1,0;6,0;9,0;7,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;srichaphan p.;kucera k.;102,0;18,0;6,0;2,0;6,0;4,0;3,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;rochus c.;costa a.;120,0;20,0;6,0;3,0;6,0;7,0;6,0;4,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;voinea a.;spadea v.;95,0;21,0;7,0;6,0;4,0;6,0;4,0;6,0;6,0;3,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;clavet f.;hrbaty d.;39,0;22,0;3,0;6,0;6,0;1,0;6,0;4,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;stafford g.;safin m.;472,0;23,0;7,0;6,0;6,0;4,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;krajicek r.;santoro f.;10,0;25,0;6,0;1,0;6,0;2,0;7,0;5,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;zabaleta m.;mantilla f.;33,0;27,0;6,0;1,0;5,0;7,0;6,0;3,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;behrend t.;meligeni f.;106,0;28,0;6,0;2,0;4,0;6,0;6,0;7,0;6,0;3,0;6,0;0,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;henman t.;golmard j.;13,0;31,0;6,0;7,0;6,0;3,0;7,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;lapentti n.;medvedev a.;7,0;32,0;6,0;3,0;5,0;7,0;6,0;7,0;6,0;4,0;8,0;6,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;escude n.;courier j.;34,0;36,0;6,0;7,0;6,0;3,0;7,0;5,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;federer r.;chang m.;62,0;38,0;6,0;4,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;corretja a.;sargsian s.;30,0;51,0;7,0;6,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;tieleman l.;martin a.;89,0;52,0;6,0;2,0;7,0;6,0;6,0;7,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;black w.;gambill j.m.;151,0;57,0;7,0;6,0;6,0;1,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;vicente f.;berasategui a.;55,0;59,0;6,0;0,0;6,0;2,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;llodra m.;gaudio g.;263,0;61,0;6,0;3,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;vinciguerra a.;gumy h.;99,0;63,0;7,0;6,0;6,0;1,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;ilie a.;tarango j.;46,0;65,0;6,0;3,0;7,0;6,0;4,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;clement a.;van lottum j.;54,0;66,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;martin t.;black b.;9,0;71,0;5,0;7,0;6,0;7,0;6,0;4,0;6,0;2,0;8,0;6,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;sekulov j.;ljubicic i.;133,0;72,0;7,0;6,0;4,0;6,0;4,0;6,0;7,0;5,0;6,0;0,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;schuettler r.;marin j.a.;60,0;73,0;6,0;3,0;6,0;3,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;kiefer n.;canas g.;4,0;74,0;4,0;6,0;6,0;3,0;6,0;4,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;novak j.;hipfl m.;37,0;75,0;6,0;3,0;4,0;6,0;6,0;3,0;5,0;7,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;schalken s.;blanco g.;47,0;77,0;7,0;6,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;ferreira w.;bastl g.;53,0;78,0;6,0;3,0;6,0;3,0;4,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;bjorkman j.;stoltenberg j.;76,0;81,0;6,0;7,0;6,0;4,0;6,0;4,0;0,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;jonsson f.;diaz j.;123,0;84,0;4,0;6,0;4,0;6,0;6,0;2,0;7,0;5,0;6,0;3,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;kafelnikov y.;knippschild j.;2,0;85,0;6,0;7,0;6,0;4,0;6,0;1,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;hewitt l.;goldstein p.;17,0;87,0;6,0;2,0;6,0;7,0;7,0;6,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;sluiter r.;gaudenzi a.;166,0;88,0;3,0;6,0;6,0;1,0;3,0;6,0;6,0;3,0;13,0;11,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;woodruff c.;damm m.;56,0;92,0;6,0;3,0;7,0;6,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;woodbridge t.;siemerink j.;204,0;93,0;6,0;4,0;6,0;1,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;mirnyi m.;agenor r.;67,0;94,0;6,0;7,0;7,0;6,0;6,0;3,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;norman m.;mamiit c.;11,0;97,0;7,0;5,0;6,0;4,0;3,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;tillstrom m.;lareau s.;79,0;103,0;4,0;6,0;6,0;4,0;6,0;2,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;sampras p.;arthurs w.;3,0;105,0;6,0;4,0;7,0;5,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;alami k.;manta l.;35,0;107,0;6,0;4,0;7,0;6,0;7,0;5,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;vacek d.;stanoytchev o.;44,0;109,0;1,0;6,0;7,0;6,0;7,0;6,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;arazi h.;alonso j.;41,0;111,0;6,0;3,0;7,0;6,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;agassi a.;puerta m.;1,0;112,0;6,0;2,0;6,0;2,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;woodforde m.;sanguinetti d.;126,0;113,0;6,0;3,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;vanek j.;wessels p.;153,0;114,0;6,0;4,0;6,0;3,0;2,0;6,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;kroslak j.;lopez-moron a.;104,0;117,0;6,0;1,0;3,0;6,0;6,0;3,0;7,0;5,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;pozzi g.;zib t.;82,0;118,0;6,0;3,0;7,0;6,0;6,0;7,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;dupuis a.;rodriguez m.;98,0;119,0;6,0;4,0;6,0;4,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;johansson t.;kulti n.;42,0;121,0;6,0;1,0;6,0;2,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;ullyett k.;tabara m.;182,0;122,0;6,0;1,0;7,0;6,0;4,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;hill m.;karbacher b.;238,0;139,0;6,0;4,0;6,0;2,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;rosset m.;delgado j.;45,0;143,0;7,0;6,0;6,0;3,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;grosjean s.;motomura g.;26,0;148,0;6,0;3,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;dosedel s.;boutter j.;64,0;155,0;7,0;6,0;5,0;7,0;6,0;3,0;7,0;5,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;pretzsch a.;o'brien a.;115,0;162,0;7,0;6,0;6,0;2,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;haas t.;saulnier c.;12,0;171,0;7,0;6,0;6,0;4,0;4,0;6,0;6,0;2,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;philippoussis m.;okun n.;19,0;189,0;6,0;4,0;6,0;2,0;2,0;6,0;3,0;6,0;6,0;2,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;ferrero j.c.;draper s.;40,0;200,0;7,0;6,0;6,0;3,0;7,0;6,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;17/01/2000;Grand Slam;Outdoor;Hard;1st Round;5;paes l.;petrovic d.;137,0;201,0;6,0;2,0;3,0;6,0;7,0;6,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
