ATP;Location;Tournament;Date;Series;Court;Surface;Surface_WinRate_Favorite;Surface_WinRate_Not_Favorite;Surface_Matches_Favorite;Surface_Matches_Not_Favorite;Round;Round_Code;Best of;Player_Favorite;Player_Not_Favorite;WinStreak_Favorite;WinStreak_Not_Favorite;Win_Streak_Diff;Rank_Favorite;Rank_Not_Favorite;Rank_Diff_Signed;Rank_Diff_Abs;Favorite_Wins;GrandSlams_Favorite;GrandSlams_Not_Favorite;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;1st Round;1;5;kuerten g.;portas a.;0;0;0;5,0;91,0;-86,0;86,0;0;0;0;portas a.;kuerten g.;91,0;5,0;4,0;6,0;4,0;6,0;6,0;4,0;7,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;The Final;7;5;agassi a.;kafelnikov y.;2;2;0;1,0;2,0;-1,0;1,0;1;0;0;agassi a.;kafelnikov y.;1,0;2,0;3,0;6,0;6,0;3,0;6,0;2,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;zabaleta m.;woodbridge t.;1;1;0;33,0;204,0;-171,0;171,0;1;0;0;zabaleta m.;woodbridge t.;33,0;204,0;7,0;6,0;4,0;6,0;6,0;1,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;rochus c.;ullyett k.;1;1;0;120,0;182,0;-62,0;62,0;1;0;0;rochus c.;ullyett k.;120,0;182,0;6,0;4,0;6,0;4,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;philippoussis m.;sluiter r.;1;1;0;19,0;166,0;-147,0;147,0;1;0;0;philippoussis m.;sluiter r.;19,0;166,0;6,0;1,0;2,0;6,0;7,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;bjorkman j.;vanek j.;1;1;0;76,0;153,0;-77,0;77,0;1;0;0;bjorkman j.;vanek j.;76,0;153,0;6,0;4,0;3,0;6,0;6,0;4,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;vinciguerra a.;paes l.;1;1;0;99,0;137,0;-38,0;38,0;1;0;0;vinciguerra a.;paes l.;99,0;137,0;7,0;6,0;6,0;4,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;woodruff c.;sekulov j.;1;1;0;56,0;133,0;-77,0;77,0;1;0;0;woodruff c.;sekulov j.;56,0;133,0;6,0;3,0;6,0;2,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;squillari f.;woodforde m.;1;1;0;48,0;126,0;-78,0;78,0;1;0;0;squillari f.;woodforde m.;48,0;126,0;6,0;4,0;7,0;6,0;3,0;6,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;arazi h.;jonsson f.;1;1;0;41,0;123,0;-82,0;82,0;1;0;0;arazi h.;jonsson f.;41,0;123,0;6,0;3,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;fromberg r.;pretzsch a.;1;1;0;80,0;115,0;-35,0;35,0;1;0;0;fromberg r.;pretzsch a.;80,0;115,0;7,0;6,0;7,0;6,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;kiefer n.;behrend t.;1;1;0;4,0;106,0;-102,0;102,0;1;0;0;kiefer n.;behrend t.;4,0;106,0;7,0;6,0;6,0;0,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;federer r.;kroslak j.;1;1;0;62,0;104,0;-42,0;42,0;1;0;0;federer r.;kroslak j.;62,0;104,0;7,0;6,0;6,0;2,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;dosedel s.;srichaphan p.;1;1;0;64,0;102,0;-38,0;38,0;1;0;0;dosedel s.;srichaphan p.;64,0;102,0;4,0;6,0;6,0;2,0;6,0;4,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;koubek s.;stafford g.;1;1;0;43,0;472,0;-429,0;429,0;1;0;0;koubek s.;stafford g.;43,0;472,0;5,0;7,0;7,0;5,0;2,0;6,0;6,0;2,0;6,0;3,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;alami k.;llodra m.;1;1;0;35,0;263,0;-228,0;228,0;1;0;0;alami k.;llodra m.;35,0;263,0;7,0;6,0;6,0;3,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;ferrero j.c.;tieleman l.;1;1;0;40,0;89,0;-49,0;49,0;1;0;0;ferrero j.c.;tieleman l.;40,0;89,0;7,0;6,0;6,0;4,0;5,0;7,0;6,0;7,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;norman m.;pozzi g.;1;1;0;11,0;82,0;-71,0;71,0;1;0;0;norman m.;pozzi g.;11,0;82,0;6,0;4,0;6,0;3,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;sampras p.;tillstrom m.;1;1;0;3,0;79,0;-76,0;76,0;1;0;0;sampras p.;tillstrom m.;3,0;79,0;6,0;3,0;7,0;6,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;clavet f.;ivanisevic g.;1;1;0;39,0;70,0;-31,0;31,0;1;0;0;clavet f.;ivanisevic g.;39,0;70,0;7,0;6,0;6,0;4,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;henman t.;schuettler r.;1;1;0;13,0;60,0;-47,0;47,0;1;0;0;henman t.;schuettler r.;13,0;60,0;6,0;2,0;4,0;1,0;;;;;;;1,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1,0;0,0;1;0;2nd Round;2;5;agassi a.;schalken s.;1;1;0;1,0;47,0;-46,0;46,0;1;1;0;agassi a.;schalken s.;1,0;47,0;7,0;5,0;6,0;0,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;0;0;2nd Round;2;5;rosset m.;black w.;1;1;0;45,0;151,0;-106,0;106,0;0;0;0;black w.;rosset m.;151,0;45,0;6,0;1,0;2,0;6,0;7,0;6,0;6,0;3,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;0,0;0,0;1;0;2nd Round;2;5;kafelnikov y.;vacek d.;1;1;0;2,0;44,0;-42,0;42,0;1;0;0;kafelnikov y.;vacek d.;2,0;44,0;6,0;3,0;6,0;0,0;6,0;1,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
