ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;1st Round;5;kuerten g.;portas a.;portas a.;kuerten g.;91,0;5,0;4,0;6,0;4,0;6,0;6,0;4,0;7,0;6,0;6,0;4,0;3,0;2,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;grosjean s.;hill m.;grosjean s.;hill m.;26,0;238,0;4,0;6,0;6,0;1,0;7,0;6,0;6,0;0,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;zabaleta m.;woodbridge t.;zabaleta m.;woodbridge t.;33,0;204,0;7,0;6,0;4,0;6,0;6,0;1,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;rochus c.;ullyett k.;rochus c.;ullyett k.;120,0;182,0;6,0;4,0;6,0;4,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;philippoussis m.;sluiter r.;philippoussis m.;sluiter r.;19,0;166,0;6,0;1,0;2,0;6,0;7,0;6,0;6,0;1,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;bjorkman j.;vanek j.;bjorkman j.;vanek j.;76,0;153,0;6,0;4,0;3,0;6,0;6,0;4,0;7,0;6,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;vinciguerra a.;paes l.;vinciguerra a.;paes l.;99,0;137,0;7,0;6,0;6,0;4,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;woodruff c.;sekulov j.;woodruff c.;sekulov j.;56,0;133,0;6,0;3,0;6,0;2,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;squillari f.;woodforde m.;squillari f.;woodforde m.;48,0;126,0;6,0;4,0;7,0;6,0;3,0;6,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;arazi h.;jonsson f.;arazi h.;jonsson f.;41,0;123,0;6,0;3,0;6,0;4,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;fromberg r.;pretzsch a.;fromberg r.;pretzsch a.;80,0;115,0;7,0;6,0;7,0;6,0;6,0;4,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;kiefer n.;behrend t.;kiefer n.;behrend t.;4,0;106,0;7,0;6,0;6,0;0,0;6,0;2,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Melbourne;Australian Open;2000-01-17;Grand Slam;Outdoor;Hard;2nd Round;5;federer r.;kroslak j.;federer r.;kroslak j.;62,0;104,0;7,0;6,0;6,0;2,0;6,0;3,0;;;;;3,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
