ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Agassi A.,Sanguinetti D.,3,56,6,1,6,4,,,,,,,2,0,Completed,1.22,4,1.2,3.4,1.2,3.2,1.25,3.5
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Arazi H.,Schalken S.,28,30,6,3,1,6,6,1,,,,,2,1,Completed,1.67,2.05,1.63,1.95,1.7,1.8,1.615,2.2
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Burgsmuller L.,Henman T.,96,10,6,1,6,4,,,,,,,2,0,Completed,3,1.35,2.65,1.31,2.7,1.3,2.875,1.364
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Calatrava A.,Sampras P.,50,4,6,7,6,3,6,4,,,,,2,1,Completed,2.2,1.6,2.8,1.3,2.3,1.4,2.2,1.615
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Calleri A.,El Aynaoui Y.,75,61,7,6,7,6,,,,,,,2,0,Completed,1.8,1.9,,,1.75,1.75,1.8,1.909
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Chang M.,Gustafsson M.,35,66,6,4,6,4,,,,,,,2,0,Completed,2.1,1.67,,,2,1.55,2.1,1.667
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Corretja A.,Rusedski G.,13,49,6,3,6,4,,,,,,,2,0,Completed,1.2,4,1.25,3,1.2,3.2,1.222,3.75
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Costa A.,Clavet F.,53,38,6,3,6,4,,,,,,,2,0,Completed,1.67,2.05,1.6,2,1.55,2,1.615,2.2
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Escude N.,Kafelnikov Y.,36,5,7,5,7,5,,,,,,,2,0,Completed,2.7,1.4,2.5,1.37,2.5,1.35,2.75,1.4
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Bruguera S.,6,68,3,6,6,1,6,4,,,,,2,1,Completed,1.25,3.5,1.2,3.45,1.25,3,1.25,3.5
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Gambill J.M.,Pretzsch A.,15,162,6,2,7,5,,,,,,,2,0,Completed,1.5,2.45,1.35,2.5,1.4,2.3,1.4,2.75
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Puerta M.,40,81,6,2,6,3,,,,,,,2,0,Completed,,,1.36,2.57,1.35,2.5,1.4,2.75
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Bjorkman J.,11,37,6,2,3,6,6,0,,,,,2,1,Completed,1.35,3,1.28,2.9,1.3,2.7,1.286,3.25
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Haas T.,Hrbaty D.,21,20,6,3,6,2,,,,,,,2,0,Completed,1.5,2.4,1.5,2.15,1.45,2.2,1.615,2.2
31,Hamburg,Hamburg TMS,14/05/01,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,di Pasquale A.,7,64,6,3,6,2,,,,,,,2,0,Completed,1.28,3.3,1.27,3,1.3,2.7,1.333,3
