ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Burgsmuller L.,Armando H.,98,658,6,4,6,4,,,,,,,2,0,Completed,2,1.727,2.05,1.72,1.85,1.65,2.1,1.667,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Clement A.,Lapentti N.,37,46,6,4,6,2,,,,,,,2,0,Completed,1.833,1.833,2,1.75,1.75,1.75,2,1.727,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Coria G.,Spadea V.,16,33,6,2,6,2,,,,,,,2,0,Completed,1.364,3,1.3,3.35,1.25,3,1.286,3.25,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Davydenko N.,Voinea A.,41,90,6,0,6,2,,,,,,,2,0,Completed,1.4,2.75,1.48,2.55,1.35,2.5,1.364,2.875,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Ferreira W.,Waske A.,26,110,6,3,6,2,,,,,,,2,0,Completed,1.4,2.75,1.45,2.65,1.35,2.5,1.5,2.5,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Henman T.,Gambill J.M.,27,40,7,5,6,4,,,,,,,2,0,Completed,1.615,2.2,1.58,2.3,1.65,1.85,1.5,2.5,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Kuerten G.,Chela J.I.,14,34,6,2,6,4,,,,,,,2,0,Completed,1.444,2.625,1.45,2.65,1.4,2.3,1.4,2.75,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Lopez F.,Srichaphan P.,58,9,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.46,2.6,1.4,2.3,1.533,2.375,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Nadal R.,Mathieu P.H.,87,44,7,5,6,4,,,,,,,2,0,Completed,1.444,2.625,1.53,2.4,1.4,2.3,1.5,2.5,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Robredo T.,Stepanek R.,22,47,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.65,1.4,2.3,1.5,2.5,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Rochus O.,El Aynaoui Y.,65,21,7,6,6,4,,,,,,,2,0,Completed,3.5,1.286,4,1.22,3.8,1.15,4.5,1.167,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Zabaleta M.,Kucera K.,38,50,7,5,6,4,,,,,,,2,0,Completed,1.364,3,1.4,2.8,1.35,2.5,1.4,2.75,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Calleri A.,Lee H.T.,31,57,3,6,7,6,7,5,,,,,2,1,Completed,1.167,4.5,1.22,4,1.2,3.3,1.167,4.5,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Blake J.,29,25,6,7,6,1,6,2,,,,,2,1,Completed,1.364,3,1.3,3.3,1.35,2.5,1.286,3.25,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Nieminen J.,Koubek S.,35,60,6,4,0,6,6,1,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.4,2.3,1.4,2.75,,
29,Hamburg,Hamburg TMS,12/05/03,Masters,Outdoor,Clay,1st Round,3,Sanchez D.,Fish M.,53,51,5,7,6,4,6,2,,,,,2,1,Completed,1.66,2.1,1.65,2.15,1.6,1.9,1.667,2.1,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Costa A.,Kiefer N.,8,75,6,4,6,4,,,,,,,2,0,Completed,1.143,5,1.14,5.25,1.1,4.5,1.143,5,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Dupuis A.,Santoro F.,88,54,6,3,6,3,,,,,,,2,0,Completed,1.909,1.8,2,1.75,1.9,1.6,1.833,1.833,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Federer R.,Mirnyi M.,5,28,6,3,6,3,,,,,,,2,0,Completed,1.333,3.25,1.3,3,1.35,2.5,1.286,3.25,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Volandri F.,15,79,6,3,6,4,,,,,,,2,0,Completed,1.615,2.2,1.68,2.1,1.55,2,1.615,2.2,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Mantilla F.,Martin A.,20,62,6,0,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.65,1.4,2.3,1.364,2.875,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Nalbandian D.,Lisnard J.R.,13,103,6,3,6,3,,,,,,,2,0,Completed,1.28,3.5,1.28,3.5,1.2,3.3,1.25,3.5,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Philippoussis M.,Sluiter R.,67,64,6,4,7,5,,,,,,,2,0,Completed,1.333,3.25,1.3,3.3,1.25,3,1.333,3,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Roddick A.,Ljubicic I.,6,45,6,4,6,4,,,,,,,2,0,Completed,1.727,2,1.72,2.05,1.65,1.85,1.667,2.1,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Schuettler P.,Ferrer D.,11,61,7,5,6,1,,,,,,,2,0,Completed,1.444,2.625,1.4,2.8,1.4,2.3,1.5,2.5,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Youzhny M.,Novak J.,32,10,6,1,6,4,,,,,,,2,0,Completed,2.75,1.4,2.8,1.4,2.3,1.4,2.75,1.4,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Beck K.,Arthurs W.,76,55,6,4,3,6,6,3,,,,,2,1,Completed,2,1.727,2.1,1.67,1.75,1.75,2.2,1.615,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Gonzalez F.,Mutis O.,23,81,6,2,2,6,7,5,,,,,2,1,Completed,1.444,2.625,1.4,2.8,1.3,2.7,2.5,1.5,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,Hantschk M.,1,210,6,1,4,6,6,4,,,,,2,1,Completed,1.063,8,1.07,7.25,1.1,4.5,1.05,8,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Malisse X.,Corretja A.,30,17,7,6,4,6,6,3,,,,,2,1,Completed,2.75,1.4,2.9,1.38,2.5,1.35,2.875,1.364,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Moya C.,Draper S.,4,113,6,3,5,7,6,3,,,,,2,1,Completed,1.083,7,1.04,9,1.05,5,1.071,7,,
29,Hamburg,Hamburg TMS,13/05/03,Masters,Outdoor,Clay,1st Round,3,Sargsian S.,Hrbaty D.,72,59,6,7,6,4,6,4,,,,,2,1,Completed,2.1,1.667,2.2,1.63,1.85,1.65,2.1,1.667,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Coria G.,Nieminen J.,16,35,6,3,6,4,,,,,,,2,0,Completed,1.364,3,1.32,3.2,1.3,2.7,1.333,3,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Sargsian S.,5,72,6,1,6,1,,,,,,,2,0,Completed,1.143,5,1.16,4.8,1.1,4.5,1.143,5,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Ferreira W.,Lopez F.,26,58,6,1,6,2,,,,,,,2,0,Completed,1.727,2,1.85,1.9,1.55,2,1.833,1.833,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Gonzalez F.,Mantilla F.,23,20,6,2,6,1,,,,,,,2,0,Completed,2.25,1.571,2.35,1.55,2.2,1.45,2.5,1.5,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Kuerten G.,Davydenko N.,14,41,7,5,6,0,,,,,,,2,0,Completed,1.333,3.25,1.26,3.6,1.3,2.7,1.25,3.5,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Nadal R.,Moya C.,87,4,7,5,6,4,,,,,,,2,0,Completed,3.5,1.286,3.6,1.26,3,1.25,4,1.2,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Philippoussis M.,Malisse X.,67,30,6,3,7,6,,,,,,,2,0,Completed,1.727,2,1.68,2.1,1.65,1.85,1.727,2,,
29,Hamburg,Hamburg TMS,14/05/03,Masters,Outdoor,Clay,2nd Round,3,Calleri A.,Roddick A.,31,6,3,6,6,2,6,3,,,,,2,1,Completed,1.909,1.8,1.95,1.8,1.9,1.6,1.9,1.8,,
