ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Labadze I.,Chela J.I.,49,24,6,0,3,6,7,6,,,,,2,1,Completed,3,1.364,2.85,1.4,2.71,1.43,2.5,1.35,2.87,1.465
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Mayer F.,Novak J.,90,15,7,6,3,6,6,4,,,,,2,1,Completed,2.375,1.533,2.3,1.6,2.3,1.6,2,1.55,2.63,1.546
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Lapentti N.,Volandri F.,67,58,6,4,6,1,,,,,,,2,0,Completed,3,1.364,3,1.36,2.92,1.37,2.3,1.4,3,1.435
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Sargsian S.,Davydenko N.,46,47,6,2,6,4,,,,,,,2,0,Completed,3.75,1.25,4.3,1.2,3.75,1.25,3.3,1.2,4.65,1.233
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Verdasco F.,Canas G.,52,70,7,6,7,6,,,,,,,2,0,Completed,1.667,2.1,1.7,2.1,1.65,2.15,1.7,1.8,1.725,2.18
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Horna L.,Clement A.,45,32,6,2,6,3,,,,,,,2,0,Completed,1.667,2.1,1.77,2,1.75,2,1.75,1.75,1.763,2.11
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Haas T.,Spadea V.,123,29,6,0,,,,,,,,,1,0,Retired,1.5,2.5,1.5,2.5,1.45,2.6,1.45,2.2,1.5,2.75
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Martin A.,Arazi H.,59,38,4,6,6,2,6,2,,,,,2,1,Completed,1.571,2.25,1.55,2.4,1.6,2.3,1.65,1.85,1.556,2.6
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Safin M.,Grosjean S.,21,10,7,6,7,5,,,,,,,2,0,Completed,1.364,3,1.45,2.65,1.45,2.6,1.3,2.7,1.408,3.1
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Rochus O.,Srichaphan P.,63,12,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.33,3.2,1.3,3.35,1.25,3,1.351,3.4
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Robredo T.,Dupuis A.,19,73,6,2,6,0,,,,,,,2,0,Completed,1.167,4.5,1.14,5.25,1.1,5.85,1.1,4.5,1.138,6.5
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Knowle J.,Ginepri R.,242,41,6,1,6,3,,,,,,,2,0,Completed,2.25,1.571,2.45,1.53,2.35,1.55,2.3,1.4,2.62,1.549
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Saretta F.,Abel M.,55,411,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.22,4.15,1.25,3.75,1.2,3.3,1.267,4.25
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Portas A.,Corretja A.,118,103,7,5,6,4,,,,,,,2,0,Completed,2.5,1.5,2.55,1.48,2.53,1.48,2.3,1.4,2.75,1.505
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Hrbaty D.,Ascione T.,35,91,2,6,6,3,6,4,,,,,2,1,Completed,1.667,2.1,1.83,1.9,1.87,1.87,1.7,1.8,1.8,2.05
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Coria G.,Almagro N.,3,133,3,6,6,4,7,5,,,,,2,1,Completed,1.071,7.5,1.06,8,1.05,7.75,1.05,5,1.095,8.75
27,Hamburg,Hamburg TMS,10/05/04,Masters,Outdoor,Clay,1st Round,3,Johansson J.,Philippoussis M.,50,13,7,6,6,1,,,,,,,2,0,Completed,2.375,1.533,2.55,1.48,2.35,1.55,2.2,1.45,2.81,1.49
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Gonzalez F.,Lopez F.,14,25,7,6,6,4,,,,,,,2,0,Completed,1.444,2.625,1.4,2.85,1.4,2.85,1.35,2.5,1.444,3
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,Bjorkman J.,17,27,6,0,7,6,,,,,,,2,0,Completed,1.125,5.5,1.14,5.25,1.1,5.85,1.1,4.5,1.194,5.15
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Pavel A.,Saulnier C.,22,81,6,2,7,5,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.95,1.8,1.25,3,1.282,4
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Melzer J.,Massu N.,68,11,6,3,6,0,,,,,,,2,0,Completed,3.5,1.286,3.4,1.3,3.22,1.32,2.7,1.3,3.7,1.313
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Zabaleta M.,Soderling R.,28,48,3,6,6,1,6,4,,,,,2,1,Completed,1.286,3.5,1.33,3.2,1.35,3.1,1.35,2.5,1.385,3.25
27,Hamburg,Hamburg TMS,11/05/04,Masters,Outdoor,Clay,1st Round,3,Hernandez O.,Schalken S.,93,16,5,1,,,,,,,,,0,0,Retired,2.25,1.571,2.3,1.6,2.15,1.65,2.2,1.45,2.41,1.621
