ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,,
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Johansson T.,40,19,,,4,6,6,3,6,4,,,,,2,1,Completed,1.53,2.37,1.57,2.35,1.56,2.34,1.55,2.1,1.719,2.19
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Youzhny M.,Beck K.,24,41,,,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.35,3.1,1.46,2.6,1.4,2.5,1.465,2.87
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Ancic M.,Mayer F.,21,47,,,6,1,6,2,,,,,,,2,0,Completed,1.61,2.2,1.7,2.1,1.73,2.03,1.55,2.1,1.735,2.16
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Rusedski G.,Petzschner P.,45,304,,,7,6,3,6,6,3,,,,,2,1,Completed,1.28,3.5,,,1.41,2.79,1.3,2.9,1.424,3.06
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Johansson J.,27,12,,,6,1,6,4,,,,,,,2,0,Completed,1.36,3,1.37,3,1.36,2.97,1.35,2.7,1.376,3.26
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Kiefer N.,Kohlschreiber P.,29,73,,,6,4,6,3,,,,,,,2,0,Completed,1.19,4.33,1.22,4.1,1.28,3.46,1.25,3.2,1.21,4.86
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Rochus C.,Ventura S.,68,72,,,6,3,6,2,,,,,,,2,0,Completed,2.2,1.61,2,1.77,,,2,1.6,2.21,1.709
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Karlovic I.,56,77,,,6,1,1,0,,,,,,,1,0,Retired,1.08,7,1.08,7.25,1.1,6.25,1.1,5,1.091,9
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Ljubicic I.,Horna L.,13,58,,,6,3,6,3,,,,,,,2,0,Completed,1.39,2.75,1.45,2.7,1.48,2.54,1.4,2.5,1.439,2.98
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Kuerten G.,Pavel A.,110,36,,,6,2,6,1,,,,,,,2,0,Completed,2.2,1.61,2.35,1.57,2.3,1.6,2.1,1.55,2.53,1.578
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Stepanek R.,Saulnier C.,15,49,,,7,6,6,2,,,,,,,2,0,Completed,1.19,4.33,1.18,4.65,1.2,4.25,1.2,3.6,1.138,6.5
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Federer R.,Verdasco F.,1,48,,,6,4,6,3,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.18,4.45,1.15,4,1.16,5.75
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Massu N.,Roddick A.,25,3,,,7,6,4,6,7,5,,,,,2,1,Completed,3,1.36,3.1,1.35,2.9,1.38,2.5,1.4,3.55,1.333
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Robredo T.,Waske A.,16,139,,,4,6,7,5,6,3,,,,,2,1,Completed,1.12,5.5,1.16,5,1.14,5.19,1.15,4,1.154,5.9
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Melzer J.,39,35,,,6,3,7,5,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.14,5.19,1.1,5,1.108,7.95
29,Hamburg,Hamburg TMS,09/05/05,Masters,Outdoor,Clay,1st Round,3,Henman T.,Burgsmuller L.,9,91,,,6,3,6,4,,,,,,,2,0,Completed,1.1,6.5,1.15,5.2,1.13,5.5,1.1,5,1.148,6.1
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Berdych T.,Ferrer D.,46,17,,,6,2,2,6,6,3,,,,,2,1,Completed,5,1.14,4.1,1.22,3.89,1.23,3.6,1.2,5,1.2
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Puerta M.,Rochus O.,44,38,,,4,6,6,1,6,3,,,,,2,1,Completed,,,1.4,2.85,1.39,2.83,1.4,2.5,1.398,3.16
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Monaco J.,Andreev I.,62,34,,,6,2,6,7,6,1,,,,,2,1,Completed,,,2.15,1.67,2.1,1.7,2.1,1.55,2.19,1.719
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Soderling R.,Nalbandian D.,37,11,,,7,6,7,5,,,,,,,2,0,Completed,7,1.08,7.25,1.08,6.25,1.1,5,1.1,9.29,1.089
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Gonzalez F.,Mathieu P.,23,66,,,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.3,3.35,1.3,2.9,1.275,4.08
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Sanchez D.,6,135,,,6,2,6,2,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.17,4.67,1.2,3.6,1.206,4.95
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Hrbaty D.,Haas T.,18,22,,,6,4,7,5,,,,,,,2,0,Completed,2.1,1.66,2,1.77,1.95,1.8,1.9,1.7,2.31,1.662
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Costa A.,Mirnyi M.,64,42,,,7,6,7,5,,,,,,,2,0,Completed,1.61,2.2,1.65,2.2,1.7,2.1,1.6,2,1.676,2.28
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Volandri F.,Almagro N.,31,80,,,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.65,2.15,1.6,2,1.709,2.21
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Davydenko N.,Llodra M.,20,51,,,6,1,6,1,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.14,5.19,1.15,4,1.174,5.35
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Coria G.,Spadea V.,8,43,,,6,0,6,2,,,,,,,2,0,Completed,1.05,8.5,1.06,8.5,1.06,7.79,1.05,6,1.089,9.25
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Lopez F.,Agassi A.,26,7,,,6,2,7,6,,,,,,,2,0,Completed,4.33,1.19,4.1,1.22,3.75,1.25,3.2,1.25,4.65,1.23
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Seppi A.,Schuettler R.,113,63,,,7,5,6,7,6,4,,,,,2,1,Completed,1.44,2.62,1.42,2.8,1.48,2.53,1.5,2.2,1.417,3.05
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Canas G.,Santoro F.,10,50,,,6,2,6,1,,,,,,,2,0,Completed,1.16,4.5,1.18,4.65,1.17,4.67,1.2,3.6,1.238,4.55
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Novak J.,Srichaphan P.,28,33,,,6,2,6,3,,,,,,,2,0,Completed,1.19,4.33,1.2,4.4,1.2,4.25,1.25,3.2,1.241,4.5
29,Hamburg,Hamburg TMS,10/05/05,Masters,Outdoor,Clay,1st Round,3,Safin M.,Martin A.,4,53,,,6,1,6,0,,,,,,,2,0,Completed,1.39,2.75,1.45,2.7,1.55,2.35,1.45,2.35,1.495,2.79
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Robredo T.,Kuerten G.,16,110,,,6,3,6,0,,,,,,,2,0,Completed,1.72,2,1.88,1.88,1.95,1.8,1.8,1.8,2.05,1.8
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Henman T.,Rusedski G.,9,45,,,7,6,6,4,,,,,,,2,0,Completed,1.11,6,1.11,6.25,1.1,6.25,1.1,5,1.095,8.75
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Chela J.I.,Soderling R.,40,37,,,6,1,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.7,2.1,1.5,2.2,1.714,2.2
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Davydenko N.,Puerta M.,20,44,,,7,5,6,3,,,,,,,2,0,Completed,1.83,1.83,2.2,1.65,2.2,1.63,1.8,1.8,2.17,1.73
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Novak J.,Monaco J.,28,62,,,6,3,4,6,7,6,,,,,2,1,Completed,1.61,2.2,1.83,1.93,1.67,2.12,1.7,1.9,1.917,1.901
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Rochus C.,Ljubicic I.,68,13,,,6,4,6,3,,,,,,,2,0,Completed,3.75,1.25,4.1,1.22,3.35,1.3,3.2,1.25,4.1,1.274
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Ancic M.,Gonzalez F.,21,23,,,6,3,7,6,,,,,,,2,0,Completed,3.39,1.3,3.1,1.35,2.92,1.37,2.5,1.4,3.64,1.324
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Federer R.,Berdych T.,1,46,,,6,2,6,1,,,,,,,2,0,Completed,1.05,8.5,1.06,8.5,1.1,6.75,1.05,6,1.063,12.75
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Coria G.,Youzhny M.,8,24,,,6,2,6,3,,,,,,,2,0,Completed,1.07,7.5,1.06,8.5,1.1,6.25,1.05,6,1.062,13.25
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Gasquet R.,Massu N.,56,25,,,2,6,6,2,6,2,,,,,2,1,Completed,1.36,3,1.4,2.85,1.45,2.6,1.5,2.2,1.391,3.21
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Gaudio G.,Costa A.,6,64,,,7,5,6,0,,,,,,,2,0,Completed,1.22,4,1.25,3.85,1.2,4.25,1.25,3.2,1.222,4.75
29,Hamburg,Hamburg TMS,11/05/05,Masters,Outdoor,Clay,2nd Round,3,Hrbaty D.,Stepanek R.,18,15,,,7,5,7,6,,,,,,,2,0,Completed,1.83,1.83,1.88,1.88,1.9,1.85,1.85,1.75,1.82,2.02
