ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Clement A.,Stepanek R.,50,29,720,955,6,3,6,7,6,3,,,,,2,1,Completed,2.75,1.4,2.6,1.48,2.6,1.45,3.05,1.444,2.5,1.5
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Almagro N.,Verkerk M.,52,779,700,16,6,1,6,3,,,,,,,2,0,Completed,1.06,8,1.05,9,,,1.083,11,1.05,10
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Simon G.,Gicquel M.,54,41,675,792,6,1,6,0,,,,,,,2,0,Completed,1.72,2,1.7,2.1,1.85,1.9,1.847,2.08,1.64,2.2
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Mathieu P.H.,Rochus O.,37,47,825,730,6,1,7,6,,,,,,,2,0,Completed,1.36,3,1.37,3,1.35,3.1,1.377,3.45,1.42,2.76
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Wawrinka S.,19,46,1355,740,6,1,7,6,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.25,3.74,1.333,3.7,1.3,3.4
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Serra F.,Bolelli S.,80,76,510,523,6,7,6,2,6,2,,,,,2,1,Completed,2,1.72,2,1.77,1.87,1.87,2.13,1.813,1.94,1.82
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Andreev I.,Tursunov D.,164,24,265,1150,6,2,1,0,,,,,,,1,0,Retired,1.16,4.5,1.2,4.4,1.17,4.67,1.172,6.3,1.2,4.3
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Monaco J.,Hrbaty D.,48,25,730,1068,6,2,6,2,,,,,,,2,0,Completed,1.39,2.75,1.45,2.7,1.4,2.85,1.415,3.21,1.43,2.74
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Canas G.,21,20,1245,1267,6,1,4,6,6,1,,,,,2,1,Completed,2.5,1.5,2.45,1.53,2.28,1.58,2.41,1.662,2.35,1.57
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Gaudio G.,13,63,1795,580,6,1,6,4,,,,,,,2,0,Completed,1.19,4.33,1.16,5,1.17,4.67,1.172,6.3,1.15,5.1
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Soderling R.,Ginepri R.,27,49,1013,720,4,6,6,4,6,3,,,,,2,1,Completed,1.19,4.33,1.16,5,1.21,4.06,1.182,6,1.18,4.6
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Hewitt L.,Calleri A.,22,28,1240,1000,6,3,6,4,,,,,,,2,0,Completed,2.37,1.53,2.45,1.53,2.2,1.63,2.5,1.625,2.5,1.5
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Ferrer D.,Bjorkman J.,14,40,1725,805,6,4,3,6,6,2,,,,,2,1,Completed,1.05,9,1.06,8.5,1.04,9.25,1.05,16,1.06,8.5
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Berdych T.,Verdasco F.,12,39,1990,815,7,6,6,4,,,,,,,2,0,Completed,1.33,3.25,1.4,2.85,1.4,2.85,1.391,3.36,1.4,2.85
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Baghdatis M.,33,18,875,1375,7,5,6,3,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.58,2.28,1.578,2.63,1.57,2.35
29,Hamburg,Hamburg TMS,14/05/07,Masters,Outdoor,Clay,1st Round,3,Safin M.,Massu N.,26,51,1065,700,7,6,6,4,,,,,,,2,0,Completed,1.8,1.9,1.88,1.88,1.87,1.87,1.813,2.13,1.96,1.8
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Hernandez O.,Becker B.,69,43,556,754,6,3,6,7,6,3,,,,,2,1,Completed,1.4,2.75,1.37,3,1.45,2.6,1.467,2.94,1.47,2.6
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Moya C.,Fish M.,36,30,860,900,6,0,6,3,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.28,3.46,1.287,4.19,1.25,3.8
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Nieminen J.,Summerer T.,23,219,1170,176,6,1,7,6,,,,,,,2,0,Completed,1.2,4.33,1.2,4.4,1.2,4.25,1.25,4.6,1.2,4.3
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Acasuso J.,Garcia-Lopez G.,32,59,885,609,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.55,2.4,1.5,2.45,1.595,2.58,1.6,2.28
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Benneteau J.,Schuettler R.,38,135,822,323,7,6,6,2,,,,,,,2,0,Completed,1.4,2.75,1.42,2.8,1.4,2.85,1.457,2.99,1.44,2.7
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Volandri F.,Murray A.,34,10,872,2120,1,5,,,,,,,,,0,0,Retired,1.72,2,1.62,2.25,1.65,2.15,1.826,2.11,1.67,2.15
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Mayer F.,Youzhny M.,45,15,750,1685,6,4,2,6,7,6,,,,,2,1,Completed,4,1.22,3.85,1.25,4.06,1.21,4.18,1.287,3.8,1.25
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,1st Round,3,Melzer J.,Waske A.,35,112,865,377,6,3,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.55,1.5,2.45,1.552,2.71,1.44,2.7
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,2nd Round,3,Ferrer D.,Soderling R.,14,27,1725,1013,1,6,6,3,6,2,,,,,2,1,Completed,1.66,2.1,1.7,2.1,1.73,2.03,1.735,2.26,1.67,2.15
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,2nd Round,3,Ljubicic I.,Serra F.,8,80,2220,510,4,6,6,2,6,2,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.58,2.28,1.606,2.55,1.55,2.38
29,Hamburg,Hamburg TMS,15/05/07,Masters,Outdoor,Clay,2nd Round,3,Almagro N.,Robredo T.,52,7,700,2595,6,7,6,2,6,4,,,,,2,1,Completed,2.37,1.53,2.25,1.62,2.3,1.6,2.71,1.552,2.28,1.6
29,Hamburg,Hamburg TMS,16/05/07,Masters,Outdoor,Clay,2nd Round,3,Hewitt L.,Chela J.I.,22,21,1240,1245,6,2,7,6,,,,,,,2,0,Completed,2.75,1.39,2.85,1.4,2.85,1.4,3.11,1.433,2.94,1.38
