ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
28,Hamburg,Hamburg TMS,11/05/08,Masters,Outdoor,Clay,1st Round,3,Karlovic I.,Zverev M.,24,73,1265,518,7,6,7,6,,,,,,,2,0,Completed,1.3,3.39,1.35,3.1,1.3,3.4,1.403,3.28,1.3,3.4
28,Hamburg,Hamburg TMS,11/05/08,Masters,Outdoor,Clay,1st Round,3,Simon G.,Malisse X.,35,245,900,155,6,4,7,5,,,,,,,2,0,Completed,1.44,2.62,1.53,2.41,1.4,2.75,1.524,2.78,1.45,2.67
28,Hamburg,Hamburg TMS,11/05/08,Masters,Outdoor,Clay,1st Round,3,Ljubicic I.,Darcis S.,29,44,1045,759,6,7,7,5,7,6,,,,,2,1,Completed,2.1,1.66,2.1,1.7,2,1.727,2.2,1.769,2.1,1.7
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Verdasco F.,Youzhny M.,28,13,1120,1410,6,3,6,2,,,,,,,2,0,Completed,1.61,2.2,1.6,2.3,1.667,2.1,1.763,2.21,1.6,2.28
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Monaco J.,Volandri F.,15,66,1405,565,6,1,4,0,,,,,,,1,0,Retired,1.36,3,1.4,2.85,1.4,2.75,1.448,3.03,1.4,2.85
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Minar I.,Lopez F.,70,32,538,955,6,3,6,4,,,,,,,2,0,Completed,2.62,1.44,2.53,1.48,2.5,1.5,2.64,1.575,2.45,1.53
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Rochus O.,Naso G.,75,275,516,135,7,6,2,6,6,4,,,,,2,1,Completed,1.66,2.1,1.65,2.15,1.667,2.1,1.82,2.12,1.72,2.07
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Bolelli S.,Granollers M.,49,54,706,662,7,5,6,2,,,,,,,2,0,Completed,1.53,2.37,1.5,2.45,1.615,2.2,1.662,2.41,1.58,2.32
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Tsonga J.W.,Mahut N.,18,42,1385,781,0,6,7,6,6,2,,,,,2,1,Completed,1.28,3.5,1.32,3.22,1.3,3.4,1.328,3.75,1.33,3.2
28,Hamburg,Hamburg TMS,12/05/08,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Sanchez De Luna J.,39,304,805,117,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.21,4.06,1.16,4.5,1.225,5.05,1.15,5.2
