ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;Unnamed: 34;Unnamed: 35;EXW;EXL;PSW;PSL;Unnamed: 36;Unnamed: 37;WPts;LPts;UBW;UBL;LBW;LBL
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Schalken S.;Kafelnikov Y.;44,0;3,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Rosset M.;Lapentti N.;41,0;9,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Medvedev A.;Hrbaty D.;25,0;13,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Safin M.;Costa A.;14,0;18,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Kohlmann M.;Haas T.;179,0;19,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Rios M.;Escude N.;20,0;21,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Ferreira W.;Rafter P.;52,0;22,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Hewitt L.;Philippoussis M.;10,0;24,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Grosjean S.;Santoro F.;33,0;26,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Henman T.;Arazi H.;12,0;27,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Kuerten G.;Alami K.;7,0;28,0;5,0;7,0;6,0;2,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Puerta M.;Koubek S.;30,0;29,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Martin T.;Vicente F.;23,0;31,0;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Hamburg;Hamburg TMS;15/05/00;Masters;Outdoor;Clay;1st Round;3,0;Gambill J.M.;Chang M.;72,0;32,0;7,0;5,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;
