ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Agassi A.,Arazi H.,4,42,6,3,6,2,,,,,,,2,0,Completed,1.2,4,1.12,4.2,1.15,3.8,1.167,4.5
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,El Aynaoui Y.,51,58,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Clavet F.,Koubek S.,31,83,6,0,6,2,,,,,,,2,0,Completed,1.42,2.7,1.4,2.4,1.35,2.5,1.444,2.625
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Clement A.,Ilie A.,12,40,6,0,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.4,1.35,2.5,1.364,2.875
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Gaudio G.,7,30,3,6,7,6,7,6,,,,,2,1,Completed,1.4,2.75,1.45,2.3,1.4,2.3,1.4,2.75
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Dent T.,Ferreira W.,197,17,6,3,6,0,,,,,,,2,0,Completed,2.75,1.4,3.4,1.2,3,1.25,3,1.333
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,di Pasquale A.,Voltchkov V.,63,28,6,1,7,6,,,,,,,2,0,Completed,2.3,1.55,2.05,1.57,2,1.55,2.375,1.533
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Enqvist T.,Rosset M.,9,61,7,6,2,6,6,4,,,,,2,1,Completed,1.55,2.3,1.41,2.4,1.45,2.2,1.533,2.375
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Escude N.,Vinciguerra A.,36,46,7,6,7,5,,,,,,,2,0,Completed,1.7,2.05,1.6,2,1.7,1.8,1.667,2.1
20,Indian Wells,Indian Wells TMS,12/03/01,Masters,Outdoor,Hard,1st Round,3,Fish M.,Philippoussis M.,206,15,6,4,6,7,6,4,,,,,2,1,Completed,3.65,1.25,3.4,1.2,3,1.25,3.5,1.25
