ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Boutter J.,Hrbaty D.,63,57,6,1,6,4,,,,,,,2,0,Completed,,,1.85,1.85,1.8,1.8,1.75,1.75,2,1.727
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Mirnyi M.,41,39,4,6,6,2,7,5,,,,,2,1,Completed,,,1.8,1.95,1.8,1.8,1.8,1.7,1.833,1.833
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Gaudenzi A.,18,53,6,2,6,4,,,,,,,2,0,Completed,,,1.45,2.6,1.57,2.1,1.45,2.2,1.444,2.625
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Costa A.,Ulihrach B.,30,40,6,1,3,6,6,3,,,,,2,1,Completed,,,1.9,1.8,1.83,1.77,1.75,1.75,2.1,1.667
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Enqvist T.,Johansson T.,22,9,7,6,2,6,6,4,,,,,2,1,Completed,,,1.9,1.85,1.8,1.8,1.85,1.65,2,1.727
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Escude N.,Schalken S.,23,28,6,3,6,0,,,,,,,2,0,Completed,,,1.4,2.7,1.52,2.2,1.4,2.3,1.444,2.625
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Federer R.,Malisse X.,14,33,6,7,7,6,6,3,,,,,2,1,Completed,,,1.42,2.7,1.57,2.1,1.5,2.1,1.444,2.625
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Blake J.,27,49,3,6,6,3,6,2,,,,,2,1,Completed,,,1.75,2,1.77,1.83,1.55,2,1.8,1.909
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Canas G.,62,17,6,4,6,2,,,,,,,2,0,Completed,,,2.2,1.6,2.02,1.62,2,1.55,2.25,1.571
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Mantilla F.,60,32,7,5,6,2,,,,,,,2,0,Completed,,,,,,,,,,
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Haas T.,Sanchez D.,6,66,6,3,7,5,,,,,,,2,0,Completed,,,1.17,4.4,1.15,4.25,1.15,3.8,1.222,4
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Henman T.,Robredo T.,11,34,6,2,6,7,6,4,,,,,2,1,Completed,,,1.3,3.15,1.37,2.6,1.2,3.3,1.286,3.25
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Hewitt L.,Moya C.,1,24,6,4,6,4,,,,,,,2,0,Completed,,,1.28,3.4,1.37,2.6,1.25,3,1.286,3.5
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Kafelnikov Y.,Bjorkman J.,3,48,7,5,6,3,,,,,,,2,0,Completed,,,1.33,3,1.42,2.45,1.25,3,1.4,2.75
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Dent T.,47,96,7,6,6,3,,,,,,,2,0,Completed,,,2.1,1.65,1.85,1.75,1.9,1.6,2.1,1.667
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Koubek S.,El Aynaoui Y.,51,21,7,6,6,3,,,,,,,2,0,Completed,,,3,1.35,2.6,1.37,3,1.25,3,1.333
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Kratochvil M.,Agassi A.,44,5,7,6,7,6,,,,,,,2,0,Completed,,,5.5,1.11,5.25,1.1,4.5,1.1,5.5,1.125
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Kucera K.,Lapentti N.,84,19,6,2,6,3,,,,,,,2,0,Completed,,,2.1,1.67,2.02,1.62,2.2,1.45,2.25,1.571
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Martin T.,Arthurs W.,64,97,6,1,7,6,,,,,,,2,0,Completed,,,1.35,3,1.47,2.3,1.35,2.5,1.4,2.75
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Nalbandian D.,Clement A.,46,43,7,6,6,3,,,,,,,2,0,Completed,,,2.25,1.57,1.85,1.75,1.9,1.6,2.2,1.615
19,Indian Wells,Pacific Life Open,11/03/02,Masters,Outdoor,Hard,1st Round,3,Novak J.,Rochus O.,15,71,5,7,7,5,6,2,,,,,2,1,Completed,,,1.33,3.1,1.4,2.5,1.3,2.7,1.364,2.875
