ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Haas T.,Enqvist T.,882,64,6,4,3,6,6,3,,,,,2,1,Completed,3,1.364,3.2,1.35,3.1,1.35,2.7,1.3,3.45,1.345
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Canas G.,Volandri F.,104,42,6,4,,,,,,,,,1,0,Retired,1.615,2.2,1.57,2.4,1.55,2.35,1.6,1.9,1.541,2.65
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Youzhny M.,Lee H.T.,51,87,3,6,6,3,6,1,,,,,2,1,Completed,1.5,2.5,1.53,2.5,1.58,2.28,1.4,2.3,1.613,2.45
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Horna L.,Moodie W.,61,101,6,2,7,6,,,,,,,2,0,Completed,2.5,1.5,2.35,1.6,2.28,1.58,2.2,1.45,2.52,1.588
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Sanchez D.,Saulnier C.,58,75,4,6,6,4,6,2,,,,,2,1,Completed,2.75,1.4,2.95,1.4,2.75,1.42,2.5,1.35,3.25,1.385
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Ramirez-Hidalgo R.,62,69,6,2,6,3,,,,,,,2,0,Completed,1.667,2.1,1.67,2.2,1.65,2.15,1.7,1.8,1.709,2.25
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Corretja A.,Ferrer D.,98,67,7,6,3,6,7,5,,,,,2,1,Completed,1.909,1.8,2.1,1.73,2.1,1.7,1.9,1.6,2.21,1.73
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Ferreira W.,Andreev I.,48,84,6,4,6,2,,,,,,,2,0,Completed,1.667,2.1,1.8,2,1.67,2.12,1.55,2,1.781,2.12
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Beck K.,56,70,6,3,6,3,,,,,,,2,0,Completed,1.727,2,1.8,2,1.8,1.95,1.6,1.9,1.926,1.926
18,Indian Wells,Pacific Life Open,12/03/04,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Karlovic I.,49,71,7,6,6,7,7,6,,,,,2,1,Completed,1.444,2.625,1.45,2.75,1.37,2.92,1.35,2.5,1.392,3.2
