ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Sargsian S.,Reynolds B.,81,187,,,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,,,,,1.6,1.9,1.926,1.893
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Monaco J.,Dupuis A.,88,112,,,6,2,6,2,,,,,,,2,0,Completed,1.83,1.83,1.77,2,1.7,2.1,1.8,1.7,1.775,2.09
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Monfils G.,Morrison J.,140,108,,,7,5,6,4,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.44,2.67,1.45,2.2,1.5,2.75
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Enqvist T.,Beck K.,97,42,,,6,0,7,5,,,,,,,2,0,Completed,2.1,1.66,2.2,1.65,2.12,1.67,2,1.55,2.26,1.685
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Calleri A.,Tursunov D.,59,119,,,6,1,3,6,6,3,,,,,2,1,Completed,1.28,3.5,1.25,3.85,1.21,4.06,1.25,3,1.276,4.07
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Zabaleta M.,39,51,,,7,5,6,4,,,,,,,2,0,Completed,1.39,2.75,1.37,3,1.37,2.92,1.4,2.3,1.377,3.25
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Verdasco F.,Odesnik W.,45,367,,,7,6,6,4,,,,,,,2,0,Completed,1.16,4.5,,,1.25,3.9,1.2,3.3,1.235,4.6
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Carlsen K.,Mayer F.,56,43,,,7,5,6,3,,,,,,,2,0,Completed,1.66,2.1,1.67,2.15,1.7,2.1,1.65,1.85,1.662,2.31
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Karlovic I.,Benneteau J.,61,82,,,7,6,6,4,,,,,,,2,0,Completed,1.61,2.2,1.57,2.35,1.65,2.15,1.55,2,1.585,2.51
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Berdych T.,Arazi H.,48,124,,,6,1,6,1,,,,,,,2,0,Completed,1.28,3.5,1.28,3.55,1.25,3.9,1.25,3,1.302,3.81
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Andreev I.,93,46,,,6,3,6,3,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.45,2.6,1.5,2.1,1.474,2.84
19,Indian Wells,Pacific Life Open,11/03/05,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Malisse X.,37,35,,,6,3,4,6,7,6,,,,,2,1,Completed,1.83,1.83,1.8,1.97,1.9,1.85,1.75,1.75,1.917,1.901
