ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Salzenstein J.,36,495,888,47,6,7,6,3,6,1,,,,,2,1,Completed,1.44,2.62,,,1.42,2.75,1.606,2.55,1.48,2.5
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Carlsen K.,Muller G.,110,69,375,582,6,3,4,6,6,3,,,,,2,1,Completed,2,1.72,1.9,1.9,1.95,1.8,1.877,2.04,1.82,1.93
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Clement A.,Weiner G.,52,230,751,153,6,3,6,2,,,,,,,2,0,Completed,1.3,3.39,1.28,3.65,1.3,3.35,1.36,3.58,1.25,3.65
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Fish M.,Lapentti G.,294,289,110,113,5,7,6,3,6,3,,,,,2,1,Completed,1.53,2.37,1.6,2.35,1.6,2.3,1.633,2.48,1.65,2.25
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Goldstein P.,Martin A.,63,60,612,656,3,6,6,1,6,1,,,,,2,1,Completed,1.61,2.2,1.65,2.25,1.63,2.2,1.699,2.33,1.66,2.15
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Hernych J.,Vik R.,87,66,465,598,6,1,6,4,,,,,,,2,0,Completed,2,1.72,2.15,1.7,1.87,1.87,2.08,1.847,2,1.77
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Karlovic I.,Zib T.,59,71,670,573,7,6,6,4,,,,,,,2,0,Completed,1.28,3.5,1.3,3.5,1.35,2.9,1.351,3.65,1.31,3.3
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Serra F.,94,38,426,854,3,6,6,4,6,3,,,,,2,1,Completed,2,1.72,1.9,1.9,1.87,1.87,2.01,1.901,1.98,1.78
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Mayer F.,Philippoussis M.,65,165,599,248,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.6,2.35,1.44,2.67,1.562,2.68,1.55,2.38
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Murray A.,Mazarakis V.,44,126,816,344,6,2,6,1,,,,,,,2,0,Completed,1.12,5.5,1.14,5.65,1.15,5.2,1.146,7.25,1.12,5.75
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Querry S.,Reynolds B.,443,114,58,373,6,3,7,5,,,,,,,2,0,Completed,2.25,1.57,,,,,2.61,1.585,,
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Safin M.,Delic A.,53,161,750,252,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.25,3.9,1.243,4.71,1.15,5.1
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Melzer J.,64,76,610,550,6,4,6,4,,,,,,,2,0,Completed,1.39,2.75,1.42,2.85,1.4,2.85,1.459,2.98,1.45,2.66
19,Indian Wells,Pacific Life Open,10/03/06,Masters,Outdoor,Hard,1st Round,3,Tursunov D.,Behrend T.,50,103,785,411,6,4,6,2,,,,,,,2,0,Completed,1.16,4.5,1.15,5.5,1.15,5.5,1.2,5.51,1.15,5.1
19,Indian Wells,Pacific Life Open,11/03/06,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Djokovic N.,88,67,459,591,6,3,6,4,,,,,,,2,0,Completed,2.37,1.53,2.25,1.65,2.3,1.6,2.47,1.637,2.25,1.6
19,Indian Wells,Pacific Life Open,11/03/06,Masters,Outdoor,Hard,1st Round,3,Bracciali D.,Horna L.,70,48,576,797,6,3,6,3,,,,,,,2,0,Completed,2.37,1.53,2.6,1.5,2.53,1.48,2.64,1.575,2.45,1.52
