ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Llodra M.,52,38,657,873,6,2,6,3,,,,,,,2,0,Completed,2.62,1.44,2.6,1.45,2.625,1.444,2.96,1.463,2.4,1.54
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Sela D.,Kiefer N.,64,49,558,705,6,4,6,7,6,3,,,,,2,1,Completed,2.75,1.39,2.92,1.37,3,1.364,3.51,1.369,2.64,1.46
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Seppi A.,Capdeville P.,40,118,794,378,4,6,7,6,6,2,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.444,2.625,1.568,2.66,1.44,2.7
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Giraldo S.,Eschauer W.,141,83,317,487,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,1.37,2.92,1.5,2.5,1.444,3.05,1.42,2.78
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Grosjean S.,39,51,810,661,6,3,6,3,,,,,,,2,0,Completed,1.33,3.25,1.4,2.85,1.333,3.25,1.398,3.31,1.4,2.85
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Wawrinka S.,Levine J.,35,163,955,267,7,5,4,6,6,4,,,,,2,1,Completed,1.19,4.33,1.2,4.25,1.2,4.333,1.27,4.4,1.2,4.35
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Volandri F.,59,43,595,770,6,3,7,6,,,,,,,2,0,Completed,1.44,2.62,1.35,3.1,1.44,2.62,1.469,2.93,1.37,3
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Clement A.,67,68,551,540,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.58,2.28,1.615,2.2,1.69,2.35,1.62,2.24
19,Indian Wells,Pacific Life Open,13/03/08,Masters,Outdoor,Hard,1st Round,3,Fognini F.,Schuettler R.,75,89,511,474,2,6,6,3,6,3,,,,,2,1,Completed,,,,,,,,,,
19,Indian Wells,Pacific Life Open,14/03/08,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Serra F.,350,97,95,456,6,7,6,2,6,0,,,,,2,1,Completed,1.57,2.25,1.7,2.1,1.615,2.2,1.676,2.38,1.64,2.2
