ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Fognini F.,Rochus O.,55,59,780,754,6,4,1,6,7,5,,,,,2,1,Completed,2.5,1.5,2.35,1.55,2.25,1.571,2.7,1.541,2.375,1.533
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Serra F.,Falla A.,63,71,720,667,6,1,6,2,,,,,,,2,0,Completed,1.61,2.2,1.7,2.1,1.667,2.1,1.769,2.2,1.667,2.1
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Lacko L.,49,60,869,729,4,6,6,4,7,5,,,,,2,1,Completed,2.2,1.61,2.1,1.7,2.2,1.61,2.16,1.794,2.2,1.615
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Starace P.,44,67,905,682,6,1,4,1,,,,,,,1,0,Retired,1.33,3.25,1.37,2.95,1.364,3,1.376,3.41,1.286,3.25
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Moya C.,Smyczek T.,639,295,30,152,7,6,7,6,,,,,,,2,0,Completed,1.72,2,1.75,2.05,1.667,2.1,1.826,2.12,1.667,2.1
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Cuevas P.,Gil F.,47,104,890,505,6,4,7,5,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.615,2.2,1.8,2.15,1.571,2.25
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Delgado R.,Beck A.,165,48,295,879,6,7,6,2,6,4,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.66,2.1,1.75,2.24,,
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Ancic M.,Reynolds B.,694,414,23,85,4,6,6,3,6,4,,,,,2,1,Completed,2,1.72,2.05,1.7,2,1.72,2.01,1.917,2,1.727
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Petzschner P.,Rochus C.,54,136,792,388,6,2,7,5,,,,,,,2,0,Completed,1.22,4,1.25,3.6,1.25,3.75,1.235,4.76,1.25,3.5
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Phau B.,127,112,423,481,6,3,6,3,,,,,,,2,0,Completed,1.53,2.37,1.55,2.35,1.533,2.375,1.649,2.42,1.571,2.25
19,Indian Wells,BNP Paribas Open,11/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Dabul B.,Mayer L.,175,66,276,687,7,6,6,2,,,,,,,2,0,Completed,3,1.36,2.75,1.42,3,1.364,3.08,1.439,3,1.333
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Koellerer D.,Ram R.,96,79,537,606,6,1,6,3,,,,,,,2,0,Completed,1.57,2.25,,,1.444,2.625,2.02,1.909,1.4,2.75
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Fish M.,Berrer M.,106,51,490,849,1,6,6,1,6,3,,,,,2,1,Completed,1.72,2,1.8,1.95,1.833,1.833,1.741,2.25,1.833,1.833
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Schuettler R.,Alves T.,90,129,564,414,7,5,6,0,,,,,,,2,0,Completed,1.53,2.37,1.58,2.28,1.571,2.25,1.658,2.4,1.571,2.25
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,Dent T.,284,77,158,611,6,3,6,4,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,3,1.364,3.25,1.405,2.875,1.364
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Gulbis E.,Chiudinelli M.,45,56,904,761,3,6,6,3,6,3,,,,,2,1,Completed,1.3,3.4,1.35,3.1,1.364,3,1.313,3.88,1.364,2.875
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Sela D.,Levine J.,72,113,639,469,6,2,6,2,,,,,,,2,0,Completed,1.83,1.83,1.65,2.15,1.833,1.833,1.98,1.943,2,1.727
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Hernandez O.,103,78,507,608,6,1,6,2,,,,,,,2,0,Completed,1.12,5.5,1.14,5.2,1.143,5,1.128,7.51,1.125,5.5
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Matosevic M.,Llodra M.,240,65,191,717,6,3,6,0,,,,,,,2,0,Completed,2.75,1.4,2.75,1.42,2.625,1.444,2.59,1.578,2.875,1.364
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Greul S.,Gasquet R.,58,69,754,675,7,6,7,6,,,,,,,2,0,Completed,4.5,1.16,3.75,1.25,4,1.222,5.17,1.211,3.75,1.222
19,Indian Wells,BNP Paribas Open,12/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Almagro N.,Zverev M.,40,82,960,594,6,3,6,2,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.364,3,1.448,3.04,1.4,2.75
