ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Falla A.,Delbonis F.,75,44,682,994,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.3,1.62,2.2,1.59,2.52,1.62,2.25,1.63,2.6,1.56,2.38
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Smyczek T.,Sock J.,105,102,545,562,6,4,1,6,6,4,,,,,2,1,Completed,2.25,1.57,2.25,1.62,2.1,1.67,2.22,1.74,2.2,1.67,2.4,1.74,2.23,1.63
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Kubot L.,83,82,631,651,6,4,7,5,,,,,,,2,0,Completed,1.44,2.62,1.52,2.45,1.5,2.5,1.53,2.7,1.5,2.63,1.53,2.88,1.5,2.56
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Becker B.,42,90,1003,605,6,4,6,2,,,,,,,2,0,Completed,1.36,3,1.4,2.9,1.36,3,1.45,2.99,1.4,2.88,1.45,3.1,1.39,2.9
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Russell M.,Young D.,107,81,537,657,4,6,6,1,6,2,,,,,2,1,Completed,2,1.72,2.05,1.75,2,1.73,2.13,1.8,2,1.8,2.25,1.83,2.04,1.74
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Stepanek R.,Istomin D.,50,56,925,830,6,1,3,6,6,1,,,,,2,1,Completed,2.37,1.53,2.35,1.58,2.2,1.62,2.42,1.64,2.38,1.57,2.5,1.67,2.32,1.59
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Vesely J.,Sijsling I.,77,55,667,846,3,6,6,4,7,6,,,,,2,1,Completed,2.62,1.44,2.6,1.48,2.38,1.53,2.63,1.55,2.5,1.53,2.75,1.59,2.56,1.49
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Rosol L.,Lajovic D.,47,93,951,596,6,7,7,5,6,4,,,,,2,1,Completed,1.61,2.2,1.62,2.25,1.67,2.1,1.81,2.11,1.67,2.2,1.81,2.25,1.7,2.12
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Giraldo S.,Gimeno-Traver D.,71,97,703,582,6,3,4,6,6,4,,,,,2,1,Completed,1.4,2.75,1.4,2.9,1.4,2.75,1.45,2.99,1.4,2.88,1.45,3,1.41,2.84
19,Indian Wells,BNP Paribas Open,06/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Monaco J.,Polansky P.,43,143,1000,394,6,4,6,7,6,4,,,,,2,1,Completed,1.72,2,1.75,2.05,1.73,2,1.78,2.16,1.73,2.1,1.83,2.16,1.74,2.05
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Ebden M.,41,62,1020,741,7,6,3,6,6,3,,,,,2,1,Completed,1.25,3.75,1.28,3.5,1.29,3.5,1.32,3.73,1.29,3.5,1.32,3.9,1.28,3.57
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Williams R.,48,153,940,366,7,6,7,5,,,,,,,2,0,Completed,1.36,3,1.4,2.9,1.36,3,1.46,2.93,1.36,3,1.46,3.3,1.39,2.93
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Mathieu P.H.,Ginepri R.,123,311,477,144,6,2,6,3,,,,,,,2,0,Completed,1.53,2.37,1.5,2.5,1.57,2.25,1.61,2.47,1.62,2.25,1.62,2.56,1.57,2.37
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,Golubev A.,117,70,496,705,6,4,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.67,2.1,1.69,2.29,1.67,2.2,1.7,2.4,1.65,2.21
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Bogomolov A.,51,92,897,598,6,4,6,4,,,,,,,2,0,Completed,1.33,3.25,1.33,3.2,1.33,3.25,1.35,3.52,1.36,3,1.38,3.52,1.33,3.23
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Kuznetsov Al.,57,127,800,451,6,3,6,3,,,,,,,2,0,Completed,1.3,3.4,1.38,3,1.36,3,1.33,3.69,1.36,3,1.38,3.69,1.33,3.24
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Kamke T.,49,94,930,591,6,0,6,4,,,,,,,2,0,Completed,1.72,2,1.75,2.05,1.67,2.1,2,1.91,1.73,2.1,2,2.1,1.77,2.02
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,Groth S.,58,176,781,285,6,4,2,6,7,6,,,,,2,1,Completed,1.53,2.37,1.58,2.35,1.53,2.38,1.63,2.46,1.57,2.38,1.63,2.55,1.55,2.4
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Sousa J.,Nedovyesov A.,45,79,991,661,6,4,6,1,,,,,,,2,0,Completed,1.4,2.75,1.45,2.7,1.44,2.62,1.48,2.86,1.44,2.75,1.48,2.95,1.43,2.75
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Benneteau J.,Munoz-De La Nava D.,65,287,730,157,3,6,6,1,6,3,,,,,2,1,Completed,1.18,4.5,1.18,4.5,1.2,4.33,1.23,4.77,1.22,4,1.23,5.1,1.2,4.44
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Gabashvili T.,Mahut N.,60,39,761,1042,6,2,7,5,,,,,,,2,0,Completed,2.25,1.57,2.25,1.62,2.1,1.67,2.37,1.66,2.2,1.67,2.45,1.67,2.26,1.62
19,Indian Wells,BNP Paribas Open,07/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Gonzalez A.,Mannarino A.,91,66,602,726,5,7,6,4,7,6,,,,,2,1,Completed,3,1.36,2.9,1.4,2.75,1.4,3.11,1.42,2.88,1.4,3.3,1.45,2.87,1.4
