ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Benneteau J.,100,58,580,907,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.3,1.55,2.25,1.61,2.44,1.63,2.52,1.7,2.37,1.58
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,Opelka R.,74,199,714,276,4,6,7,6,6,4,,,,,2,1,Completed,1.36,3,1.35,2.95,1.36,3.25,1.39,3.27,1.4,3.35,1.36,3.13
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Zeballos H.,Sugita Y.,66,40,813,1240,6,7,6,4,7,6,,,,,2,1,Completed,2.75,1.4,2.75,1.4,2.75,1.44,2.95,1.46,3,1.46,2.84,1.42
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Marterer M.,Karlovic I.,73,80,734,680,6,7,7,6,6,3,,,,,2,1,Completed,1.83,1.83,1.85,1.85,1.91,1.91,1.98,1.93,2,1.97,1.91,1.89
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Young D.,49,99,1026,586,6,0,6,2,,,,,,,2,0,Completed,1.33,3.25,1.33,3.05,1.36,3.25,1.38,3.32,1.4,3.4,1.36,3.16
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Tsitsipas S.,Albot R.,71,88,756,643,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.37,2.85,1.4,3,1.45,2.97,1.45,3.05,1.41,2.93
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Lacko L.,91,103,621,561,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.75,2.2,1.8,2.27,1.71,2.13
19,Indian Wells,BNP Paribas Open,08/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Medvedev D.,Johnson S.,57,52,924,975,7,6,6,4,,,,,,,2,0,Completed,1.9,1.8,2,1.72,2.1,1.73,2.09,1.83,2.16,1.85,2.06,1.76
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,Pella G.,39,60,1260,880,6,2,1,6,6,2,,,,,2,1,Completed,1.57,2.25,1.55,2.3,1.61,2.25,1.58,2.54,1.66,2.55,1.59,2.35
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Polansky P.,Copil M.,134,81,412,677,7,6,6,7,7,6,,,,,2,1,Completed,2.2,1.61,2.25,1.57,2.25,1.61,2.41,1.64,2.41,1.7,2.26,1.64
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Berankis R.,44,106,1166,548,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.35,2.95,1.36,3.25,1.4,3.2,1.4,3.32,1.37,3.09
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Delbonis F.,Harrison R.,67,54,800,945,6,2,4,6,7,5,,,,,2,1,Completed,3.25,1.33,3.2,1.3,3.25,1.36,3.69,1.33,3.75,1.36,3.4,1.32
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Krueger M.,Paire B.,231,46,228,1075,6,4,1,6,6,4,,,,,2,1,Completed,2.37,1.53,2.35,1.53,2.5,1.53,2.5,1.6,2.6,1.65,2.43,1.56
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Donaldson J.,King E.,48,200,1038,276,6,1,4,6,6,4,,,,,2,1,Completed,1.22,4,1.23,3.75,1.25,4,1.26,4.38,1.29,4.45,1.24,4.04
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Kicker N.,Vesely J.,94,63,609,850,7,5,6,3,,,,,,,2,0,Completed,2.25,1.57,2.3,1.55,2.37,1.57,2.54,1.58,2.55,1.66,2.42,1.56
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Donskoy E.,Khachanov K.,76,41,707,1235,6,3,1,6,7,6,,,,,2,1,Completed,3.5,1.28,3.35,1.28,3.5,1.3,3.78,1.32,3.9,1.33,3.54,1.3
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Baghdatis M.,Nishioka Y.,102,255,564,197,7,5,3,6,7,5,,,,,2,1,Completed,1.22,4,1.25,3.6,1.28,3.75,1.3,3.88,1.3,4.2,1.27,3.76
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,Ebden M.,42,78,1220,685,6,3,6,3,,,,,,,2,0,Completed,1.18,4.5,1.2,4.1,1.22,4.33,1.24,4.54,1.24,4.7,1.21,4.37
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Sousa J.,Youzhny M.,85,95,660,604,4,6,6,4,7,6,,,,,2,1,Completed,1.53,2.37,1.53,2.35,1.53,2.5,1.64,2.42,1.64,2.54,1.58,2.39
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Escobedo E.,Tiafoe F.,117,64,481,844,7,5,6,3,,,,,,,2,0,Completed,2.62,1.44,2.75,1.4,2.62,1.5,3.1,1.43,3.13,1.5,2.81,1.43
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Bhambri Y.,Mahut N.,110,101,538,576,7,5,6,3,,,,,,,2,0,Completed,1.83,1.83,1.9,1.8,2,1.8,2,1.91,2.05,1.92,1.94,1.86
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Herbert P.H.,Simon G.,93,70,610,765,6,7,7,6,6,3,,,,,2,1,Completed,2.25,1.57,2.2,1.6,2.2,1.67,2.37,1.66,2.37,1.72,2.24,1.65
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Troicki V.,65,68,825,790,7,6,6,1,,,,,,,2,0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.73,2.24,1.75,2.32,1.67,2.21
19,Indian Wells,BNP Paribas Open,09/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Daniel T.,Norrie C.,109,111,539,529,6,3,1,6,6,1,,,,,2,1,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.83,1.49,2.95,1.49,2.76,1.45
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Sela D.,Gojowczyk P.,97,50,595,1016,6,4,6,4,,,,,,,2,0,Completed,2.75,1.4,2.8,1.38,3,1.4,3.06,1.43,3.15,1.46,2.91,1.41
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Sandgren T.,Basilashvili N.,59,83,893,666,6,3,2,1,,,,,,,1,0,Retired,1.53,2.37,1.5,2.4,1.57,2.37,1.56,2.61,1.61,2.66,1.55,2.49
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,De Minaur A.,Struff J.L.,141,56,401,930,3,6,7,6,7,6,,,,,2,1,Completed,1.9,1.8,1.8,1.9,1.91,1.91,1.88,2.02,2,2.03,1.87,1.93
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Mayer L.,Estrella Burgos V.,47,153,1044,357,4,6,6,4,6,1,,,,,2,1,Completed,1.14,5.5,1.13,5.2,1.14,5.5,1.15,6.41,1.18,6.85,1.14,5.73
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Pospisil V.,169,75,327,708,6,2,7,6,,,,,,,2,0,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.8,1.5,2.85,1.55,2.72,1.46
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Smyczek T.,Djere L.,126,90,450,626,6,3,6,2,,,,,,,2,0,Completed,1.36,3,1.3,3.2,1.36,3.25,1.34,3.61,1.38,3.65,1.34,3.3
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Fabbiano T.,Klahn B.,77,166,688,335,6,4,6,4,,,,,,,2,0,Completed,1.83,1.83,1.75,1.95,1.8,2,1.88,2.02,1.89,2.06,1.83,1.98
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,1st Round,3,Zverev M.,Kukushkin M.,53,89,952,638,6,3,4,6,6,1,,,,,2,1,Completed,2,1.72,1.9,1.8,2,1.8,1.96,1.94,2.1,1.95,1.97,1.83
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Berdych T.,Marterer M.,15,73,2275,734,6,1,6,4,,,,,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.34,3.6,1.37,3.6,1.34,3.28
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Thiem D.,Tsitsipas S.,6,71,3810,756,6,2,3,6,6,3,,,,,2,1,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.31,3.85,1.34,3.98,1.29,3.61
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Cuevas P.,Shapovalov D.,34,44,1310,1166,7,6,6,3,,,,,,,2,0,Completed,2.62,1.44,2.65,1.42,2.75,1.44,2.99,1.45,3.05,1.5,2.78,1.44
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,Donskoy E.,9,76,3080,707,7,5,6,4,,,,,,,2,0,Completed,1.16,5,1.16,4.6,1.17,5,1.22,4.93,1.22,5.4,1.18,4.92
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Chardy J.,Fognini F.,100,19,580,2190,4,6,7,6,6,4,,,,,2,1,Completed,2.75,1.4,2.65,1.42,2.75,1.44,2.8,1.5,2.9,1.5,2.71,1.46
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Fritz T.,Rublev A.,74,31,714,1433,6,4,7,6,,,,,,,2,0,Completed,2.5,1.5,2.35,1.53,2.37,1.57,2.51,1.6,2.61,1.65,2.41,1.57
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Berrettini M.,57,108,924,540,6,7,7,5,6,4,,,,,2,1,Completed,1.4,2.75,1.4,2.75,,,1.47,2.93,1.53,3.13,1.45,2.76
19,Indian Wells,BNP Paribas Open,10/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Kicker N.,Dzumhur D.,94,30,609,1445,4,6,6,2,6,1,,,,,2,1,Completed,3.5,1.28,3.2,1.3,3.5,1.3,3.44,1.36,3.64,1.38,3.37,1.33
19,Indian Wells,BNP Paribas Open,11/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Donaldson J.,16,48,2255,1038,6,4,6,2,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.45,2.97,1.5,3,1.43,2.84
19,Indian Wells,BNP Paribas Open,11/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Mannarino A.,Polansky P.,23,134,1715,412,6,1,6,4,,,,,,,2,0,Completed,1.25,3.75,1.24,3.65,1.28,3.75,1.26,4.37,1.3,4.37,1.26,3.87
19,Indian Wells,BNP Paribas Open,11/03/18,Masters 1000,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Zeballos H.,14,66,2315,813,3,6,6,3,7,6,,,,,2,1,Completed,1.36,3,1.37,2.85,1.4,3,1.43,3.05,1.43,3.25,1.39,3
