ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Zapata Miralles B.,77,42,678,959,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.48,2.85,1.53,2.87,1.46,2.72
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Kovacevic A.,73,107,731,527,6,3,7,5,,,,,,,2,0,Completed,1.62,2.3,1.74,2.21,1.74,2.46,1.68,2.19
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ivashka I.,Safiullin R.,85,113,651,513,6,4,6,2,,,,,,,2,0,Completed,2,1.8,2.04,1.85,2.1,1.9,1.98,1.84
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Otte O.,Djere L.,82,54,656,860,6,3,7,5,,,,,,,2,0,Completed,2.38,1.57,2.51,1.58,2.52,1.58,2.44,1.55
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Kubler J.,Sonego L.,75,60,710,835,6,4,7,6,,,,,,,2,0,Completed,2.75,1.44,2.74,1.51,2.75,1.51,2.63,1.49
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Isner J.,48,39,927,995,7,6,6,3,,,,,,,2,0,Completed,1.91,1.91,2.03,1.86,2.03,1.98,1.95,1.86
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Cachin P.,Basilashvili N.,66,118,797,481,7,5,6,3,,,,,,,2,0,Completed,2.1,1.73,2.19,1.75,2.2,1.78,2.13,1.72
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Lestienne C.,59,62,846,821,6,4,4,1,,,,,,,1,0,Retired,1.44,2.75,1.49,2.81,1.49,2.9,1.44,2.77
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Daniel T.,Carballes Baena R.,103,79,548,665,6,1,7,5,,,,,,,2,0,Completed,1.36,3.2,1.46,2.91,1.46,3.2,1.41,2.91
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Garin C.,Galan D.E.,97,89,566,639,6,4,6,2,,,,,,,2,0,Completed,1.4,3,1.46,2.89,1.46,3,1.43,2.84
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Wu Y.,Munar J.,67,58,793,847,6,7,6,0,7,6,,,,,2,1,Completed,1.36,3.2,1.4,3.11,1.41,3.21,1.38,3.06
18,Indian Wells,BNP Paribas Open,08/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Lehecka J.,Rinderknech A.,47,72,932,737,7,6,7,5,,,,,,,2,0,Completed,1.25,4,1.29,3.87,1.29,4,1.26,3.8
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Schwartzman D.,Coria F.,38,64,1010,810,6,1,6,2,,,,,,,2,0,Completed,1.5,2.63,1.61,2.46,1.61,2.66,1.53,2.51
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Thompson J.,Monfils G.,87,210,647,270,6,3,6,1,,,,,,,2,0,Completed,1.57,2.38,1.68,2.32,1.68,2.45,1.61,2.31
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Marterer M.,187,156,314,382,6,4,6,3,,,,,,,2,0,Completed,1.8,2,1.91,1.98,1.91,2.1,1.84,1.98
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Wu T.L.,Bublik A.,175,46,333,935,6,4,6,4,,,,,,,2,0,Completed,4,1.25,4.04,1.28,4.08,1.33,3.65,1.28
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Mcdonald M.,Krajinovic F.,53,74,865,730,6,3,6,0,,,,,,,2,0,Completed,1.44,2.75,1.42,3.08,1.48,3.08,1.42,2.88
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Halys Q.,134,81,446,661,1,6,6,3,6,3,,,,,2,1,Completed,1.67,2.2,1.8,2.11,1.8,2.33,1.69,2.18
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Draper J.,Riedi L.,56,135,854,445,6,1,6,1,,,,,,,2,0,Completed,1.44,2.75,1.6,2.48,1.6,2.8,1.48,2.64
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Wawrinka S.,Vukic A.,100,186,557,316,6,4,1,6,6,1,,,,,2,1,Completed,1.44,2.75,1.46,2.89,1.5,3.04,1.44,2.78
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,Monteiro T.,739,78,30,676,3,6,7,5,6,2,,,,,2,1,Completed,2.63,1.5,2.62,1.54,2.65,1.54,2.58,1.5
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Kokkinakis T.,Holt B.,94,193,577,309,6,4,6,1,,,,,,,2,0,Completed,1.22,4.33,1.25,4.39,1.25,4.5,1.23,4.22
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Shelton B.,Fognini F.,41,88,964,643,6,4,6,1,,,,,,,2,0,Completed,1.25,4,1.27,4.1,1.29,4.14,1.25,3.92
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Wolf J.J.,84,44,652,951,1,6,6,0,6,3,,,,,2,1,Completed,2.3,1.62,2.38,1.64,2.4,1.65,2.31,1.61
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Molcan A.,Ramos-Vinolas A.,63,50,820,890,6,3,6,2,,,,,,,2,0,Completed,2.2,1.67,2.26,1.7,2.33,1.72,2.22,1.67
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Murray A.,Etcheverry T.,55,61,855,822,6,7,6,1,6,4,,,,,2,1,Completed,1.29,3.75,1.32,3.69,1.32,4.11,1.28,3.68
18,Indian Wells,BNP Paribas Open,09/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Martinez P.,Huesler M.A.,120,51,476,890,7,6,3,6,6,4,,,,,2,1,Completed,2.75,1.44,2.61,1.55,2.9,1.55,2.73,1.46
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Hijikata R.,Ymer M.,130,57,451,851,6,4,7,5,,,,,,,2,0,Completed,3.75,1.29,3.82,1.3,3.85,1.3,3.67,1.28
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Gasquet R.,Gojo B.,43,121,955,475,6,4,6,7,6,2,,,,,2,1,Completed,2.3,1.62,2.42,1.63,2.42,1.68,2.32,1.61
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Thiem D.,68,102,791,550,4,6,6,4,7,6,,,,,2,1,Completed,1.8,2,1.82,2.09,1.86,2.09,1.81,2
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,Barrere G.,154,65,385,799,6,4,6,2,,,,,,,2,0,Completed,2.3,1.62,2.44,1.62,2.62,1.67,2.36,1.59
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Zhang Zh.,101,93,556,580,6,4,5,7,6,1,,,,,2,1,Completed,1.53,2.5,1.52,2.69,1.59,2.75,1.52,2.55
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Norrie C.,Wu T.L.,12,175,2815,333,6,2,6,4,,,,,,,2,0,Completed,1.1,7,1.1,8.46,1.12,8.46,1.1,7.17
18,Indian Wells,BNP Paribas Open,10/03/2023,Masters 1000,Outdoor,Hard,2nd Round,3,Garin C.,Nishioka Y.,97,34,566,1142,6,4,6,0,,,,,,,2,0,Completed,2.5,1.53,2.58,1.56,2.58,1.63,2.39,1.58
