ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Soderling R.,Mayer F.,34,35,6,3,7,6,,,,,,,2,0,Completed,1.5,2.5,1.95,1.85,1.9,1.85,1.5,2.1,2.18,1.725
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Horna L.,Arazi H.,41,48,6,4,7,5,,,,,,,2,0,Completed,1.83,1.83,1.85,1.95,1.8,1.95,1.6,1.9,1.952,1.87
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Ginepri R.,Rascon T.,60,484,6,1,6,4,,,,,,,2,0,Completed,1.2,4.33,,,,,1.2,3.3,,
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Koubek S.,Schalken S.,92,55,6,4,6,4,,,,,,,2,0,Completed,1.44,2.62,1.36,3,,,1.45,2.2,1.431,3.02
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Corretja A.,Ferrer D.,86,42,7,5,6,1,,,,,,,2,0,Completed,2.1,1.66,2.05,1.77,1.95,1.8,2,1.55,2.05,1.8
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Mirnyi M.,Sanchez D.,76,74,6,3,7,6,,,,,,,2,0,Completed,1.14,5,1.08,6.5,1.1,6.25,1.15,3.8,1.138,6.25
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Dupuis A.,Calleri A.,96,56,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.33,1.6,2.31,1.57,2.2,1.45,2.53,1.578
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Costa A.,Labadze I.,54,65,6,2,5,7,5,7,,,,,2,1,Completed,,,,,1.45,2.65,,,1.452,2.96
62,Madrid,Madrid Masters,18/10/04,Masters,Indoor,Hard,1st Round,3,Fish M.,Ancic M.,30,28,0,6,6,4,4,6,,,,,2,1,Completed,1.66,2.1,1.73,2.1,1.75,2.05,1.6,1.9,1.699,2.23
62,Madrid,Madrid Masters,19/10/04,Masters,Indoor,Hard,1st Round,3,Haas T.,Malisse X.,26,49,6,4,6,1,,,,,,,2,0,Completed,1.44,2.62,1.4,2.95,1.3,3.35,1.45,2.2,1.377,3.25
