ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Calleri A.,Costa A.,61,102,632,410,6,0,7,5,,,,,,,2,0,Completed,,,,,1.2,4.25,1.3,2.9,1.236,4.84
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Chela J.I.,Massu N.,47,49,755,740,6,2,6,3,,,,,,,2,0,Completed,1.57,2.25,1.53,2.5,1.6,2.25,1.6,2,1.581,2.62
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Hanescu V.,Zib T.,42,63,827,621,6,1,6,4,,,,,,,2,0,Completed,1.53,2.37,1.57,2.4,1.65,2.15,1.45,2.35,1.68,2.37
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Melzer J.,Spadea V.,51,62,730,625,3,6,6,4,6,4,,,,,2,1,Completed,2.1,1.66,1.95,1.85,2,1.75,1.8,1.8,2.02,1.893
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Haas T.,Pavel A.,40,48,845,755,7,6,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.6,1.42,2.75,1.5,2.2,1.463,2.96
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Grosjean S.,Lopez F.,34,31,1000,1030,7,5,4,6,6,2,,,,,2,1,Completed,1.8,1.9,1.81,2,1.87,1.87,1.65,1.95,1.833,2.1
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Martin A.,Novak J.,54,35,686,950,3,6,7,6,6,4,,,,,2,1,Completed,1.8,1.9,1.7,2.1,1.65,2.15,1.9,1.7,1.769,2.2
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Verdasco F.,Mathieu P.H.,39,57,885,673,6,4,3,6,6,3,,,,,2,1,Completed,1.44,2.62,1.4,2.95,1.42,2.75,1.55,2.1,1.446,3.04
62,Madrid,Madrid Masters,17/10/05,Masters,Indoor,Hard,1st Round,3,Henman T.,Dent T.,26,28,1120,1115,6,2,6,4,,,,,,,2,0,Completed,2.1,1.66,2.05,1.76,1.95,1.8,1.85,1.75,2.18,1.781
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Karlovic I.,Rusedski G.,86,38,470,893,6,7,7,6,7,6,,,,,2,1,Completed,2.1,1.66,2.1,1.73,2.1,1.7,1.95,1.65,2.15,1.8
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Rochus C.,Monfils G.,52,37,720,894,6,4,6,4,,,,,,,2,0,Completed,3.5,1.28,3.65,1.28,4.06,1.21,3.2,1.25,4.32,1.276
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Moya C.,Volandri F.,33,41,1005,836,6,1,6,2,,,,,,,2,0,Completed,1.22,4,1.25,4,1.25,3.9,1.25,3.2,1.286,4.2
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Beck K.,Kiefer N.,45,30,771,1070,6,2,2,1,,,,,,,1,0,Retired,2.25,1.57,2.2,1.67,2.45,1.5,2.2,1.5,2.45,1.645
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Mirnyi M.,Ferrero J.C.,25,16,1125,1425,7,5,7,6,,,,,,,2,0,Completed,2.75,1.39,2.85,1.42,2.85,1.4,2.5,1.4,3.26,1.407
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Rochus O.,Berdych T.,24,50,1135,736,1,6,7,6,6,3,,,,,2,1,Completed,1.72,2,1.85,1.95,1.85,1.9,1.7,1.9,1.82,2.12
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,1st Round,3,Acasuso J.,Youzhny M.,55,29,678,1090,6,7,6,4,2,0,,,,,1,1,Retired,3.25,1.33,3.2,1.35,2.85,1.4,2.9,1.3,3.1,1.435
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,2nd Round,3,Ginepri R.,Grosjean S.,21,34,1270,1000,4,6,6,4,6,4,,,,,2,1,Completed,2,1.72,2.1,1.73,1.95,1.8,1.9,1.7,2.26,1.735
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,2nd Round,3,Ferrer D.,Calleri A.,18,61,1380,632,6,3,4,6,6,4,,,,,2,1,Completed,1.9,1.8,2.1,1.73,2.05,1.75,1.85,1.75,2.13,1.813
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,2nd Round,3,Nalbandian D.,Melzer J.,9,51,1905,730,7,6,6,3,,,,,,,2,0,Completed,1.16,4.5,1.2,4.55,1.15,5.2,1.2,3.6,1.208,5.41
62,Madrid,Madrid Masters,18/10/05,Masters,Indoor,Hard,2nd Round,3,Gonzalez F.,Verdasco F.,19,39,1360,885,6,3,1,6,6,3,,,,,2,1,Completed,1.66,2.1,1.77,2.05,1.65,2.2,1.55,2.1,1.735,2.26
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Coria G.,Rochus C.,7,52,2110,720,6,3,6,4,,,,,,,2,0,Completed,1.16,4.5,1.17,5,1.15,4.92,1.15,4,1.222,5.1
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Hrbaty D.,Haas T.,22,40,1241,845,6,4,6,2,,,,,,,2,0,Completed,1.83,1.83,2.05,1.77,2.1,1.7,1.8,1.8,2.08,1.847
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Johansson T.,Chela J.I.,15,47,1505,755,7,6,6,3,,,,,,,2,0,Completed,1.44,2.62,1.5,2.6,1.55,2.35,1.4,2.5,1.578,2.63
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Rochus O.,Ancic M.,24,20,1135,1360,1,6,6,4,7,6,,,,,2,1,Completed,2.2,1.61,2.15,1.7,2.3,1.6,2.1,1.55,2.2,1.769
62,Madrid,Madrid Masters,19/10/05,Masters,Indoor,Hard,2nd Round,3,Acasuso J.,Gaudio G.,55,11,678,1725,7,6,6,2,,,,,,,2,0,Completed,2.25,1.57,2.35,1.6,2.15,1.65,2.2,1.5,2.25,1.741
