ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Monaco J.,Andreev I.,20,33,1350,895,6,7,6,0,6,4,,,,,2,1,Completed,2.75,1.39,2.7,1.45,2.85,1.4,2.87,1.483,2.58,1.48
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Ginepri R.,Melzer J.,72,56,535,625,2,6,7,6,6,4,,,,,2,1,Completed,1.57,2.25,1.6,2.3,1.5,2.45,1.649,2.44,1.65,2.18
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Del Potro J.M.,Starace P.,53,27,634,951,7,5,6,1,,,,,,,2,0,Completed,1.36,3,1.42,2.8,1.4,2.85,1.478,2.89,1.38,2.95
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Koubek S.,Nieminen J.,68,29,565,935,6,3,3,6,6,4,,,,,2,1,Completed,2.1,1.66,2.25,1.62,2.1,1.7,2.24,1.746,2.32,1.58
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Ancic M.,Gicquel M.,49,77,675,520,6,4,6,2,,,,,,,2,0,Completed,1.36,3,1.4,2.9,1.37,2.92,1.435,3.1,1.4,2.85
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Murray A.,Stepanek R.,17,30,1480,925,6,4,6,1,,,,,,,2,0,Completed,1.66,2.1,1.72,2.1,1.7,2.1,1.73,2.27,1.74,2.04
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Baghdatis M.,Pavel A.,22,82,1295,502,6,3,4,6,6,1,,,,,2,1,Completed,1.36,3,1.43,2.78,1.4,2.85,1.426,3.15,1.46,2.64
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Lopez F.,Volandri F.,42,43,741,731,6,3,6,2,,,,,,,2,0,Completed,1.1,6.5,1.14,5.5,1.11,5.84,1.156,6.8,1.14,5.4
61,Madrid,Madrid Masters,15/10/2007,Masters,Indoor,Hard,1st Round,3,Verdasco F.,Montanes A.,32,47,905,700,6,1,6,1,,,,,,,2,0,Completed,1.1,6.5,1.14,5.5,1.11,5.84,1.152,7,1.12,6
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Almagro N.,Santoro F.,26,46,1015,719,6,4,6,4,,,,,,,2,0,Completed,1.61,2.2,1.58,2.35,1.5,2.45,1.621,2.51,1.55,2.38
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Kiefer N.,Wawrinka S.,112,35,370,860,7,5,6,3,,,,,,,2,0,Completed,2,1.72,2.05,1.75,1.87,1.87,2.01,1.901,1.88,1.88
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Nalbandian D.,Clement A.,25,40,1160,745,5,7,6,2,6,4,,,,,2,1,Completed,1.39,2.75,1.47,2.65,1.4,2.85,1.474,2.91,1.48,2.55
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Karlovic I.,Safin M.,24,36,1258,855,6,3,6,4,,,,,,,2,0,Completed,1.39,2.75,1.5,2.55,1.5,2.45,1.476,2.9,1.44,2.7
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Ferrero J.C.,Falla A.,23,128,1285,335,6,4,7,5,,,,,,,2,0,Completed,1.14,5,1.22,4.15,1.2,4.25,1.223,5.09,1.23,4
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Calleri A.,Tursunov D.,50,28,660,950,3,6,7,6,6,4,,,,,2,1,Completed,2.5,1.5,2.4,1.56,2.53,1.48,2.47,1.637,2.46,1.52
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,1st Round,3,Mathieu P.H.,Fish M.,21,38,1335,775,6,3,2,6,7,5,,,,,2,1,Completed,1.4,2.75,1.53,2.45,1.56,2.34,1.51,2.81,1.5,2.52
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,2nd Round,3,Monaco J.,Haas T.,20,10,1350,1940,6,4,7,5,,,,,,,2,0,Completed,3.25,1.33,3.25,1.33,3.22,1.32,3.4,1.385,3.4,1.3
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,2nd Round,3,Federer R.,Ginepri R.,1,72,7355,535,7,6,6,4,,,,,,,2,0,Completed,1.01,15,1.02,13,1.03,12,1.035,22,1.02,18
61,Madrid,Madrid Masters,16/10/2007,Masters,Indoor,Hard,2nd Round,3,Murray A.,Chela J.I.,17,16,1480,1485,6,1,6,3,,,,,,,2,0,Completed,1.33,3.25,1.3,3.4,1.33,3.17,1.333,3.7,1.37,3
61,Madrid,Madrid Masters,17/10/2007,Masters,Indoor,Hard,2nd Round,3,Gonzalez F.,Almagro N.,6,26,2245,1015,7,6,7,5,,,,,,,2,0,Completed,1.44,2.62,1.48,2.6,1.5,2.45,1.559,2.69,1.5,2.52
61,Madrid,Madrid Masters,17/10/2007,Masters,Indoor,Hard,2nd Round,3,Canas G.,Calleri A.,14,50,1673,660,6,3,3,6,7,5,,,,,2,1,Completed,1.53,2.37,1.55,2.42,1.53,2.4,1.571,2.65,1.52,2.46
61,Madrid,Madrid Masters,17/10/2007,Masters,Indoor,Hard,2nd Round,3,Karlovic I.,Hernandez O.,24,52,1258,636,7,5,6,2,,,,,,,2,0,Completed,1.03,11,1.04,10,1.04,9.25,1.069,12.5,1.03,12
61,Madrid,Madrid Masters,17/10/2007,Masters,Indoor,Hard,2nd Round,3,Lopez F.,Ferrer D.,42,7,741,2130,7,6,7,5,,,,,,,2,0,Completed,3.39,1.3,3.4,1.31,3.22,1.32,3.44,1.379,3.1,1.35
61,Madrid,Madrid Masters,17/10/2007,Masters,Indoor,Hard,2nd Round,3,Nalbandian D.,Berdych T.,25,11,1160,1935,4,6,6,4,7,6,,,,,2,1,Completed,2.2,1.61,2.15,1.68,2.15,1.65,2.39,1.671,2.1,1.7
