ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
60,Madrid,Madrid Masters,12/10/08,Masters,Indoor,Hard,1st Round,3,Stepanek R.,Monaco J.,30,44,1065,810,6,1,6,1,,,,,,,2,0,Completed,1.3,3.4,1.4,3,1.3,3.4,,,1.3,3.4
60,Madrid,Madrid Masters,12/10/08,Masters,Indoor,Hard,1st Round,3,Gulbis E.,Kiefer N.,54,27,719,1120,5,7,6,4,7,5,,,,,2,1,Completed,1.53,2.37,1.6,2.4,1.533,2.375,,,1.57,2.34
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Fish M.,Darcis S.,25,59,1145,694,6,1,6,4,,,,,,,2,0,Completed,1.53,2.37,1.65,2.25,1.533,2.375,1.676,2.38,1.57,2.34
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Bolelli S.,Almagro N.,43,17,810,1305,7,6,6,1,,,,,,,2,0,Completed,2.1,1.66,2.05,1.78,2.1,1.667,2.07,1.855,2,1.77
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Simon G.,Andreev I.,16,20,1390,1240,4,6,6,1,7,6,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.833,1.833,1.833,2.1,1.73,2.06
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Cilic M.,Rochus O.,24,110,1170,442,6,3,7,5,,,,,,,2,0,Completed,1.33,3.25,1.36,3.17,1.364,3,1.415,3.21,1.42,2.78
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Robredo T.,Seppi A.,19,36,1255,975,7,6,3,6,6,3,,,,,2,1,Completed,1.36,3,1.4,3,1.4,2.75,1.418,3.19,1.38,2.95
60,Madrid,Madrid Masters,13/10/08,Masters,Indoor,Hard,1st Round,3,Berdych T.,Schuettler R.,22,35,1205,1014,6,1,6,2,,,,,,,2,0,Completed,1.16,4.5,1.22,4.33,1.2,4.333,1.223,5.09,1.18,4.6
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Granollers M.,Mathieu P.H.,58,29,696,1070,6,4,6,4,,,,,,,2,0,Completed,4.33,1.2,3.95,1.25,3.75,1.25,4,1.303,4.2,1.21
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Nieminen J.,Youzhny M.,33,23,1030,1190,7,5,3,6,6,2,,,,,2,1,Completed,2.5,1.5,2.5,1.55,2.375,1.533,2.55,1.606,2.4,1.55
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Monfils G.,Fognini F.,18,75,1283,573,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5,1.19,4.76,1.167,4.5,1.213,5.29,1.15,5.2
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Kohlschreiber P.,Moya C.,31,46,1065,805,6,2,6,2,,,,,,,2,0,Completed,1.53,2.37,1.55,2.45,1.533,2.375,1.599,2.57,1.55,2.4
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Ginepri R.,Llodra M.,63,38,660,885,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.7,2.15,1.72,2,1.709,2.31,1.7,2.1
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Soderling R.,Serra F.,28,64,1080,658,6,3,6,4,,,,,,,2,0,Completed,1.14,5,1.2,4.55,1.2,4.333,1.2,5.5,1.18,4.6
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Hanescu V.,Tursunov D.,73,26,579,1123,4,6,6,2,6,3,,,,,2,1,Completed,3.75,1.25,3.55,1.3,3.5,1.286,3.95,1.308,3.9,1.24
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,1st Round,3,Lopez F.,Montanes A.,40,48,865,777,7,6,6,3,,,,,,,2,0,Completed,1.22,4,1.25,4,1.2,4.333,1.26,4.55,1.19,4.4
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,2nd Round,3,Simon G.,Blake J.,16,11,1390,1625,3,6,6,1,6,4,,,,,2,1,Completed,2.1,1.66,2.05,1.75,2.25,1.571,2.22,1.758,2.04,1.74
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,2nd Round,3,Cilic M.,Verdasco F.,24,13,1170,1440,6,2,6,3,,,,,,,2,0,Completed,2.1,1.66,2.3,1.6,2.1,1.667,2.24,1.746,2.13,1.68
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,2nd Round,3,Murray A.,Bolelli S.,4,43,2995,810,6,0,2,1,,,,,,,1,0,Retired,1.11,6,1.15,5.6,1.143,5,1.154,6.9,1.11,6.2
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,2nd Round,3,Gasquet R.,Fish M.,14,25,1415,1145,6,7,6,4,6,3,,,,,2,1,Completed,1.5,2.5,1.5,2.55,1.533,2.375,1.588,2.6,1.6,2.28
60,Madrid,Madrid Masters,14/10/08,Masters,Indoor,Hard,2nd Round,3,Nadal R.,Gulbis E.,1,54,7000,719,7,5,3,6,6,3,,,,,2,1,Completed,1.08,7,1.12,6.35,1.083,7,1.137,7.59,1.1,6.75
