ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
29,Madrid,Mutua Madrid Open,06/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Davydenko N.,Karlovic I.,54,60,825,760,7,6,6,3,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.63,2.46,1.57,2.25,1.65,2.53,1.59,2.31
29,Madrid,Mutua Madrid Open,06/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Anderson K.,Bogomolov A.,35,42,1170,996,6,3,6,2,,,,,,,2,0,Completed,1.18,4.5,1.2,4.25,1.17,4.5,1.2,5.23,1.17,4.5,1.22,5.23,1.19,4.53
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Troicki V.,Young D.,30,50,1220,846,6,1,4,6,6,1,,,,,2,1,Completed,1.18,4.5,1.2,4.25,1.29,3.5,1.23,4.77,1.25,3.5,1.29,4.77,1.22,4.11
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Youzhny M.,Marti J.,34,173,1175,298,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.3,3.3,1.29,3.5,1.33,3.66,1.25,3.75,1.36,3.75,1.3,3.45
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Harrison R.,Stakhovsky S.,61,82,757,630,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.15,1.65,2.2,1.62,2.2,1.75,2.1,1.73,2.31,1.75,2.18,1.66
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Almagro N.,Giraldo S.,13,53,2255,828,6,7,6,3,6,3,,,,,2,1,Completed,1.22,4,1.25,3.64,1.22,4,1.29,3.97,1.22,4,1.29,4.4,1.25,3.82
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Falla A.,Chela J.I.,56,36,789,1165,6,3,2,6,6,2,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.77,2.18,1.62,2.2,1.77,2.38,1.66,2.16
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Hanescu V.,137,103,399,514,7,6,4,6,6,3,,,,,2,1,Completed,2.2,1.61,2.15,1.65,2.2,1.62,2.2,1.75,2.2,1.62,2.35,1.76,2.19,1.65
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Andreev I.,Ferrero J.C.,77,49,637,870,6,4,7,6,,,,,,,2,0,Completed,1.61,2.2,1.6,2.25,1.73,2,1.77,2.18,1.8,2,1.8,2.35,1.69,2.12
29,Madrid,Mutua Madrid Open,07/05/12,Masters 1000,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Baghdatis M.,94,41,576,1025,6,4,3,6,6,4,,,,,2,1,Completed,1.8,1.9,1.85,1.9,1.8,1.91,1.84,2.08,1.91,1.83,1.91,2.08,1.83,1.92
