ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
29,Madrid,Mutua Madrid Open,07/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Sousa J.,29,41,1235,945,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.6,2.2,,,1.72,2.25,1.78,2.38,1.66,2.21
29,Madrid,Mutua Madrid Open,07/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Goffin D.,Khachanov K.,10,42,3055,940,6,2,7,6,,,,,,,2,0,Completed,1.28,3.5,1.27,3.45,,,1.3,3.92,1.31,3.92,1.28,3.64
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Dimitrov G.,Kohlschreiber P.,12,37,2820,1070,7,6,6,4,,,,,,,2,0,Completed,1.61,2.2,1.62,2.15,,,1.74,2.22,1.75,2.31,1.67,2.17
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Copil M.,Garcia-Lopez G.,104,124,532,462,7,6,4,6,7,6,,,,,2,1,Completed,1.72,2,1.8,1.9,,,1.88,2.02,1.94,2.06,1.82,1.97
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Haase R.,Evans D.,45,58,933,834,7,5,6,2,,,,,,,2,0,Completed,1.53,2.37,1.53,2.35,,,1.6,2.5,1.63,2.5,1.57,2.37
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Mayer F.,Granollers M.,51,73,901,685,7,5,7,5,,,,,,,2,0,Completed,3.5,1.28,3.45,1.27,,,3.97,1.29,3.97,1.35,3.58,1.29
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Simon G.,Monfils G.,32,16,1165,2365,0,6,6,0,7,6,,,,,2,1,Completed,2.37,1.53,2.25,1.57,,,2.25,1.72,2.37,1.72,2.22,1.65
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Berdych T.,Istomin D.,14,85,2690,618,6,4,6,4,,,,,,,2,0,Completed,1.14,5.5,1.14,5,,,1.17,6,1.18,6,1.15,5.39
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Cuevas P.,Bellucci T.,27,54,1490,876,7,6,4,6,7,6,,,,,2,1,Completed,1.4,2.75,1.42,2.65,,,1.5,2.8,1.5,2.86,1.46,2.69
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Mahut N.,Sock J.,48,15,925,2405,6,4,0,6,7,6,,,,,2,1,Completed,4.33,1.2,4.2,1.19,,,5,1.21,5,1.25,4.45,1.2
29,Madrid,Mutua Madrid Open,08/05/17,Masters 1000,Outdoor,Clay,1st Round,3,Ferrer D.,Kukushkin M.,30,80,1230,645,2,6,7,6,6,4,,,,,2,1,Completed,1.33,3.25,1.3,3.2,,,1.36,3.44,1.39,3.5,1.32,3.32
