ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
28,Madrid,Mutua Madrid Open,05/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Kyrgios N.,49,35,965,1215,7,6,6,4,,,,,,,2,0,Completed,1.9,1.8,2.09,1.83,2.1,1.87,2,1.81
28,Madrid,Mutua Madrid Open,05/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Auger-Aliassime F.,Shapovalov D.,30,20,1319,1820,6,2,7,6,,,,,,,2,0,Completed,1.72,2,1.76,2.2,1.8,2.2,1.72,2.11
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Opelka R.,Carreno Busta P.,58,42,877,1030,7,6,6,4,,,,,,,2,0,Completed,2.1,1.66,2.09,1.83,2.2,1.83,2.09,1.74
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Khachanov K.,Munar J.,13,55,2685,920,6,4,6,7,6,3,,,,,2,1,Completed,2,1.72,2,1.91,2.13,1.91,2.01,1.8
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Djere L.,Lajovic D.,32,24,1246,1511,6,4,6,4,,,,,,,2,0,Completed,2.1,1.66,2.16,1.79,2.29,1.8,2.14,1.71
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Tiafoe F.,Basilashvili N.,37,17,1185,1930,6,7,6,3,6,4,,,,,2,1,Completed,2,1.72,2.02,1.88,2.1,1.88,2.02,1.8
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Kukushkin M.,50,40,940,1050,6,2,7,6,,,,,,,2,0,Completed,1.33,3.25,1.38,3.32,1.38,3.5,1.35,3.23
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Cilic M.,Klizan M.,11,61,2845,848,6,4,2,6,7,6,,,,,2,1,Completed,1.5,2.5,1.56,2.6,1.57,2.76,1.53,2.51
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fritz T.,Dimitrov G.,57,46,900,985,7,6,7,6,,,,,,,2,0,Completed,2.75,1.4,2.98,1.45,2.99,1.5,2.73,1.46
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Monfils G.,Seppi A.,18,67,1920,775,6,3,6,1,,,,,,,2,0,Completed,1.25,3.75,1.3,3.91,1.31,4,1.28,3.7
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Gasquet R.,Davidovich Fokina A.,39,127,1105,428,7,5,7,6,,,,,,,2,0,Completed,2.75,1.4,3.27,1.39,3.35,1.45,3.03,1.39
28,Madrid,Mutua Madrid Open,06/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Verdasco F.,Albot R.,38,44,1155,1016,6,2,3,6,6,1,,,,,2,1,Completed,1.53,2.37,1.51,2.76,1.6,2.8,1.53,2.52
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Hurkacz H.,De Minaur A.,52,27,932,1439,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.39,3.26,1.4,3.56,1.36,3.15
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fucsovics M.,Goffin D.,36,23,1205,1540,6,4,7,5,,,,,,,2,0,Completed,2.37,1.53,2.4,1.65,2.53,1.65,2.37,1.59
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Pella G.,Medvedev D.,26,14,1470,2625,6,2,1,6,6,3,,,,,2,1,Completed,2.37,1.53,2.45,1.62,2.61,1.63,2.41,1.57
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Wawrinka S.,Herbert P.H.,34,41,1230,1038,6,2,6,3,,,,,,,2,0,Completed,1.36,3,1.47,2.93,1.5,3.04,1.44,2.8
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Mannarino A.,Sousa J.,56,75,915,717,7,5,5,7,6,1,,,,,2,1,Completed,2.75,1.4,2.85,1.49,3,1.5,2.75,1.45
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Schwartzman D.,Cecchinato M.,25,19,1485,1875,6,0,4,6,6,1,,,,,2,1,Completed,1.9,1.8,2.05,1.86,2.05,1.91,1.97,1.85
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Edmund K.,12,22,2840,1575,6,4,6,3,,,,,,,2,0,Completed,1.72,2,1.87,2.04,1.91,2.08,1.82,1.99
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Dellien H.,Simon G.,109,29,538,1385,4,6,6,1,7,6,,,,,2,1,Completed,2.37,1.53,2.37,1.66,2.42,1.69,2.35,1.6
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Chardy J.,Ramos-Vinolas A.,47,85,970,645,6,2,4,6,7,5,,,,,2,1,Completed,2.75,1.4,2.85,1.49,2.85,2.3,2.64,1.51
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Ferrer D.,Bautista Agut R.,144,21,400,1680,6,4,4,6,6,4,,,,,2,1,Completed,2.25,1.57,2.3,1.7,2.42,1.74,2.23,1.66
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Millman J.,Johnson S.,48,59,965,875,7,6,7,6,,,,,,,2,0,Completed,1.61,2.2,1.77,2.17,1.77,2.38,1.7,2.16
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,1st Round,3,Pouille L.,Coric B.,28,15,1385,2525,6,3,7,5,,,,,,,2,0,Completed,3,1.36,3.01,1.44,3.18,1.47,2.88,1.42
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Djokovic N.,Fritz T.,1,57,11160,900,6,4,6,2,,,,,,,2,0,Completed,1.1,7,1.13,7.03,1.14,7.9,1.11,6.71
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,Struff J.L.,11,49,2845,965,4,6,6,3,6,4,,,,,2,1,Completed,1.83,1.83,2.01,1.89,2.01,1.95,1.91,1.89
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Gasquet R.,3,39,5590,1105,6,2,6,3,,,,,,,2,0,Completed,1.1,7,1.08,9.81,1.15,10,1.1,7.08
28,Madrid,Mutua Madrid Open,07/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Thiem D.,Opelka R.,5,58,5085,877,6,7,6,3,1,0,,,,,1,1,Retired,1.12,6,1.15,6.45,1.17,6.7,1.14,5.88
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Nishikori K.,Dellien H.,7,109,3780,538,7,5,7,5,,,,,,,2,0,Completed,1.12,6,1.15,6.48,1.17,6.6,1.14,5.78
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Tiafoe F.,Kohlschreiber P.,37,50,1185,940,6,4,3,6,6,3,,,,,2,1,Completed,2.5,1.5,2.68,1.53,2.75,1.6,2.55,1.52
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Chardy J.,Schwartzman D.,47,25,970,1485,6,1,6,2,,,,,,,2,0,Completed,3.25,1.33,3.2,1.4,3.35,1.43,3.14,1.36
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Wawrinka S.,Pella G.,34,26,1230,1470,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.4,1.73,2.4,1.65,2.25
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Monfils G.,Fucsovics M.,18,36,1920,1205,1,6,6,4,6,2,,,,,2,1,Completed,1.5,2.5,1.57,2.59,1.57,2.68,1.52,2.54
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Djere L.,Del Potro J.M.,32,8,1246,3225,6,3,2,6,7,5,,,,,2,1,Completed,2,1.72,2.14,1.79,2.15,1.83,2.07,1.76
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Auger-Aliassime F.,2,30,7765,1319,6,3,6,3,,,,,,,2,0,Completed,1.14,5.5,1.19,5.36,1.2,5.95,1.16,5.29
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Fognini F.,Millman J.,12,48,2840,965,6,2,6,2,,,,,,,2,0,Completed,1.3,3.4,1.38,3.33,1.4,3.42,1.35,3.21
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Tsitsipas S.,Mannarino A.,9,56,3190,915,6,2,7,5,,,,,,,2,0,Completed,1.12,6,1.12,7.76,1.15,7.76,1.13,6.15
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Hurkacz H.,Pouille L.,52,28,932,1385,7,5,6,1,,,,,,,2,0,Completed,1.66,2.1,1.75,2.2,1.8,2.3,1.72,2.13
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Verdasco F.,Khachanov K.,38,13,1155,2685,6,7,6,1,7,5,,,,,2,1,Completed,2.2,1.61,2.21,1.75,2.41,1.75,2.19,1.68
28,Madrid,Mutua Madrid Open,08/05/2019,Masters 1000,Outdoor,Clay,2nd Round,3,Zverev A.,Ferrer D.,4,144,5565,400,6,4,6,1,,,,,,,2,0,Completed,1.33,3.25,1.35,3.53,1.37,3.8,1.33,3.35
28,Madrid,Mutua Madrid Open,09/05/2019,Masters 1000,Outdoor,Clay,3rd Round,3,Cilic M.,Djere L.,11,32,2845,1246,4,6,6,3,6,2,,,,,2,1,Completed,1.61,2.3,1.68,2.36,1.7,2.36,1.64,2.27
28,Madrid,Mutua Madrid Open,09/05/2019,Masters 1000,Outdoor,Clay,3rd Round,3,Djokovic N.,Chardy J.,1,47,11160,970,6,1,7,6,,,,,,,2,0,Completed,1.08,8,1.1,8.74,1.11,9.3,1.09,7.82
28,Madrid,Mutua Madrid Open,09/05/2019,Masters 1000,Outdoor,Clay,3rd Round,3,Thiem D.,Fognini F.,5,12,5085,2840,6,4,7,5,,,,,,,2,0,Completed,1.36,3.2,1.38,3.41,1.42,3.41,1.36,3.17
