ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Arazi H.;Agassi A.;34,0;1,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Santoro F.;Kiefer N.;33,0;4,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Escude N.;Pioline C.;30,0;11,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Hrbaty D.;El Aynaoui Y.;21,0;16,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Costa A.;Koubek S.;13,0;20,0;3,0;6,0;7,0;5,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Dosedel S.;Mantilla F.;51,0;23,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Chang M.;Ferrero J.C.;40,0;24,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Henman T.;Alami K.;9,0;25,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Kafelnikov Y.;Spadea V.;3,0;27,0;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Safin M.;Meligeni F.;31,0;29,0;6,0;2,0;3,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Sampras P.;Medvedev A.;2,0;32,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Norman M.;Squillari F.;5,0;37,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Corretja A.;Kucera K.;26,0;38,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Zabaleta M.;Vicente F.;28,0;39,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Grosjean S.;Novak J.;19,0;41,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Hewitt L.;Moya C.;12,0;43,0;6,0;4,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Rios M.;Vacek D.;7,0;44,0;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Philippoussis M.;Woodruff C.;35,0;47,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Enqvist T.;Golmard J.;10,0;48,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Johansson T.;Clement A.;55,0;57,0;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;di Pasquale A.;Courier J.;53,0;58,0;7,0;5,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Black B.;Martin A.;62,0;59,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Lapentti N.;Bjorkman J.;8,0;65,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Clavet F.;Ilie A.;42,0;75,0;6,0;7,0;6,0;3,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Ivanisevic G.;Goldstein P.;70,0;83,0;6,0;4,0;2,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Ferreira W.;Gambill J.M.;46,0;86,0;6,0;4,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Kuerten G.;Gimelstob J.;6,0;102,0;7,0;5,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Schalken S.;Kroslak J.;64,0;120,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Haas T.;Saulnier C.;22,0;144,0;6,0;1,0;6,0;7,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Rafter P.;Ondruska M.;15,0;157,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Rusedski G.;Blake J.;18,0;228,0;6,0;2,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;1st Round;3,0;Mirnyi M.;Dent T.;68,0;229,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Schalken S.;Kafelnikov Y.;64,0;3,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Haas T.;Kuerten G.;22,0;6,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Zabaleta M.;Rios M.;28,0;7,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Grosjean S.;Henman T.;19,0;9,0;6,0;3,0;3,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Black B.;Hewitt L.;62,0;12,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Corretja A.;Rafter P.;26,0;15,0;7,0;6,0;5,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Mirnyi M.;Rusedski G.;68,0;18,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Santoro F.;Hrbaty D.;33,0;21,0;6,0;7,0;7,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Escude N.;Safin M.;30,0;31,0;6,0;2,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Norman M.;Chang M.;5,0;40,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Philippoussis M.;Clavet F.;35,0;42,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Sampras P.;Ferreira W.;2,0;46,0;3,0;6,0;7,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Arazi H.;Dosedel S.;34,0;51,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Lapentti N.;di Pasquale A.;8,0;53,0;3,0;6,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Enqvist T.;Johansson T.;10,0;55,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;2nd Round;3,0;Costa A.;Ivanisevic G.;13,0;70,0;6,0;2,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Schalken S.;Costa A.;64,0;13,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Norman M.;Grosjean S.;5,0;19,0;6,0;3,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Philippoussis M.;Haas T.;35,0;22,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Enqvist T.;Zabaleta M.;10,0;28,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Lapentti N.;Escude N.;8,0;30,0;3,0;6,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Corretja A.;Santoro F.;26,0;33,0;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Sampras P.;Black B.;2,0;62,0;4,0;6,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;3rd Round;3,0;Arazi H.;Mirnyi M.;34,0;68,0;7,0;5,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;13/03/2000;Masters;Outdoor;Hard;Quarterfinals;3,0;Enqvist T.;Sampras P.;10,0;2,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
