ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Calleri A.;Blake J.;52;26;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;2,75;1,4;2,65;1,45;2,58;1,4;2,2;1,45;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Corretja A.;Vicente F.;21;57;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,333;3,0;1,5;2,5;1,43;2,72;1,4;2,3;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Gambill J.M.;Pavel A.;42;29;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;2,0;1,727;2,0;1,75;2,1;1,75;2,0;1,55;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Gonzalez F.;Sa A.;20;65;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Lapentti N.;Kratochvil M.;30;64;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,571;2,25;1,68;2,1;1,6;2,1;1,6;1,9;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Ljubicic I.;Mantilla F.;54;58;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,444;2,625;1,53;2,4;1,45;2,75;1,4;2,3;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Lopez F.;Clement A.;71;40;7,0;6,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;2,75;1,4;2,6;1,45;2,58;1,49;2,5;1,35;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Malisse X.;Koubek S.;24;45;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,333;3,0;1,38;2,9;1,4;2,62;1,35;2,5;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Nalbandian D.;Clavet F.;18;106;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,533;2,375;1,58;2,3;1,57;2,25;1,5;2,1;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Nieminen J.;Schuettler R.;37;31;1,0;6,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;2,5;1,5;2,4;1,53;2,76;1,5;2,1;1,5;;;;;;;;;;;;;;;;;;;;
61;Madrid;Madrid Masters;14/10/2002;Masters;Indoor;Hard;1st Round;3;Norman M.;Zabaleta M.;120;53;6,0;7,0;7,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,615;2,2;1,5;2,5;1,6;2,1;1,55;2,0;;;;;;;;;;;;;;;;;;;;
