ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Bjorkman J.;Corretja A.;57,0;7,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Santoro F.;Hewitt L.;37,0;9,0;4,0;6,0;6,0;4,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Arazi H.;Lapentti N.;41,0;11,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Clement A.;Ferrero J.C.;50,0;12,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Martin T.;Kiefer N.;34,0;14,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Schalken S.;Chang M.;52,0;22,0;6,0;4,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Agassi A.;Ferreira W.;1,0;23,0;7,0;6,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Kafelnikov Y.;Krajicek R.;5,0;24,0;6,0;3,0;1,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Gaudenzi A.;Costa A.;107,0;25,0;6,0;3,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Squillari F.;Gaudio G.;15,0;27,0;6,0;7,0;7,0;5,0;6,0;0,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Rios M.;Rosset M.;20,0;29,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Moya C.;Alami K.;58,0;31,0;6,0;3,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Enqvist T.;Pavel A.;8,0;35,0;7,0;5,0;2,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Woodruff C.;Hrbaty D.;65,0;36,0;6,0;1,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,0;Cincinnati;Cincinnati TMS;07/08/2000;Masters;Outdoor;Hard;1st Round;3,0;Clavet F.;Federer R.;43,0;39,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
