ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Lapentti N.;Puerta M.;23,0;20,0;5,0;4,0;;;;;;;;;0,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Hrbaty D.;Federer R.;19,0;24,0;4,0;6,0;6,0;2,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Gambill J.M.;Pavel A.;34,0;27,0;4,0;1,0;;;;;;;;;0,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Prinosil D.;Gaudio G.;44,0;30,0;6,0;2,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Boutter J.;Black B.;72,0;36,0;6,0;4,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Santoro F.;Moya C.;37,0;38,0;6,0;7,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Gustafsson M.;Golmard J.;89,0;40,0;6,0;2,0;2,0;1,0;;;;;;;1,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Rosset M.;Vicente F.;31,0;41,0;6,0;4,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Mirnyi M.;Escude N.;39,0;42,0;3,0;6,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Woodruff C.;Novak J.;77,0;48,0;4,0;6,0;7,0;5,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Chang M.;di Pasquale A.;29,0;60,0;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Clement A.;Rusedski G.;18,0;67,0;7,0;6,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Pozzi G.;Kucera K.;45,0;69,0;4,0;6,0;7,0;5,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Haas T.;Rochus C.;25,0;79,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Bastl G.;Llodra M.;95,0;166,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;1st Round;3,0;Costa A.;O'Brien A.;32,0;221,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Santoro F.;Norman M.;37,0;4,0;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Pozzi G.;Enqvist T.;45,0;9,0;6,0;2,0;1,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Costa A.;Henman T.;32,0;10,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Prinosil D.;Squillari F.;44,0;12,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Rosset M.;Pioline C.;31,0;15,0;7,0;5,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,0;Paris;BNP Paribas;13/11/2000;Masters;Indoor;Carpet;2nd Round;3,0;Corretja A.;Clement A.;8,0;18,0;6,0;2,0;6,0;7,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
