ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Ulihrach B.;Rafter P.;109,0;13,0;3,0;6,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Vicente F.;Rusedski G.;30,0;15,0;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Novak J.;Haas T.;40,0;19,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Safin M.;Rios M.;14,0;20,0;6,0;1,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Pavel A.;Escude N.;83,0;22,0;6,0;1,0;4,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Agassi A.;Martin T.;1,0;23,0;6,0;2,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Hewitt L.;Koubek S.;12,0;26,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;di Pasquale A.;Alami K.;58,0;27,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Corretja A.;Kucera K.;11,0;31,0;6,0;2,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Gaudio G.;Meligeni F.;46,0;33,0;6,0;1,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Zabaleta M.;Krajicek R.;45,0;34,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Norman M.;Grosjean S.;4,0;35,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Pioline C.;Woodruff C.;5,0;39,0;6,0;1,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;El Aynaoui Y.;Spadea V.;16,0;41,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Philippoussis M.;Rosset M.;24,0;43,0;6,0;3,0;1,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Arazi H.;Schalken S.;29,0;44,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Enqvist T.;Vacek D.;9,0;47,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Chang M.;Ferreira W.;32,0;50,0;4,0;6,0;6,0;2,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Medvedev A.;Federer R.;25,0;51,0;3,0;6,0;6,0;3,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Squillari F.;Dosedel S.;37,0;53,0;2,0;6,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Mantilla F.;Chela J.I.;55,0;54,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Lapentti N.;Johansson T.;8,0;59,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Clavet F.;Ivanisevic G.;63,0;62,0;6,0;4,0;3,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Hrbaty D.;Tarango J.;17,0;64,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Kafelnikov Y.;Gaudenzi A.;3,0;65,0;6,0;3,0;2,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Henman T.;Black B.;10,0;66,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Costa A.;Portas A.;21,0;69,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Moya C.;Ruud C.;36,0;86,0;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;1st Round;3,0;Kuerten G.;Golmard J.;6,0;89,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
