ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Golmard J.;Agassi A.;61,0;1,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Krajicek R.;Norman M.;24,0;3,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Koubek S.;Lapentti N.;47,0;11,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Ferreira W.;Squillari F.;31,0;14,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Rios M.;Henman T.;22,0;17,0;6,0;4,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Sargsian S.;Philippoussis M.;84,0;18,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Clement A.;Puerta M.;50,0;20,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Ilie A.;Rosset M.;48,0;28,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Kiefer N.;Martin T.;12,0;30,0;6,0;1,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Lareau S.;Santoro F.;137,0;34,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Hewitt L.;Federer R.;10,0;38,0;3,0;6,0;6,0;3,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Chang M.;Arazi H.;21,0;39,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Johansson T.;Vinciguerra A.;44,0;40,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Escude N.;Zabaleta M.;19,0;42,0;6,0;3,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Kafelnikov Y.;Vicente F.;5,0;51,0;7,0;5,0;3,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Enqvist T.;Schalken S.;7,0;52,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Kuerten G.;di Pasquale A.;4,0;54,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Novak J.;Dosedel S.;55,0;56,0;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Pavel A.;Chela J.I.;37,0;57,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Safin M.;Bjorkman J.;9,0;58,0;6,0;4,0;1,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Srichaphan P.;Woodruff C.;98,0;64,0;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Levy H.;Damm M.;144,0;73,0;7,0;6,0;4,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Gaudio G.;Tarango J.;25,0;80,0;7,0;6,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Saulnier C.;Alvarez E.;124,0;102,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Grosjean S.;Mamiit C.;27,0;125,0;6,0;2,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Sampras P.;Llodra M.;2,0;142,0;5,0;7,0;6,0;2,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Rafter P.;Parmar A.;15,0;148,0;6,0;1,0;4,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Kucera K.;Sekulov J.;46,0;196,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Ferrero J.C.;Nestor D.;13,0;203,0;6,0;7,0;7,0;5,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Mirnyi M.;Niemeyer F.;62,0;277,0;6,0;7,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Larose S.;Wheaton D.;448,0;357,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;1st Round;3,0;Alami K.;Tramacchi P.;33,0;1164,0;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Lareau S.;Kuerten G.;137,0;4,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Grosjean S.;Hewitt L.;27,0;10,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Novak J.;Kiefer N.;55,0;12,0;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Krajicek R.;Chang M.;24,0;21,0;6,0;2,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Ferrero J.C.;Gaudio G.;13,0;25,0;6,0;7,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Sampras P.;Alami K.;2,0;33,0;7,0;6,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Safin M.;Pavel A.;9,0;37,0;6,0;7,0;6,0;3,0;6,0;0,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Ferreira W.;Johansson T.;31,0;44,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Rafter P.;Kucera K.;15,0;46,0;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Levy H.;Koubek S.;144,0;47,0;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Enqvist T.;Ilie A.;7,0;48,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Rios M.;Clement A.;22,0;50,0;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Kafelnikov Y.;Mirnyi M.;5,0;62,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Golmard J.;Srichaphan P.;61,0;98,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Escude N.;Saulnier C.;19,0;124,0;7,0;6,0;6,0;7,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;2nd Round;3,0;Sargsian S.;Larose S.;84,0;448,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Novak J.;Enqvist T.;55,0;7,0;6,0;2,0;1,0;6,0;3,0;1,0;;;;;1,0;1,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Kafelnikov Y.;Ferrero J.C.;5,0;13,0;6,0;1,0;4,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Safin M.;Escude N.;9,0;19,0;3,0;2,0;;;;;;;;;0,0;0,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Golmard J.;Rios M.;61,0;22,0;2,0;6,0;7,0;5,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Ferreira W.;Krajicek R.;31,0;24,0;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Levy H.;Grosjean S.;144,0;27,0;6,0;3,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Sampras P.;Sargsian S.;2,0;84,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;3rd Round;3,0;Rafter P.;Lareau S.;15,0;137,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Quarterfinals;3,0;Safin M.;Sampras P.;9,0;2,0;6,0;4,0;3,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Quarterfinals;3,0;Ferreira W.;Kafelnikov Y.;31,0;5,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Quarterfinals;3,0;Novak J.;Rafter P.;55,0;15,0;3,0;6,0;7,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Quarterfinals;3,0;Levy H.;Golmard J.;144,0;61,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Semifinals;3,0;Safin M.;Ferreira W.;9,0;31,0;6,0;2,0;5,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;Semifinals;3,0;Levy H.;Novak J.;144,0;55,0;6,0;3,0;1,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
47,0;Toronto;Toronto TMS;31/07/2000;Masters;Outdoor;Hard;The Final;3,0;Safin M.;Levy H.;9,0;144,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Blake J.;Larose S.;31,0;560,0;6,0;2,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,083;7,0;1,15;5,0;1,11;6,75;1,1;4,5;1,1;6,0;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Canas G.;Federer R.;19,0;10,0;7,0;6,0;7,0;5,0;;;;;;;2,0;0,0;Completed;2,375;1,533;2,75;1,42;2,42;1,45;2,1;1,5;2,375;1,533;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Dent T.;Norman M.;75,0;198,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,4;2,75;1,33;3,2;1,41;2,65;1,4;2,3;1,4;2,75;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;El Aynaoui Y.;Kiefer N.;18,0;58,0;6,0;4,0;2,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;1,8;1,909;1,85;1,9;1,77;1,85;1,7;1,8;1,727;2,0;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Ferrero J.C.;Enqvist T.;8,0;33,0;7,0;6,0;6,0;7,0;7,0;5,0;;;;;2,0;1,0;Completed;2,1;1,667;2,15;1,65;1,88;1,75;2,0;1,55;2,2;1,615;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Grosjean S.;Ulihrach B.;11,0;61,0;3,0;6,0;7,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;1,364;3,0;1,38;2,9;1,3;3,2;1,25;3,0;1,364;3,0;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Haas T.;Niemeyer F.;3,0;222,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,143;5,0;1,18;4,5;1,18;4,25;1,2;3,3;1,143;5,0;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Henman T.;Vicente F.;4,0;50,0;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,125;5,5;1,15;5,0;1,17;4,75;1,15;3,8;1,167;4,5;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Johansson T.;Ljubicic I.;9,0;32,0;4,0;6,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;;;1,55;2,35;1,5;2,3;1,6;1,9;1,533;2,375;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Kafelnikov Y.;Mirnyi M.;5,0;29,0;6,0;4,0;6,0;7,0;6,0;2,0;;;;;2,0;1,0;Completed;1,615;2,2;1,72;2,05;1,57;2,15;1,45;2,2;1,615;2,2;;;;;;;;;;;;;;;;
46,0;Toronto;Toronto TMS;29/07/2002;Masters;Outdoor;Hard;1st Round;3,0;Koubek S.;Gonzalez F.;42,0;43,0;4,0;6,0;7,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,833;1,833;1,95;1,8;1,75;1,88;1,7;1,8;1,833;1,833;;;;;;;;;;;;;;;;
