ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Favorite_Wins;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Grosjean S.;Novak J.;1;Grosjean S.;Novak J.;19,0;41,0;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Rafter P.;Ondruska M.;1;Rafter P.;Ondruska M.;15,0;157,0;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Haas T.;Saulnier C.;1;Haas T.;Saulnier C.;22,0;144,0;6,0;1,0;6,0;7,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Schalken S.;Kroslak J.;1;Schalken S.;Kroslak J.;64,0;120,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Kuerten G.;Gimelstob J.;1;Kuerten G.;Gimelstob J.;6,0;102,0;7,0;5,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Ferreira W.;Gambill J.M.;1;Ferreira W.;Gambill J.M.;46,0;86,0;6,0;4,0;6,0;7,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Clavet F.;Ilie A.;1;Clavet F.;Ilie A.;42,0;75,0;6,0;7,0;6,0;3,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Lapentti N.;Bjorkman J.;1;Lapentti N.;Bjorkman J.;8,0;65,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;Martin A.;Black B.;0;Black B.;Martin A.;62,0;59,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,0;Indian Wells;Indian Wells TMS;2000-03-13;Masters;Outdoor;Hard;1st Round;3,0;di Pasquale A.;Courier J.;1;di Pasquale A.;Courier J.;53,0;58,0;7,0;5,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
