ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Larsson M.,167,36,6,4,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Arthurs W.,Clavet F.,111,38,7,5,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Vinciguerra A.,Kucera K.,62,39,6,1,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Rochus C.,Squillari F.,87,40,4,6,6,3,6,4,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Roddick A.,Vicente F.,989,41,6,4,6,0,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Golmard J.,Vacek D.,48,45,6,4,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Calleri A.,Rosset M.,124,46,5,7,6,3,7,6,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Clement A.,Woodruff C.,61,47,6,4,3,6,6,4,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Dosedel S.,86,50,6,4,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Massu N.,di Pasquale A.,97,52,6,4,4,6,6,0,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Saulnier C.,Johansson T.,140,55,4,6,6,3,7,5,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Sargsian S.,67,56,6,1,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Black B.,Schuettler R.,54,59,6,3,7,5,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Novak J.,Martin A.,42,64,6,2,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Black W.,Berasategui A.,152,65,6,4,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Pozzi G.,Bjorkman J.,83,66,0,6,7,6,6,3,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Tillstrom M.,58,68,6,1,3,6,6,4,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Gumy H.,57,71,6,3,6,3,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Chang M.,Marin J.A.,37,73,6,3,6,4,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Canas G.,Ljubicic I.,70,74,6,4,7,5,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Fromberg R.,Tarango J.,63,75,7,6,4,6,7,5,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Fish M.,Blanco G.,NR,76,6,4,0,6,4,1,,,,,1,1,Retired
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Medvedev A.,Ilie A.,35,77,7,5,6,2,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Schalken S.,Hipfl M.,49,84,6,3,6,1,,,,,,,2,0,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Ferreira W.,Damm M.,44,85,4,6,6,1,6,4,,,,,2,1,Completed
20,Miami,Ericsson Open,23/03/00,Masters,Outdoor,Hard,1st Round,3,Kratochvil M.,van Lottum J.,136,93,6,3,6,3,,,,,,,2,0,Completed
