ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Arazi H.,Rosset M.,53,63,6,3,7,6,,,,,,,2,0,Completed,2.2,1.6,1.9,1.65,1.8,1.7,2.25,1.571
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Arthurs W.,Nalbandian D.,64,146,6,3,7,6,,,,,,,2,0,Completed,,,1.5,2.2,1.45,2.2,1.533,2.375
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Balcells J.,Black B.,68,56,7,6,6,3,,,,,,,2,0,Completed,1.65,2.1,1.9,1.67,1.85,1.65,1.727,2
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Bastl G.,Fromberg R.,106,123,7,5,6,4,,,,,,,2,0,Completed,1.67,2.1,1.75,1.8,1.7,1.8,1.727,2
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Lee H.T.,44,81,6,1,6,4,,,,,,,2,0,Completed,1.5,2.5,1.4,2.45,1.35,2.5,1.5,2.5
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Bryan B.,Ginepri R.,135,1223,7,5,6,7,6,2,,,,,2,1,Completed,,,1.6,2,1.6,1.9,,
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Calatrava A.,Bruguera S.,54,74,6,3,1,6,6,3,,,,,2,1,Completed,1.65,2.15,1.6,2,1.55,2,1.615,2.2
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Chang M.,Portas A.,35,57,6,2,6,3,,,,,,,2,0,Completed,1.55,2.3,1.37,2.5,1.35,2.5,1.5,2.5
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Coria G.,Goldstein P.,47,92,7,5,7,5,,,,,,,2,0,Completed,1.8,1.9,1.95,1.62,1.85,1.65,1.909,1.8
21,Miami,Ericsson Open,19/03/01,Masters,Outdoor,Hard,1st Round,3,Costa A.,Tabara M.,38,65,6,3,6,2,,,,,,,2,0,Completed,1.72,2,1.63,1.95,1.65,1.85,1.667,2.1
