ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Kiefer N.,48,51,7,5,7,6,,,,,,,2,0,Completed,,,1.6,2.2,1.52,2.25,1.45,2.2,1.533,2.375
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Blake J.,Blanco G.,49,79,7,6,7,5,,,,,,,2,0,Completed,,,1.28,3.4,1.22,3.5,1.25,3,1.25,3.5
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Burgsmuller L.,Sluiter R.,81,104,6,3,7,5,,,,,,,2,0,Completed,,,1.67,2.15,1.55,2.2,1.5,2.1,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Calleri A.,Delgado R.,58,83,1,6,7,5,6,1,,,,,2,1,Completed,,,1.7,2.05,1.55,2.18,1.5,2.1,1.667,2.1
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Chela J.I.,Ginepri R.,37,145,3,6,6,3,7,6,,,,,2,1,Completed,,,1.38,2.85,1.35,2.6,1.35,2.5,1.364,2.875
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Clavet F.,Zabaleta M.,84,63,6,3,6,2,,,,,,,2,0,Completed,,,1.75,2,1.78,1.85,1.75,1.75,1.909,1.8
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Clement A.,Rochus O.,50,70,6,2,7,5,,,,,,,2,0,Completed,,,1.5,2.45,1.4,2.6,1.4,2.3,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Coria G.,Balcells J.,97,91,6,3,3,6,6,2,,,,,2,1,Completed,,,2.35,1.53,2.6,1.4,2.2,1.45,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Davydenko N.,Hrbaty D.,86,59,6,3,6,2,,,,,,,2,0,Completed,,,2.2,1.65,2.28,1.5,2.2,1.45,2.5,1.5
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Fish M.,Kratochvil M.,150,43,3,6,7,5,6,1,,,,,2,1,Completed,,,2.6,1.45,2.35,1.48,2.1,1.5,2.25,1.571
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Gaudenzi A.,Rosset M.,55,116,6,2,4,6,6,3,,,,,2,1,Completed,,,2.2,1.6,2.3,1.5,2.2,1.45,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Gaudio G.,Heuberger I.,56,117,3,6,6,4,6,2,,,,,2,1,Completed,,,1.38,2.85,1.38,2.65,1.35,2.5,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Gonzalez F.,Rochus C.,62,77,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Hipfl M.,Ferreira W.,75,44,7,6,6,4,,,,,,,2,0,Completed,,,3.5,1.26,3.2,1.25,3,1.25,3.25,1.286
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Horna L.,Martin A.,136,39,7,5,6,3,,,,,,,2,0,Completed,,,2.8,1.38,,,2.2,1.45,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Lopez F.,Malisse X.,126,35,0,6,7,5,6,4,,,,,2,1,Completed,,,3.4,1.28,3.3,1.25,3,1.25,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Martin T.,Boutter J.,47,61,2,6,7,6,7,6,,,,,2,1,Completed,,,1.45,2.6,1.42,2.5,1.35,2.5,1.5,2.5
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Meligeni F.,Kucera K.,60,69,6,2,6,0,,,,,,,2,0,Completed,,,3.1,1.33,2.7,1.37,2.5,1.35,2.75,1.4
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Labadze I.,40,87,6,1,7,5,,,,,,,2,0,Completed,,,1.32,3.1,1.33,2.85,1.3,2.7,1.364,2.875
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Montanes A.,Savolt A.,54,78,3,6,6,3,6,2,,,,,2,1,Completed,,,1.9,1.8,1.95,1.67,1.85,1.65,2,1.727
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Morrison J.,Verkerk M.,139,127,6,7,6,1,6,4,,,,,2,1,Completed,,,1.55,2.2,1.55,2.2,1.6,1.9,,
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Nieminen J.,Acasuso J.,66,89,6,4,7,5,,,,,,,2,0,Completed,,,1.6,2.2,1.5,2.3,1.55,2,1.533,2.375
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Philippoussis M.,Pioline C.,140,94,7,5,4,6,6,3,,,,,2,1,Completed,,,1.42,2.7,1.5,2.28,1.55,2,1.5,2.5
20,Miami,NASDAQ-100 Open,18/03/02,Masters,Outdoor,Hard,1st Round,3,Robredo T.,Sanchez D.,36,65,6,2,1,0,,,,,,,1,0,Retired,,,1.3,3.25,1.3,3,1.25,3,1.25,3.5
