ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Ferrer D.,46,51,6,3,6,4,,,,,,,2,0,Completed,1.833,1.833,2,1.75,1.65,1.85,2,1.727,1.7,1.8
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Escude N.,Hrbaty D.,67,55,7,6,4,6,6,4,,,,,2,1,Completed,,,1.7,2.1,1.75,1.75,1.667,2.1,1.48,2.17
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Gambill J.M.,Koubek S.,40,58,2,6,6,3,6,2,,,,,2,1,Completed,1.444,2.625,1.57,2.35,1.4,2.3,1.444,2.625,1.35,2.6
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Arthurs W.,61,47,7,5,6,3,,,,,,,2,0,Completed,1.615,2.2,1.6,2.25,1.7,1.8,1.615,2.2,1.6,1.95
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Martin T.,Zabaleta M.,114,36,6,4,6,4,,,,,,,2,0,Completed,1.833,1.833,2,1.75,1.65,1.85,1.833,1.833,1.88,1.66
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Meligeni F.,Kratochvil M.,99,78,6,1,6,4,,,,,,,2,0,Completed,2.625,1.444,2.65,1.45,2.1,1.5,2.625,1.444,2.5,1.36
20,Miami,NASDAQ-100 Open,19/03/03,Masters,Outdoor,Hard,1st Round,3,Stepanek R.,Bogomolov Jr. A.,50,141,6,2,6,3,,,,,,,2,0,Completed,1.364,3,1.35,3.1,1.4,2.3,1.4,2.75,1.33,2.7
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Sa A.,71,80,3,6,6,4,6,4,,,,,2,1,Completed,1.4,2.75,1.45,2.65,1.35,2.5,1.5,2.5,1.3,2.85
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Clavet F.,Voltchkov V.,178,63,6,0,3,0,,,,,,,1,0,Retired,2.75,1.4,,,2.2,1.45,2.375,1.533,2.5,1.37
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Clement A.,Luczak P.,42,140,6,4,6,4,,,,,,,2,0,Completed,1.444,2.625,1.45,2.65,1.4,2.3,1.444,2.625,1.35,2.6
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Dent T.,Krajicek R.,41,76,6,4,6,3,,,,,,,2,0,Completed,1.667,2.1,1.75,2,1.6,1.9,1.667,2.1,1.55,2.05
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Dupuis A.,Sluiter R.,81,54,6,3,6,4,,,,,,,2,0,Completed,,,2.2,1.65,2,1.55,2.1,1.667,2.2,1.46
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Fish M.,Voinea A.,53,77,0,6,6,4,6,2,,,,,2,1,Completed,1.364,3,1.35,3.1,1.25,3,1.286,3.25,1.19,3.47
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Horna L.,Davydenko N.,82,60,6,3,6,4,,,,,,,2,0,Completed,,,2.1,1.7,1.75,1.75,2.25,1.571,1.75,1.75
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Mathieu P.H.,59,37,6,1,1,6,6,1,,,,,2,1,Completed,,,1.5,2.5,1.35,2.5,1.571,2.25,1.37,2.45
20,Miami,NASDAQ-100 Open,20/03/03,Masters,Outdoor,Hard,1st Round,3,Lisnard J.R.,Gasquet R.,89,112,3,6,6,1,2,1,,,,,1,1,Retired,2,1.727,2.15,1.67,1.75,1.75,2,1.727,1.75,1.75
