ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Melzer J.,Karlovic I.,64,74,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.55,2.45,,,1.45,2.2,1.5,2.75
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Ascione T.,Arazi H.,106,41,7,5,6,4,,,,,,,2,0,Completed,2.62,1.44,2.6,1.5,,,2.1,1.5,2.66,1.538
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Kucera K.,Bogomolov A.,71,113,0,6,7,6,6,4,,,,,2,1,Completed,1.44,2.62,1.55,2.45,,,1.55,2,1.606,2.47
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Ferrer D.,48,68,7,6,6,4,,,,,,,2,0,Completed,1.4,2.75,1.4,2.95,,,1.35,2.5,1.435,3.05
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Koubek S.,Martin A.,89,60,2,6,7,6,6,0,,,,,2,1,Completed,1.9,1.8,1.8,2,,,1.65,1.85,1.952,1.901
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Ivanisevic G.,Escude N.,592,66,6,4,5,7,7,6,,,,,2,1,Completed,3.75,1.25,3.95,1.25,,,3.3,1.2,4.5,1.241
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Ljubicic I.,Sanguinetti D.,40,108,6,1,6,3,,,,,,,2,0,Completed,1.36,3,1.4,2.95,,,1.35,2.5,1.385,3.25
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Ferreira W.,Sluiter R.,49,78,6,3,6,1,,,,,,,2,0,Completed,1.8,1.9,1.95,1.85,,,1.65,1.85,2.08,1.806
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Davydenko N.,Johansson T.,54,202,6,2,2,6,6,3,,,,,2,1,Completed,2.75,1.4,2.75,1.45,,,2.3,1.4,3.05,1.426
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Ramirez-Hidalgo R.,35,72,6,2,6,2,,,,,,,2,0,Completed,1.16,4.5,1.2,4.5,,,1.1,4.5,1.176,5.67
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Morrison J.,121,140,6,3,2,6,7,5,,,,,2,1,Completed,1.83,1.83,1.8,2,,,1.8,1.7,1.833,2.02
19,Miami,NASDAQ-100 Open,24/03/04,Masters,Outdoor,Hard,1st Round,3,Saulnier C.,Baker B.,84,309,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.28,3.7,,,1.25,3,1.317,3.65
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Pavel A.,Tursunov D.,50,75,6,2,7,6,,,,,,,2,0,Completed,1.57,2.25,1.62,2.3,,,1.6,1.9,1.617,2.44
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Martin T.,Heuberger I.,62,131,3,6,6,4,6,2,,,,,2,1,Completed,1.44,2.62,1.45,2.75,,,1.35,2.5,1.465,2.87
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Andreev I.,44,81,6,3,6,4,,,,,,,2,0,Completed,1.53,2.37,1.62,2.3,,,1.55,2,1.649,2.36
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Stepanek R.,Sargsian S.,52,45,6,3,6,4,,,,,,,2,0,Completed,2.25,1.57,2.15,1.7,,,2.1,1.5,2.43,1.621
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Dent T.,Youzhny M.,37,47,6,3,6,3,,,,,,,2,0,Completed,1.72,2,2,1.75,,,1.6,1.9,1.847,2.02
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Beck K.,Hanescu V.,76,65,6,1,6,3,,,,,,,2,0,Completed,2.25,1.57,2.15,1.67,,,2.2,1.45,2.46,1.61
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Mello R.,Salzenstein J.,133,119,7,6,7,6,,,,,,,2,0,Completed,2.25,1.57,2.15,1.67,,,1.9,1.6,2.1,1.794
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Ulihrach B.,Muller G.,135,177,6,4,7,5,,,,,,,2,0,Completed,1.72,2,1.8,1.95,,,1.6,1.9,1.893,1.962
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Hernych J.,Santoro F.,160,79,7,5,7,5,,,,,,,2,0,Completed,1.9,1.8,1.85,1.95,,,1.85,1.65,1.909,1.943
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Burgsmuller L.,Gambill J.M.,88,83,7,5,6,4,,,,,,,2,0,Completed,3.75,1.25,3.1,1.35,,,2.7,1.3,4.05,1.274
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Sanchez D.,Horna L.,57,59,6,4,6,4,,,,,,,2,0,Completed,2.1,1.66,2.2,1.67,,,1.9,1.6,2.37,1.649
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Enqvist T.,58,61,7,5,2,6,6,4,,,,,2,1,Completed,2.62,1.44,2.5,1.53,,,2.3,1.4,2.71,1.524
19,Miami,NASDAQ-100 Open,25/03/04,Masters,Outdoor,Hard,1st Round,3,Spadea V.,Blake J.,36,39,6,7,7,6,6,1,,,,,2,1,Completed,2,1.72,2,1.77,,,1.85,1.65,1.962,1.893
19,Miami,NASDAQ-100 Open,26/03/04,Masters,Outdoor,Hard,1st Round,3,Reid T.,Saretta F.,128,46,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.4,1.55,,,2,1.55,2.44,1.617
19,Miami,NASDAQ-100 Open,26/03/04,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Carlsen K.,70,101,7,5,6,1,,,,,,,2,0,Completed,1.72,2,1.73,2.1,,,1.75,1.75,1.855,2.01
19,Miami,NASDAQ-100 Open,26/03/04,Masters,Outdoor,Hard,1st Round,3,Squillari F.,Lee H.T.,125,91,2,6,6,2,6,3,,,,,2,1,Completed,1.83,1.83,1.8,2,,,1.75,1.75,2,1.862
19,Miami,NASDAQ-100 Open,26/03/04,Masters,Outdoor,Hard,1st Round,3,Zabaleta M.,Carraz G.,43,56,6,4,7,5,,,,,,,2,0,Completed,1.72,2,1.77,2,,,1.6,1.9,1.84,2.03
19,Miami,NASDAQ-100 Open,26/03/04,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Labadze I.,63,55,6,2,6,0,,,,,,,2,0,Completed,1.61,2.2,1.73,2.1,,,1.65,1.85,1.741,2.19
