ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Carlsen K.,Saulnier C.,110,123,375,350,3,6,6,3,6,0,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Zib T.,34,75,903,525,5,7,6,1,6,1,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Karlovic I.,49,61,785,686,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Rochus C.,Moodie W.,50,69,785,560,2,6,6,4,6,4,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Calleri A.,Monaco J.,65,73,602,542,6,2,6,1,,,,,,,2,0,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Serra F.,Simon G.,39,82,837,495,6,2,6,4,,,,,,,2,0,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Vik R.,Bjorkman J.,70,68,553,573,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,2,1.77,2.15,1.65,2.22,1.758,2.02,1.75
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Massu N.,Sluiter R.,43,98,825,423,6,4,6,3,,,,,,,2,0,Completed,1.3,3.4,1.3,3.4,1.3,3.35,1.331,3.72,1.3,3.35
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Fish M.,Hernych J.,265,90,125,450,6,3,6,3,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.48,2.53,1.61,2.54,1.61,2.25
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Kim K.,Melzer J.,122,77,351,520,3,6,6,2,6,3,,,,,2,1,Completed,1.9,1.8,1.88,1.88,1.7,2.08,1.833,2.1,1.87,1.87
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Llodra M.,Dlouhy L.,145,74,281,527,6,7,6,0,6,3,,,,,2,1,Completed,1.8,1.9,1.7,2.1,1.75,2.05,1.794,2.16,1.8,1.95
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Moya C.,Hanescu V.,35,44,900,821,5,7,7,5,6,4,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.26,3.59,1.305,3.98,1.25,3.7
20,Miami,NASDAQ-100 Open,22/03/06,Masters,Outdoor,Hard,1st Round,3,Bogomolov A.,Querry S.,167,386,242,78,4,6,6,4,6,3,,,,,2,1,Completed,1.57,2.25,,,1.42,2.75,1.524,2.78,1.5,2.48
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Wawrinka S.,Murray A.,58,41,692,826,7,5,3,6,6,4,,,,,2,1,Completed,2.37,1.53,2.25,1.62,2.37,1.54,2.48,1.633,2.3,1.58
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Goldstein P.,Gimelstob J.,64,94,607,432,3,6,7,6,1,1,,,,,1,1,Retired,1.72,2,1.83,1.93,1.9,1.85,1.746,2.24,1.8,1.95
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Lapentti N.,40,100,826,418,3,6,6,3,6,0,,,,,2,1,Completed,1.19,4.33,1.18,4.6,1.17,4.67,1.224,5.06,1.2,4.25
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Vliegen K.,Pashanski B.,57,59,700,688,6,2,4,6,6,3,,,,,2,1,Completed,1.33,3.25,1.33,3.2,1.3,3.35,1.388,3.38,1.33,3.2
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Horna L.,Mayer F.,46,63,797,614,6,4,7,6,,,,,,,2,0,Completed,2.1,1.66,2.25,1.62,2.03,1.73,2.22,1.758,2.2,1.63
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Youzhny M.,48,42,790,825,6,3,6,1,,,,,,,2,0,Completed,2.75,1.39,2.85,1.4,2.75,1.42,3.04,1.446,2.65,1.45
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Clement A.,Luczak P.,53,129,746,318,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.55,2.4,1.55,2.35,1.592,2.59,1.48,2.55
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Berlocq C.,Young D.,81,552,500,39,6,0,6,0,,,,,,,2,0,Completed,,,,,1.6,2.3,1.741,2.25,,
20,Miami,NASDAQ-100 Open,23/03/06,Masters,Outdoor,Hard,1st Round,3,Philippoussis M.,Sanguinetti D.,169,51,240,755,6,4,4,6,6,3,,,,,2,1,Completed,2.37,1.53,2.3,1.6,2.45,1.5,2.5,1.625,2.35,1.56
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Spadea V.,Seppi A.,79,54,515,728,6,1,6,4,,,,,,,2,0,Completed,1.66,2.1,1.87,1.9,1.85,1.9,1.926,1.98,1.77,2
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Mirnyi M.,Muller G.,55,71,720,552,7,6,5,7,6,4,,,,,2,1,Completed,1.66,2.1,1.67,2.15,1.75,2,1.73,2.27,1.65,2.16
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Mathieu P.H.,66,37,596,853,6,1,6,3,,,,,,,2,0,Completed,2,1.72,2.05,1.73,2.15,1.65,2.45,1.645,2.08,1.7
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Greul S.,Srichaphan P.,130,38,318,845,5,7,6,2,7,5,,,,,2,1,Completed,4.5,1.16,4.1,1.22,4.45,1.2,5.2,1.217,4.8,1.16
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Martin A.,Pavel A.,60,88,687,455,6,2,6,2,,,,,,,2,0,Completed,2,1.72,1.93,1.83,2.1,1.7,2.26,1.735,2,1.77
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Henman T.,Safin M.,56,47,710,790,6,3,6,3,,,,,,,2,0,Completed,2.79,1.36,2.85,1.4,2.75,1.42,3.25,1.408,2.9,1.38
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Bastl G.,Bracciali D.,147,67,280,588,6,7,6,1,6,4,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.35,1.55,2.45,1.645,2.35,1.55
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Lopez F.,Kuznetsov A.,45,566,805,38,6,4,4,6,6,1,,,,,2,1,Completed,1.22,4,,,1.28,3.46,1.299,4.05,1.2,4.2
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Tursunov D.,Capdeville P.,36,105,870,394,6,2,6,1,,,,,,,2,0,Completed,1.28,3.5,1.35,3.1,1.33,3.15,1.383,3.41,1.36,3
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,1st Round,3,Montanes A.,Kunitsyn I.,89,120,451,355,6,4,6,2,,,,,,,2,0,Completed,3,1.36,,,3.35,1.3,3.15,1.426,,
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Calleri A.,Monfils G.,65,29,602,1044,7,5,6,4,,,,,,,2,0,Completed,1.83,1.83,1.77,2,1.75,2,1.8,2.15,1.8,1.95
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Ginepri R.,Carlsen K.,21,110,1450,375,6,2,7,5,,,,,,,2,0,Completed,1.53,2.37,1.5,2.55,1.48,2.53,1.552,2.71,1.44,2.7
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Ljubicic I.,Vik R.,6,70,2295,553,6,3,6,7,6,3,,,,,2,1,Completed,1.11,6,1.11,6.25,1.1,6.75,1.095,9.5,1.11,6.3
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Volandri F.,Llodra M.,31,145,931,281,3,6,7,6,6,2,,,,,2,1,Completed,2.62,1.44,2.7,1.45,2.65,1.45,2.76,1.538,,
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Davydenko N.,Fish M.,5,265,2420,125,6,4,7,5,,,,,,,2,0,Completed,1.36,3,1.37,3,1.35,3.1,1.444,3.05,1.35,3.05
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Baghdatis M.,Bogomolov A.,26,167,1339,242,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.16,5,1.17,4.67,1.175,6.2,1.1,6.5
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Nadal R.,35,2,900,4890,2,6,6,1,6,1,,,,,2,1,Completed,4.5,1.16,4.4,1.2,4.25,1.2,6.82,1.156,4.3,1.2
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Gonzalez F.,Wawrinka S.,19,58,1470,692,3,6,6,2,7,6,,,,,2,1,Completed,1.72,2,1.93,1.83,1.87,1.87,1.8,2.15,1.87,1.87
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Rochus C.,Phau B.,50,72,785,544,5,7,6,4,6,2,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Ancic M.,Kim K.,23,122,1425,351,6,3,2,6,6,4,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.28,3.46,1.295,4.09,1.28,3.5
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Stepanek R.,Malisse X.,16,40,1530,826,6,1,6,4,,,,,,,2,0,Completed,2.25,1.57,2.25,1.62,2.3,1.6,2.44,1.649,2.35,1.55
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Kiefer N.,Santoro F.,17,49,1480,785,7,6,2,6,6,4,,,,,2,1,Completed,1.8,1.9,1.88,1.88,1.85,1.9,1.909,2,2.05,1.73
20,Miami,NASDAQ-100 Open,24/03/06,Masters,Outdoor,Hard,2nd Round,3,Serra F.,Gasquet R.,39,12,837,1595,7,6,6,3,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,2.92,1.37,3.8,1.323,2.92,1.38
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Berdych T.,Acasuso J.,27,34,1320,903,6,1,6,2,,,,,,,2,0,Completed,1.33,3,1.4,2.85,1.46,2.6,1.461,2.97,1.48,2.55
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Massu N.,Robredo T.,43,22,825,1430,6,4,6,4,,,,,,,2,0,Completed,2.25,1.57,2.05,1.75,2.15,1.65,2.38,1.676,2.15,1.66
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Nalbandian D.,Goldstein P.,3,64,2560,607,3,6,7,5,7,6,,,,,2,1,Completed,1.19,4.33,1.2,4.4,1.17,4.67,1.185,5.91,1.15,5.1
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Ferrer D.,Montanes A.,11,89,1700,451,6,1,6,1,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.4,2.85,1.365,3.54,1.35,3.05
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Tursunov D.,Ferrero J.C.,36,15,870,1550,6,3,7,6,,,,,,,2,0,Completed,1.61,2.2,1.65,2.2,1.7,2.1,1.746,2.24,1.64,2.18
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Hewitt L.,56,14,710,1575,7,6,6,3,,,,,,,2,0,Completed,3,1.36,3.2,1.33,3.1,1.35,3.27,1.405,3.08,1.35
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Andreev I.,Bastl G.,25,147,1375,280,6,4,6,4,,,,,,,2,0,Completed,1.25,3.75,1.22,4.1,1.215,4.065,1.274,4.35,1.25,3.75
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Lopez F.,20,45,1450,805,6,3,7,6,,,,,,,2,0,Completed,1.28,3.5,1.33,3.2,1.25,3.9,1.307,3.96,1.28,3.5
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Greul S.,Hrbaty D.,130,18,318,1470,7,6,6,3,,,,,,,2,0,Completed,3.5,1.28,3.1,1.35,3.35,1.3,3.8,1.323,3.05,1.35
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Blake J.,Berlocq C.,9,81,1880,500,6,0,6,0,,,,,,,2,0,Completed,1.07,7.5,1.06,8.5,1.07,7.19,1.08,11.5,1.05,11
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Clement A.,1,53,6935,746,6,2,6,7,6,0,,,,,2,1,Completed,1.03,10,1.03,11,1.04,9.25,1.039,21.5,1.03,12
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Chela J.I.,Rusedski G.,33,48,925,790,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.65,2.2,1.65,2.15,1.649,2.44,1.65,2.18
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Haas T.,Horna L.,28,46,1250,797,6,0,6,3,,,,,,,2,0,Completed,1.22,4,1.22,4.1,1.23,3.89,1.331,3.72,1.22,4
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Rochus O.,Mirnyi M.,30,55,965,720,6,4,3,6,6,1,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.7,2.1,1.685,2.36,1.58,2.3
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Vliegen K.,Gaudio G.,57,8,700,1985,7,5,7,6,,,,,,,2,0,Completed,2,1.72,2.05,1.75,1.95,1.8,2.1,1.833,2.1,1.7
20,Miami,NASDAQ-100 Open,25/03/06,Masters,Outdoor,Hard,2nd Round,3,Coria G.,Djokovic N.,7,66,2025,596,7,5,6,1,,,,,,,2,0,Completed,2.1,1.66,2.4,1.55,2.1,1.7,2.48,1.633,2.22,1.62
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,2nd Round,3,Nieminen J.,Philippoussis M.,24,169,1425,240,6,4,7,6,,,,,,,2,0,Completed,1.3,3.25,1.37,3,1.35,3.1,1.313,3.9,1.35,3.05
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,2nd Round,3,Verdasco F.,Spadea V.,32,79,930,515,1,6,6,4,6,3,,,,,2,1,Completed,1.83,1.83,2,1.77,2.15,1.65,2.14,1.806,2.1,1.7
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Martin A.,4,60,2535,687,6,3,6,1,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.15,5.2,1.163,6.54,1.15,5.2
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,3rd Round,3,Nalbandian D.,Berdych T.,3,27,2560,1320,6,7,6,1,6,0,,,,,2,1,Completed,1.66,2.1,1.6,2.3,1.7,2.1,1.709,2.31,1.65,2.2
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,3rd Round,3,Ancic M.,Serra F.,23,39,1425,837,7,6,6,7,6,2,,,,,2,1,Completed,1.44,2.62,1.48,2.6,1.55,2.35,1.51,2.81,1.57,2.32
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,3rd Round,3,Davydenko N.,Baghdatis M.,5,26,2420,1339,2,6,6,2,7,5,,,,,2,1,Completed,1.83,1.83,2,1.77,2.1,1.7,2.07,1.855,1.96,1.8
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,3rd Round,3,Stepanek R.,Massu N.,16,43,1530,825,6,7,7,6,7,5,,,,,2,1,Completed,1.57,2.25,1.67,2.15,1.75,2.05,1.813,2.13,1.58,2.3
20,Miami,NASDAQ-100 Open,26/03/06,Masters,Outdoor,Hard,3rd Round,3,Kiefer N.,Gonzalez F.,17,19,1480,1470,6,2,3,6,7,5,,,,,2,1,Completed,1.66,2.1,1.67,2.15,1.55,2.35,1.617,2.52,1.54,2.4
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Ljubicic I.,Volandri F.,6,31,2295,931,6,2,6,3,,,,,,,2,0,Completed,1.08,7,1.08,7.25,1.1,6.75,1.091,9.98,1.08,7.5
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Calleri A.,Moya C.,65,35,602,900,6,3,7,6,,,,,,,2,0,Completed,2.62,1.44,2.55,1.5,2.335,1.56,2.69,1.559,2.55,1.48
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Rochus C.,Ginepri R.,50,21,785,1450,4,6,7,5,6,3,,,,,2,1,Completed,2.5,1.5,3.1,1.35,2.28,1.58,2.5,1.625,3.5,1.28
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Tursunov D.,Andreev I.,36,25,870,1375,6,3,1,6,6,4,,,,,2,1,Completed,2,1.72,2,1.77,1.85,1.9,2.05,1.87,1.96,1.8
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Greul S.,Henman T.,130,56,318,710,0,6,6,1,7,5,,,,,2,1,Completed,3.75,1.25,3.55,1.28,3.75,1.25,4.14,1.291,3.45,1.29
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Blake J.,Nieminen J.,9,24,1880,1425,6,3,4,6,6,1,,,,,2,1,Completed,1.33,3.25,1.37,3,1.37,2.92,1.357,3.6,1.35,3.1
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Ferrer D.,Grosjean S.,11,20,1700,1450,4,6,7,5,6,4,,,,,2,1,Completed,2.62,1.44,2.7,1.45,2.75,1.42,2.75,1.541,2.65,1.45
20,Miami,NASDAQ-100 Open,27/03/06,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Verdasco F.,4,32,2535,930,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.22,4.1,1.28,3.46,1.298,4.06,1.27,3.55
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,3rd Round,3,Rochus O.,Coria G.,30,7,965,2025,6,4,6,3,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.655,2.15,1.645,2.45,1.65,2.18
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,3rd Round,3,Chela J.I.,Vliegen K.,33,57,925,700,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.6,2.25,1.543,2.74,1.54,2.4
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Haas T.,1,28,6935,1250,6,1,6,3,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.13,5.5,1.175,6.2,1.05,8.3
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Ancic M.,Davydenko N.,23,5,1425,2420,7,5,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,,,2.45,1.645,2.45,1.52
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Ljubicic I.,Rochus C.,6,50,2295,785,6,3,6,1,,,,,,,2,0,Completed,1.08,7,1.1,6.75,1.12,5.66,1.1,9,1.13,5.4
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Calleri A.,Kiefer N.,65,17,602,1480,3,6,6,3,7,5,,,,,2,1,Completed,2.25,1.57,2.45,1.53,2.35,1.55,2.48,1.633,2.3,1.58
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Roddick A.,Greul S.,4,130,2535,318,6,3,3,6,6,2,,,,,2,1,Completed,1.1,6.5,1.1,6.75,1.11,5.84,1.128,8,1.14,5.25
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Ferrer D.,Rochus O.,11,30,1700,965,6,7,7,6,7,5,,,,,2,1,Completed,2.62,1.44,2.7,1.45,2.6,1.46,3.1,1.435,2.7,1.43
20,Miami,NASDAQ-100 Open,28/03/06,Masters,Outdoor,Hard,4th Round,3,Federer R.,Tursunov D.,1,36,6935,870,6,3,6,3,,,,,,,2,0,Completed,1.04,9,1.03,11.25,1.03,13,1.048,17,1.08,7.25
20,Miami,NASDAQ-100 Open,29/03/06,Masters,Outdoor,Hard,4th Round,3,Nalbandian D.,Stepanek R.,3,16,2560,1530,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.38,3,1.395,2.83,1.4,3.3,1.36,3
20,Miami,NASDAQ-100 Open,29/03/06,Masters,Outdoor,Hard,4th Round,3,Blake J.,Chela J.I.,9,33,1880,925,4,6,6,1,6,0,,,,,2,1,Completed,1.22,4,1.23,4,1.28,3.46,1.235,4.85,1.23,3.8
20,Miami,NASDAQ-100 Open,29/03/06,Masters,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,Calleri A.,6,65,2295,602,7,6,6,3,,,,,,,2,0,Completed,1.14,5,1.2,4.25,1.2,4.25,1.225,4.95,1.18,4.5
20,Miami,NASDAQ-100 Open,30/03/06,Masters,Outdoor,Hard,Quarterfinals,3,Nalbandian D.,Ancic M.,3,23,2560,1425,6,2,6,2,,,,,,,2,0,Completed,1.36,3,1.4,2.8,1.4,2.85,1.413,3.22,1.4,2.85
20,Miami,NASDAQ-100 Open,30/03/06,Masters,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Roddick A.,11,4,1700,2535,6,3,4,6,6,4,,,,,2,1,Completed,3.5,1.28,3,1.37,2.92,1.37,3.29,1.402,3.4,1.3
20,Miami,NASDAQ-100 Open,31/03/06,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Blake J.,1,9,6935,1880,7,6,6,4,,,,,,,2,0,Completed,1.1,6.5,1.11,6.25,1.1,6.75,1.121,8.46,1.1,6.4
20,Miami,NASDAQ-100 Open,31/03/06,Masters,Outdoor,Hard,Semifinals,3,Ljubicic I.,Nalbandian D.,6,3,2295,2560,6,1,6,2,,,,,,,2,0,Completed,2.25,1.61,2.15,1.67,2.15,1.65,2.38,1.676,2.18,1.65
20,Miami,NASDAQ-100 Open,01/04/06,Masters,Outdoor,Hard,Semifinals,3,Federer R.,Ferrer D.,1,11,6935,1700,6,1,6,4,,,,,,,2,0,Completed,1.03,12,1.03,11,1.05,8.5,1.04,21,1.03,14
20,Miami,NASDAQ-100 Open,02/04/06,Masters,Outdoor,Hard,The Final,5,Federer R.,Ljubicic I.,1,6,6935,2295,7,6,7,6,7,6,,,,,3,0,Completed,1.1,7,1.1,6.6,1.1,7.25,1.13,8,1.09,7.6
