ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Cilic M.,Vliegen K.,44,76,760,522,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.44,2.67,1.444,2.625,1.556,2.7,1.47,2.6
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Mahut N.,Mayer F.,43,85,761,489,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.513,2.8,1.5,2.52
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Hernandez O.,311,66,115,560,6,1,6,1,,,,,,,2,0,Completed,1.07,7.5,1.1,6.75,1.111,6,1.1,9,1.08,7.4
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Seppi A.,Gicquel M.,46,54,748,630,2,6,6,4,6,2,,,,,2,1,Completed,1.57,2.25,1.6,2.3,1.667,2.1,1.625,2.5,1.6,2.28
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Del Potro J.M.,Levine J.,65,162,560,267,7,5,6,1,,,,,,,2,0,Completed,1.53,2.37,1.65,2.15,1.533,2.375,1.654,2.43,1.6,2.28
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Tursunov D.,Korolev E.,35,102,940,432,4,6,6,3,6,2,,,,,2,1,Completed,1.44,2.62,1.45,2.6,1.444,2.625,1.488,2.85,1.5,2.52
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Becker B.,Roitman S.,108,80,416,507,6,3,6,4,,,,,,,2,0,Completed,1.25,3.75,1.26,3.59,1.25,3.75,1.329,3.74,1.3,3.4
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Warburg S.,Starace P.,157,37,278,925,7,6,6,2,,,,,,,2,0,Completed,1.9,1.8,1.87,1.87,2,1.727,2,1.909,2.02,1.75
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Querrey S.,Berlocq C.,50,81,718,504,7,6,6,3,,,,,,,2,0,Completed,1.12,5.5,1.15,5.2,1.167,4.5,1.155,6.85,1.12,6
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Grosjean S.,Kuerten G.,52,N/A,709,N/A,6,1,7,5,,,,,,,2,0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,1.098,9.2,1.08,7.5
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Montanes A.,Nishikori K.,56,120,596,378,7,5,6,2,,,,,,,2,0,Completed,3.5,1.28,3.46,1.28,3.5,1.286,3.86,1.316,3.65,1.27
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Berrer M.,Haase R.,63,67,564,558,6,4,6,4,,,,,,,2,0,Completed,3.75,1.25,3.59,1.26,3.4,1.3,4.1,1.294,4.3,1.2
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Anderson K.,Calleri A.,122,53,370,675,7,6,3,6,7,6,,,,,2,1,Completed,1.72,2,1.7,2.1,1.833,1.833,1.926,1.98,1.8,1.96
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Santoro F.,Bjorkman J.,49,57,722,595,6,1,6,0,,,,,,,2,0,Completed,1.44,2.62,1.51,2.46,1.53,2.37,1.538,2.76,1.41,2.82
20,Miami,Sony Ericsson Open,26/03/08,Masters,Outdoor,Hard,1st Round,3,Cuevas P.,Spadea V.,96,82,464,503,6,4,6,2,,,,,,,2,0,Completed,2.1,1.66,1.91,1.83,2.1,1.667,1.99,1.87,2.16,1.67
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Kiefer N.,Garcia-Lopez G.,51,61,710,573,4,6,7,6,6,4,,,,,2,1,Completed,,,,,,,,,,
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Sela D.,Lee H.T.,60,48,575,727,6,4,6,3,,,,,,,2,0,Completed,3.25,1.33,3.1,1.35,2.75,1.4,3.28,1.403,3.1,1.35
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Troicki V.,Hanescu V.,119,70,378,540,6,4,6,1,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.667,2.1,1.735,2.26,1.63,2.22
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Schuettler R.,72,92,533,475,1,6,6,1,6,2,,,,,2,1,Completed,1.4,2.75,1.45,2.6,1.5,2.5,1.538,2.76,1.47,2.6
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Minar I.,Rochus O.,86,71,488,536,6,3,6,2,,,,,,,2,0,Completed,2.37,1.53,2.1,1.7,2.25,1.571,2.35,1.69,2.3,1.6
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Reynolds B.,Safin M.,104,90,425,475,7,6,4,6,7,6,,,,,2,1,Completed,2.37,1.53,2.45,1.5,2.375,1.533,2.4,1.667,2.44,1.53
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Melzer J.,Llodra M.,78,38,509,853,7,6,7,6,,,,,,,2,0,Completed,1.72,2,1.75,2.05,1.833,1.833,1.82,2.12,1.72,2.05
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Gulbis E.,Hrbaty D.,91,200,475,203,6,3,4,6,6,1,,,,,2,1,Completed,1.28,3.5,1.3,3.35,1.333,3.25,1.357,3.6,1.28,3.55
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Tipsarevic J.,Lu Y.H.,41,114,781,395,6,1,4,6,6,4,,,,,2,1,Completed,1.44,2.62,1.5,2.45,1.5,2.5,1.459,2.98,1.48,2.55
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Ventura S.,45,69,753,553,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.222,4,1.217,5.2,1.18,4.6
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Clement A.,Fish M.,75,40,525,790,6,3,6,3,,,,,,,2,0,Completed,3.5,1.28,3.46,1.28,3.5,1.286,3.6,1.357,3.4,1.3
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Ancic M.,Simon G.,62,34,565,970,6,2,6,7,6,3,,,,,2,1,Completed,1.3,3.39,1.3,3.35,1.364,3,1.389,3.37,1.32,3.25
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Bolelli S.,Giraldo S.,55,169,612,252,6,3,7,5,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.667,2.1,1.654,2.43,1.68,2.12
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Sweeting R.,Volandri F.,265,42,150,770,6,3,6,2,,,,,,,2,0,Completed,1.57,2.25,1.48,2.53,1.571,2.25,1.581,2.62,1.54,2.4
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Soderling R.,Koubek S.,39,58,795,593,6,0,6,1,,,,,,,2,0,Completed,1.14,5,1.13,5.5,1.167,4.5,1.185,5.9,1.16,4.85
20,Miami,Sony Ericsson Open,27/03/08,Masters,Outdoor,Hard,1st Round,3,Johansson T.,Kunitsyn I.,59,121,578,377,4,6,6,1,6,2,,,,,2,1,Completed,1.5,2.5,1.5,2.45,1.444,2.625,1.617,2.52,1.65,2.18
