ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Junqueira D.,Bhambri Y.,73,1147,992,10,6,4,6,3,,,,,,,2,0,Completed,1.36,3,1.36,3.17,1.364,3,1.333,3,1.37,3
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Benneteau J.,Serra F.,44,49,1422,1279,3,6,6,3,6,4,,,,,2,1,Completed,1.57,2.25,1.55,2.45,1.615,2.2,1.571,2.25,1.57,2.34
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Hernych J.,Evans B.,63,148,1095,548,6,4,6,3,,,,,,,2,0,Completed,1.28,3.5,1.31,3.55,1.333,3.25,1.333,3,1.25,3.8
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Hernandez O.,Ljubicic I.,66,68,1069,1041,6,4,6,4,,,,,,,2,0,Completed,7,1.08,5.95,1.13,7,1.083,6,1.1,7,1.09
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kim K.,Llodra M.,107,82,825,930,3,6,,,,,,,,,0,1,Retired,3,1.36,3,1.4,2.75,1.4,3,1.333,3,1.37
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kendrick R.,Clement A.,85,58,923,1174,6,3,7,6,,,,,,,2,0,Completed,2.1,1.66,2,1.8,2,1.72,1.833,1.833,1.97,1.8
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Nieminen J.,Navarro-Pastor I.,54,102,1225,852,6,3,6,3,,,,,,,2,0,Completed,1.14,5,1.18,4.88,1.143,5,1.143,5,1.14,5.5
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Baghdatis M.,Gulbis E.,105,43,835,1423,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.54,2.5,1.571,2.25,1.5,2.5,1.57,2.34
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Dancevic F.,Kohlschreiber P.,117,36,736,1570,6,4,7,6,,,,,,,2,0,Completed,3,1.36,3.17,1.36,3.25,1.333,3,1.333,3.25,1.32
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Russell M.,Hanescu V.,241,38,308,1516,7,6,6,3,,,,,,,2,0,Completed,1.66,2.1,1.64,2.27,1.667,2.1,1.571,2.25,1.67,2.15
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,Haas T.,142,87,582,900,6,4,6,4,,,,,,,2,0,Completed,4.33,1.2,3.95,1.25,3.75,1.25,3.5,1.25,3.65,1.27
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Santoro F.,Bellucci T.,50,65,1252,1072,6,4,4,6,6,1,,,,,2,1,Completed,1.66,2.1,1.75,2.05,1.8,1.909,1.727,2,1.78,2
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Dent T.,Mello R.,467,168,115,483,6,1,6,3,,,,,,,2,0,Completed,1.36,3,1.4,2.98,1.364,3,1.333,3,1.38,2.95
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Chardy J.,62,45,1110,1361,6,4,3,6,6,3,,,,,2,1,Completed,2.2,1.61,2.27,1.64,2.1,1.667,2.1,1.667,2.1,1.7
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Sela D.,92,57,880,1175,3,6,6,4,6,3,,,,,2,1,Completed,1.28,3.5,1.3,3.55,1.286,3.5,1.286,3.25,1.3,3.4
20,Miami,Sony Ericsson Open,25/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Calleri A.,Rochus C.,83,56,930,1204,6,4,3,6,6,3,,,,,2,1,Completed,2,1.72,1.95,1.85,2,1.72,2.1,1.667,2.05,1.73
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Gabashvili T.,Bolelli S.,72,40,1016,1506,6,4,4,6,6,4,,,,,2,1,Completed,2.5,1.5,2.32,1.61,2.25,1.571,2.375,1.533,2.38,1.55
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Vassallo-Arguello M.,Starace P.,52,70,1243,1020,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.27,1.64,2.2,1.615,2.25,1.571,2.16,1.66
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Massu N.,Sweeting R.,91,164,885,495,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.38,1.59,2.2,1.615,2.2,1.615,2.44,1.53
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Delic A.,Darcis S.,160,99,515,863,6,4,7,6,,,,,,,2,0,Completed,1.53,2.37,1.45,2.8,1.615,2.2,1.667,2.1,1.6,2.28
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Isner J.,Stakhovsky S.,134,119,615,730,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.4,2.95,1.364,3,1.4,2.75,1.42,2.78
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Gil F.,Zverev M.,74,77,992,978,7,6,6,2,,,,,,,2,0,Completed,2,1.72,2.05,1.75,2.1,1.667,2.1,1.667,2,1.77
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Seppi A.,Garcia-Lopez G.,39,76,1510,981,7,6,6,1,,,,,,,2,0,Completed,1.36,3,1.45,2.7,1.444,2.625,1.444,2.625,1.38,2.95
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Reynolds B.,Chela J.I.,64,169,1083,480,0,6,7,5,6,4,,,,,2,1,Completed,2,1.72,2.2,1.65,2.1,1.667,2,1.727,2.03,1.75
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Becker B.,Levine J.,127,128,637,629,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.49,2.65,1.571,2.25,1.5,2.5,1.48,2.58
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Muller G.,47,69,1340,1032,6,4,6,3,,,,,,,2,0,Completed,1.25,3.75,1.24,4.14,1.25,3.75,1.222,3.75,1.25,3.8
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Montanes A.,Koubek S.,35,224,1584,335,6,4,7,6,,,,,,,2,0,Completed,2.37,1.53,2.55,1.5,2.5,1.5,2.5,1.5,2.52,1.5
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Schwank E.,61,55,1161,1205,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.61,2.32,1.571,2.25,1.615,2.2,1.58,2.32
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Troicki V.,Devilder N.,41,60,1505,1164,6,2,6,3,,,,,,,2,0,Completed,1.12,5.5,1.18,5.01,1.167,4.5,1.167,4.5,1.14,5.5
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Tipsarevic J.,Acasuso J.,46,42,1350,1450,6,4,4,6,6,3,,,,,2,1,Completed,1.5,2.5,1.55,2.45,1.5,2.5,1.444,2.625,1.55,2.4
20,Miami,Sony Ericsson Open,26/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Monaco J.,Gicquel M.,59,53,1165,1233,6,0,6,4,,,,,,,2,0,Completed,2,1.72,2,1.85,2.1,1.667,2,1.727,2.15,1.67
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,1st Round,3,Kunitsyn I.,Canas G.,37,89,1539,891,7,6,5,7,6,3,,,,,2,1,Completed,1.72,2,1.8,2.05,1.615,2.2,1.667,2.1,1.74,2.06
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Dent T.,Almagro N.,467,20,115,2270,2,6,6,2,7,6,,,,,2,1,Completed,2,1.72,2.04,1.79,1.909,1.8,1.833,1.833,1.9,1.86
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Kendrick R.,Soderling R.,85,24,923,2010,6,4,6,2,,,,,,,2,0,Completed,4,1.22,3.95,1.25,3.75,1.25,3.5,1.25,4,1.23
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Kiefer N.,Santoro F.,29,50,1755,1252,5,7,7,6,6,2,,,,,2,1,Completed,1.4,2.75,1.5,2.6,1.5,2.5,1.5,2.5,1.53,2.44
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Safin M.,Hernandez O.,23,66,2075,1069,6,4,2,6,6,1,,,,,2,1,Completed,1.25,3.75,1.3,3.5,1.286,3.5,1.286,3.25,1.24,3.9
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Monfils G.,Russell M.,10,241,3550,308,6,2,6,7,6,3,,,,,2,1,Completed,1.2,4.33,1.22,4.4,1.167,4.5,1.167,4.5,1.24,3.9
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Tursunov D.,Kukushkin M.,26,142,1925,582,3,6,7,6,6,3,,,,,2,1,Completed,1.36,3,1.45,2.7,1.4,2.75,1.444,2.625,1.45,2.7
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Blake J.,Benneteau J.,14,44,2785,1422,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.4,3,1.4,2.75,1.364,2.875,1.37,3
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Robredo T.,Hernych J.,16,63,2730,1095,6,4,6,4,,,,,,,2,0,Completed,1.3,3.4,1.35,3.3,1.333,3.25,1.3,3.2,1.38,2.95
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,Dancevic F.,3,117,8420,736,6,3,6,2,,,,,,,2,0,Completed,1.06,8,1.05,8.75,1.083,7,1.071,7,1.1,6.75
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Berdych T.,Youzhny M.,22,62,2230,1110,6,3,3,6,6,4,,,,,2,1,Completed,1.66,2.1,1.85,1.95,1.667,2.1,1.727,2,1.74,2.04
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Baghdatis M.,33,105,1630,835,6,3,2,6,6,2,,,,,2,1,Completed,2.5,1.5,2.76,1.47,2.5,1.5,2.375,1.533,2.52,1.5
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Kim K.,2,107,10910,825,6,3,6,2,,,,,,,2,0,Completed,1.005,21,1.01,16,1.01,17,1.02,11,1.01,20
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Calleri A.,11,83,3195,930,6,1,6,1,,,,,,,2,0,Completed,1.04,10,1.05,9.5,1.071,7.5,1.05,8,1.05,9.5
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Simon G.,Hewitt L.,8,92,3930,880,6,1,6,2,,,,,,,2,0,Completed,1.44,2.62,1.55,2.45,1.571,2.25,1.533,2.375,1.52,2.46
20,Miami,Sony Ericsson Open,27/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Schuettler R.,Nieminen J.,31,54,1730,1225,4,6,6,2,6,3,,,,,2,1,Completed,2.62,1.44,2.6,1.5,2.375,1.533,2.375,1.533,2.4,1.55
20,Miami,Sony Ericsson Open,28/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Roddick A.,Junqueira D.,6,73,4610,992,6,1,6,1,,,,,,,2,0,Completed,1,21,1.02,13.5,1.01,17,1.013,11,1.01,20
20,Miami,Sony Ericsson Open,28/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Gil F.,Karlovic I.,74,27,992,1855,6,4,6,4,,,,,,,2,0,Completed,2.87,1.38,2.55,1.5,2.75,1.4,2.75,1.4,2.68,1.45
20,Miami,Sony Ericsson Open,28/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Lopez F.,Querrey S.,34,47,1615,1340,6,7,7,5,6,2,,,,,2,1,Completed,2.37,1.53,2.5,1.55,2.25,1.571,2.375,1.533,2.44,1.53
20,Miami,Sony Ericsson Open,28/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Troicki V.,Nalbandian D.,41,15,1505,2735,6,1,6,3,,,,,,,2,0,Completed,4.33,1.2,4.33,1.22,4.333,1.2,4,1.2,4.1,1.22
20,Miami,Sony Ericsson Open,28/03/09,Masters 1000,Outdoor,Hard,2nd Round,3,Verdasco F.,Becker B.,9,127,3590,637,6,3,6,4,,,,,,,2,0,Completed,1.05,9,1.07,8.66,1.083,7,1.083,6.5,1.08,7.5
