ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Koellerer D.,Rochus C.,97,136,525,388,4,6,6,3,6,2,,,,,2,1,Completed,1.53,2.37,1.45,2.65,1.57,2.25,1.57,2.62,,
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Stakhovsky S.,Hajek J.,72,82,669,608,6,3,5,7,7,5,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.556,2.65,1.444,2.625
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Clement A.,41,79,949,617,7,6,6,2,,,,,,,2,0,Completed,1.57,2.25,1.75,2.05,1.73,2,1.847,2.09,1.615,2.2
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Schwank E.,Gicquel M.,64,66,718,699,4,3,,,,,,,,,0,0,Retired,2,1.72,2.15,1.65,2.1,1.667,2.36,1.676,2,1.727
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Andreev I.,Malisse X.,40,91,950,554,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,2,1.75,2,1.727,2.03,1.901,1.833,1.833
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Llodra M.,Harrison R.,65,248,702,183,6,2,6,2,,,,,,,2,0,Completed,1.57,2.25,1.55,2.35,1.571,2.25,1.676,2.36,1.571,2.25
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Mayer F.,Chiudinelli M.,49,57,879,764,7,6,1,6,6,2,,,,,2,1,Completed,1.44,2.62,1.5,2.45,1.533,2.375,1.513,2.79,1.5,2.5
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Gimeno-Traver D.,Golubev A.,108,93,484,542,6,3,6,4,,,,,,,2,0,Completed,4,1.22,3.7,1.25,3.75,1.25,3.75,1.328,3.5,1.25
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Rochus O.,Gasquet R.,59,74,754,640,7,6,1,6,6,4,,,,,2,1,Completed,3.25,1.33,3.1,1.35,3.25,1.333,3.47,1.368,3,1.333
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Ancic M.,48,441,885,73,6,4,6,4,,,,,,,2,0,Completed,1.9,1.8,1.9,1.85,1.83,1.83,2.14,1.813,2,1.727
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Becker B.,Greul S.,39,55,981,779,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.727,2,1.794,2.16,1.727,2
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Dent T.,Schuettler R.,83,87,596,575,6,1,6,4,,,,,,,2,0,Completed,1.66,2.1,1.65,2.15,1.667,2.1,1.8,2.15,1.667,2.1
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Marchenko I.,Mathieu P.H.,85,44,594,910,6,3,7,6,,,,,,,2,0,Completed,2.37,1.53,2.15,1.65,2.2,1.615,2.33,1.694,2.25,1.571
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Nalbandian D.,Kubot L.,161,43,300,912,6,3,6,2,,,,,,,2,0,Completed,1.4,2.75,1.4,2.8,1.4,2.75,1.465,2.97,1.364,2.875
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Russell M.,Istomin D.,68,77,688,621,7,6,6,4,,,,,,,2,0,Completed,1.57,2.25,1.58,2.28,1.571,2.25,1.658,2.4,1.533,2.375
20,Miami,Sony Ericsson Open,24/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Blake J.,Krajinovic F.,52,331,835,122,6,7,6,4,6,4,,,,,2,1,Completed,1.06,8,1.07,7.5,1.071,7.5,1.074,11.25,1.071,7
20,Miami,Sony Ericsson Open,25/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Luczak P.,Hernandez O.,75,81,627,608,6,3,7,6,,,,,,,2,0,Completed,1.16,4.5,1.23,3.89,1.2,4.333,1.217,5.05,1.222,3.75
20,Miami,Sony Ericsson Open,25/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Falla A.,Hanescu V.,70,42,677,920,7,6,3,6,6,4,,,,,2,1,Completed,3,1.36,2.75,1.42,2.75,1.4,3.4,1.379,2.75,1.4
20,Miami,Sony Ericsson Open,25/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Berrer M.,Lacko L.,51,62,842,725,7,5,4,6,6,3,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.727,2,1.621,2.48,1.727,2
20,Miami,Sony Ericsson Open,25/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Zeballos H.,Seppi A.,58,47,756,900,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,2.35,1.55,2.5,1.5,2.52,1.606,2.375,1.533
20,Miami,Sony Ericsson Open,25/03/10,Masters 1000,Outdoor,Hard,1st Round,3,Anderson K.,Mello R.,114,106,464,498,6,3,6,1,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.727,2,1.676,2.36,1.667,2.1
