ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Ebden M.,Kubot L.,67,81,710,651,4,6,6,4,6,4,,,,,2,1,Completed,1.72,2,1.7,2.1,1.73,2,1.79,2.14,1.73,2.1,1.81,2.15,1.74,2.04
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Davydenko N.,80,71,656,690,6,4,7,5,,,,,,,2,0,Completed,3,1.36,3.1,1.35,3,1.36,3.11,1.42,3,1.36,3.3,1.43,2.99,1.37
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Montanes A.,Przysiezny M.,59,75,771,670,5,7,7,6,6,3,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.2,1.62,2.3,1.69,2.25,1.62,2.3,1.73,2.23,1.63
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,De Bakker T.,Hanescu V.,162,84,334,631,6,3,6,2,,,,,,,2,0,Completed,1.83,1.83,1.85,1.9,1.83,1.83,1.81,2.11,1.91,1.91,1.92,2.2,1.83,1.94
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Chardy J.,Monaco J.,48,41,955,1015,7,5,3,6,7,6,,,,,2,1,Completed,1.53,2.37,1.58,2.35,1.53,2.38,1.61,2.48,1.57,2.38,1.65,2.55,1.57,2.34
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Gabashvili T.,Granollers M.,60,228,771,215,6,4,6,3,,,,,,,2,0,Completed,2.1,1.66,2.05,1.75,1.91,1.8,2.3,1.69,2.1,1.73,2.3,1.8,2.07,1.72
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Gonzalez A.,Jaziri M.,83,118,632,496,7,6,6,1,,,,,,,2,0,Completed,2.25,1.57,2.25,1.62,2.2,1.62,2.26,1.72,2.25,1.62,2.35,1.83,2.22,1.63
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Benneteau J.,Edmund K.,52,298,900,154,6,7,6,3,6,2,,,,,2,1,Completed,1.16,4.5,1.13,5.75,1.1,6.5,1.15,6.34,1.14,5.5,1.18,6.5,1.14,5.53
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Matosevic M.,Falla A.,72,68,689,707,1,6,6,4,7,6,,,,,2,1,Completed,1.83,1.83,1.85,1.9,1.83,1.83,1.98,1.93,1.91,1.91,2.05,1.95,1.88,1.87
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Dodig I.,Golubev A.,37,70,1110,700,4,6,6,1,6,4,,,,,2,1,Completed,1.5,2.5,1.5,2.5,1.5,2.5,1.51,2.75,1.5,2.63,1.59,2.75,1.49,2.57
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Vesely J.,Volandri F.,73,82,685,649,6,4,7,6,,,,,,,2,0,Completed,1.14,5,1.13,5.5,1.17,4.5,1.14,6.8,1.17,5,1.18,6.8,1.14,5.55
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Stepanek R.,Brands D.,49,95,950,598,6,3,6,0,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.36,3,1.41,3.16,1.36,3,1.41,3.35,1.34,3.16
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Karlovic I.,Mathieu P.H.,53,114,881,508,7,6,7,6,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.67,2.1,1.75,2.2,1.67,2.2,1.77,2.2,1.69,2.12
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Thiem D.,Rosol L.,86,38,625,1051,7,6,6,4,,,,,,,2,0,Completed,1.72,2,1.8,2,1.83,1.83,1.94,1.96,1.8,2,1.95,2.05,1.81,1.96
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Zeballos H.,Goffin D.,125,97,470,580,7,5,6,3,,,,,,,2,0,Completed,3.25,1.33,3.2,1.33,3,1.36,3.81,1.31,3.25,1.33,3.81,1.36,3.31,1.32
20,Miami,Sony Ericsson Open,19/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Baghdatis M.,Giraldo S.,143,65,400,718,1,6,6,2,7,5,,,,,2,1,Completed,2,1.72,1.9,1.85,2,1.73,1.9,2,2.1,1.732,2.1,2,1.94,1.83
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Sock J.,Pella G.,103,113,562,509,6,3,6,4,,,,,,,2,0,Completed,1.3,3.4,1.28,3.5,1.33,3.25,1.36,3.44,1.29,3.5,1.36,3.75,1.3,3.41
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Bedene A.,Wang J.,119,145,493,393,1,6,6,2,6,4,,,,,2,1,Completed,1.53,2.37,1.58,2.35,1.62,2.2,1.69,2.3,1.57,2.38,1.69,2.46,1.6,2.29
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Robert S.,Bogomolov A.,90,94,612,608,7,5,6,4,,,,,,,2,0,Completed,2.37,1.53,2.4,1.55,2.25,1.57,2.44,1.63,2.38,1.57,2.55,1.63,2.38,1.56
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Gimeno-Traver D.,Khachanov K.,99,453,577,84,6,7,6,1,6,1,,,,,2,1,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.26,4.34,1.29,3.5,1.3,4.34,1.25,3.88
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Istomin D.,Mahut N.,57,39,810,1042,7,6,7,6,,,,,,,2,0,Completed,1.36,3,1.45,2.7,1.4,2.75,1.43,3.05,1.44,2.75,1.45,3.15,1.42,2.8
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Sijsling I.,43,54,1008,846,3,6,6,3,7,6,,,,,2,1,Completed,1.66,2.1,1.55,2.4,1.62,2.2,1.8,2.13,1.57,2.38,1.8,2.5,1.61,2.27
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Lacko L.,De Schepper K.,105,66,562,712,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.42,2.8,1.44,2.62,1.46,2.96,1.4,2.88,1.48,3,1.42,2.77
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Lu Y.H.,Kukushkin M.,50,56,930,822,6,1,3,1,,,,,,,1,0,Retired,1.53,2.37,1.52,2.45,1.57,2.25,1.62,2.46,1.57,2.38,1.62,2.5,1.55,2.39
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Harrison R.,Delbonis F.,112,45,509,999,6,2,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.36,3,1.39,3.27,1.36,3,1.42,3.27,1.37,3
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Klahn B.,55,63,841,729,1,6,6,1,6,4,,,,,2,1,Completed,1.9,1.8,2,1.8,1.91,1.8,1.92,1.99,2.1,1.73,2.1,1.99,1.94,1.82
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Nieminen J.,Tomic B.,40,74,1020,675,6,0,6,1,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.29,3.5,1.24,4.65,1.29,3.5,1.29,4.65,1.23,4.01
20,Miami,Sony Ericsson Open,20/03/14,Masters 1000,Outdoor,Hard,1st Round,3,Hewitt L.,Haase R.,44,46,1000,972,3,6,6,3,6,3,,,,,2,1,Completed,1.44,2.62,1.48,2.6,1.5,2.5,1.52,2.72,1.5,2.63,1.53,2.8,1.48,2.61
