ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,Vesely J.,87,55,623,840,6,4,5,7,7,6,,,,,2,1,Completed,1.66,2.1,1.7,2,1.8,2,1.85,2.07,1.85,2.15,1.76,2.03
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Zverev A.,Mmoh M.,52,370,886,124,7,6,7,6,,,,,,,2,0,Completed,1.11,6.5,1.09,6,1.11,6.5,1.12,7.41,1.12,7.41,1.1,6.5
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Ram R.,Donskoy E.,61,82,789,663,7,5,7,6,,,,,,,2,0,Completed,1.61,2.2,1.65,2.1,1.67,2.2,1.75,2.2,1.8,2.25,1.69,2.13
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Cervantes I.,Rublev A.,56,154,829,383,6,4,6,2,,,,,,,2,0,Completed,2.37,1.53,2.25,1.55,2.25,1.62,2.37,1.66,2.5,1.66,2.32,1.59
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Pouille L.,Gabashvili T.,88,49,622,918,7,5,6,3,,,,,,,2,0,Completed,2.1,1.66,2,1.7,2.1,1.73,2.31,1.69,2.31,1.73,2.16,1.68
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Novikov D.,70,153,733,388,6,1,7,6,,,,,,,2,0,Completed,1.53,2.37,1.62,2.15,1.62,2.25,1.74,2.23,1.74,2.38,1.66,2.19
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Verdasco F.,Muller G.,65,44,750,985,7,6,6,3,,,,,,,2,0,Completed,1.9,1.8,1.85,1.8,1.91,1.91,1.96,1.94,1.96,1.99,1.86,1.91
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Groth S.,Estrella Burgos V.,77,66,691,745,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.1,1.73,2.1,1.73,2.24,1.76,2.25,1.68,2.16
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Granollers M.,Fratangelo B.,73,134,714,430,6,3,7,5,,,,,,,2,0,Completed,1.4,2.75,1.45,2.45,1.44,2.75,1.44,3.01,1.5,3.01,1.45,2.7
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Gonzalez A.,50,150,903,391,5,7,6,2,7,6,,,,,2,1,Completed,1.36,3,1.3,3,1.4,3,1.33,3.64,1.4,3.64,1.34,3.18
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Youzhny M.,Gulbis E.,72,78,715,686,6,4,6,2,,,,,,,2,0,Completed,1.9,1.8,1.82,1.82,1.91,1.91,2.04,1.87,2.04,2.05,1.91,1.86
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Pospisil V.,Schwartzman D.,45,85,975,639,2,6,6,3,7,6,,,,,2,1,Completed,1.53,2.37,1.55,2.25,1.57,2.38,1.65,2.4,1.71,2.4,1.61,2.27
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Nishioka Y.,Donaldson J.,124,152,472,388,6,3,6,4,,,,,,,2,0,Completed,1.44,2.62,1.45,2.45,1.5,2.62,1.5,2.8,1.5,2.8,1.46,2.64
20,Miami,Sony Ericsson Open,23/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,Bolelli S.,81,79,666,682,6,4,6,2,,,,,,,2,0,Completed,1.33,3.25,1.33,2.9,1.36,3.25,1.4,3.24,1.41,3.3,1.36,3.09
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Del Potro J.M.,Pella G.,366,39,125,1048,6,0,7,6,,,,,,,2,0,Completed,1.25,3.75,1.25,3.3,1.3,3.5,1.27,4.18,1.33,4.18,1.27,3.7
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Monaco J.,Dodig I.,108,75,545,704,3,6,6,3,5,0,,,,,1,1,Retired,2.25,1.57,2.35,1.52,2.38,1.57,2.1,1.83,2.5,1.83,2.21,1.65
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Bedene A.,Carballes Baena R.,57,114,827,519,4,6,6,2,6,3,,,,,2,1,Completed,1.22,4,1.22,3.5,1.25,4,1.26,4.3,1.26,4.35,1.23,4.03
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Seppi A.,Young D.,43,80,990,672,6,3,6,1,,,,,,,2,0,Completed,1.53,2.37,1.52,2.35,1.57,2.38,1.67,2.35,1.67,2.55,1.58,2.35
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,Carreno-Busta P.,69,53,736,879,6,3,6,2,,,,,,,2,0,Completed,2,1.72,2,1.7,2.1,1.73,2,1.91,2.15,1.91,2.02,1.77
20,Miami,Sony Ericsson Open,24/03/16,Masters 1000,Outdoor,Hard,1st Round,3,Mannarino A.,Marchenko I.,64,68,755,738,2,6,6,2,6,3,,,,,2,1,Completed,1.44,2.62,1.48,2.4,1.53,2.5,1.55,2.65,1.55,2.68,1.51,2.51
