ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Daniel T.,Rinderknech A.,97,72,583,736,4,1,,,,,,,,,0,0,Retired,1.44,2.75,1.5,2.77,1.55,2.87,1.45,2.71
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Otte O.,45,85,927,656,7,6,6,3,,,,,,,2,0,Completed,1.33,3.4,1.34,3.55,1.36,3.55,1.33,3.27
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Huesler M.A.,Ramos-Vinolas A.,47,51,904,880,6,7,7,6,6,3,,,,,2,1,Completed,1.67,2.2,1.78,2.15,1.78,2.4,1.65,2.23
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Bagnis F.,Meligeni Alves F.,100,164,561,365,6,3,1,6,6,4,,,,,2,1,Completed,1.62,2.3,1.68,2.31,1.7,2.38,1.63,2.26
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Cachin P.,74,63,732,822,6,4,7,6,,,,,,,2,0,Completed,1.22,4.33,1.22,4.8,1.26,5.34,1.2,4.46
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,Varillas J.P.,581,88,55,642,1,6,6,3,6,2,,,,,2,1,Completed,1.8,2,1.84,2.06,1.9,2.06,1.81,1.99
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Djere L.,Vukic A.,58,168,845,355,6,2,7,6,,,,,,,2,0,Completed,2.2,1.67,2.21,1.74,2.25,1.74,2.18,1.67
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Ymer M.,93,53,611,870,7,6,4,4,,,,,,,1,0,Retired,1.8,2,1.78,2.14,1.83,2.22,1.77,2.05
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Wolf J.J.,Bublik A.,50,48,891,900,7,5,6,3,,,,,,,2,0,Completed,1.73,2.1,1.78,2.14,1.82,2.2,1.74,2.07
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ivashka I.,Altmaier D.,80,114,696,499,6,2,6,1,,,,,,,2,0,Completed,1.53,2.5,1.56,2.56,1.59,2.56,1.55,2.44
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Murray A.,76,52,728,875,6,4,7,5,,,,,,,2,0,Completed,4.5,1.2,4.41,1.25,4.55,1.25,4.11,1.23
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Borges N.,54,68,866,787,6,1,6,4,,,,,,,2,0,Completed,1.36,3.2,1.39,3.25,1.39,3.5,1.34,3.2
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Wu Y.,Edmund K.,64,544,818,62,7,5,7,5,,,,,,,2,0,Completed,1.13,6,1.14,6.74,1.15,6.74,1.13,5.8
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Fognini F.,103,91,543,628,6,4,5,7,6,4,,,,,2,1,Completed,1.29,3.75,1.34,3.57,1.34,4,1.3,3.48
19,Miami,Miami Open,22/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,78,280,713,190,3,3,,,,,,,,,0,0,Retired,1.29,3.75,1.29,3.89,1.37,3.89,1.3,3.51
19,Miami,Miami Open,23/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Nava E.,Isner J.,182,46,323,915,7,6,7,6,,,,,,,2,0,Completed,4,1.25,4.37,1.25,4.37,1.29,3.98,1.24
19,Miami,Miami Open,23/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Kovacevic A.,Munar J.,102,66,546,796,7,6,2,6,6,1,,,,,2,1,Completed,1.53,2.5,1.61,2.45,1.66,2.67,1.58,2.37
19,Miami,Miami Open,23/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Lehecka J.,Coria F.,44,67,941,795,6,3,6,4,,,,,,,2,0,Completed,1.1,7,1.13,6.86,1.15,7.66,1.12,6.2
19,Miami,Miami Open,23/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Halys Q.,Martinez P.,79,121,705,476,6,2,7,6,,,,,,,2,0,Completed,1.33,3.4,1.36,3.42,1.37,3.61,1.32,3.36
19,Miami,Miami Open,23/03/2023,Masters 1000,Outdoor,Hard,1st Round,3,Garin C.,Giron M.,82,71,672,746,6,4,2,6,6,4,,,,,2,1,Completed,1.73,2.1,1.81,2.09,1.83,2.15,1.77,2.04
