ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Malisse X.;Larsson M.;167;36;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Arthurs W.;Clavet F.;111;38;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Vinciguerra A.;Kucera K.;62;39;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Rochus C.;Squillari F.;87;40;4,0;6,0;6,0;3,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Roddick A.;Vicente F.;989;41;6,0;4,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Golmard J.;Vacek D.;48;45;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Calleri A.;Rosset M.;124;46;5,0;7,0;6,0;3,0;7,0;6,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Clement A.;Woodruff C.;61;47;6,0;4,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Gambill J.M.;Dosedel S.;86;50;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Massu N.;di Pasquale A.;97;52;6,0;4,0;4,0;6,0;6,0;0,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Saulnier C.;Johansson T.;140;55;4,0;6,0;6,0;3,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Pavel A.;Sargsian S.;67;56;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;23/03/00;Masters;Outdoor;Hard;1st Round;3,0;Black B.;Schuettler R.;54;59;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
