ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Arazi H.,Puerta M.,53,54,1,0,,,,,,,,,0,0,Retired,1.9,1.8,1.7,1.85,1.75,1.75,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Bjorkman J.,Ferreira W.,39,19,7,5,3,6,6,2,,,,,2,1,Completed,2.1,1.65,1.95,1.65,1.9,1.6,2.1,1.667
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Blanco G.,Lapentti N.,77,37,7,5,3,2,,,,,,,1,0,Retired,2.25,1.57,,,,,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Calatrava A.,Boutter J.,52,62,2,6,7,5,6,3,,,,,2,1,Completed,1.55,2.3,1.55,2.1,1.5,2.1,1.615,2.2
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Coria G.,Vinciguerra A.,41,50,6,1,6,4,,,,,,,2,0,Completed,1.6,2.2,1.7,1.85,,,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Costa A.,Hrbaty D.,36,13,7,5,6,4,,,,,,,2,0,Completed,2.3,1.55,2.1,1.55,2,1.55,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,di Pasquale A.,Safin M.,67,1,6,3,6,1,,,,,,,2,0,Completed,2.75,1.4,2.4,1.42,2.3,1.4,2.75,1.4
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Enqvist T.,Schuettler R.,14,45,6,2,4,6,6,3,,,,,2,1,Completed,1.53,2.35,1.4,2.45,1.4,2.3,1.4,2.75
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Federer R.,Chang M.,22,33,6,4,6,3,,,,,,,2,0,Completed,1.36,2.9,1.5,2.2,1.45,2.2,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Bruguera S.,9,68,6,2,6,1,,,,,,,2,0,Completed,1.26,3.5,1.3,2.85,1.3,2.7,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,Levy H.,26,49,7,5,6,2,,,,,,,2,0,Completed,1.25,3.5,1.27,3,1.25,3,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Golmard J.,Clement A.,63,11,6,7,6,1,7,6,,,,,2,1,Completed,2.25,1.57,2,1.6,2,1.55,,
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Grosjean S.,Clavet F.,15,34,6,4,7,5,,,,,,,2,0,Completed,1.6,2.2,1.65,1.95,1.6,1.9,1.571,2.25
24,Monte Carlo,Monte Carlo Masters,16/04/01,Masters,Outdoor,Clay,1st Round,3,Gustafsson M.,Corretja A.,76,10,6,7,6,2,6,2,,,,,2,1,Completed,2.9,1.36,2.8,1.3,2.7,1.3,,
