ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Arazi H.,Clement A.,24,51,6,3,6,3,,,,,,,2,0,Completed,,,1.72,2,1.75,1.9,1.75,1.75,1.727,2
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Canas G.,Sa A.,17,87,6,1,6,0,,,,,,,2,0,Completed,,,1.35,3,1.35,2.75,1.35,2.5,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,Enqvist T.,28,20,6,1,6,1,,,,,,,2,0,Completed,,,1.67,2.1,1.65,2.05,1.6,1.9,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Corretja A.,Gambill J.M.,19,48,7,5,7,6,,,,,,,2,0,Completed,,,1.32,3.1,1.35,2.8,1.3,2.7,1.444,2.625
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Costa A.,Blake J.,29,42,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Coutelot N.,Clavet F.,99,85,6,4,2,6,6,3,,,,,2,1,Completed,,,2,1.72,1.95,1.65,2.1,1.5,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,El Aynaoui Y.,Calleri A.,18,59,6,3,6,4,,,,,,,2,0,Completed,,,1.6,2.2,1.45,2.4,1.45,2.2,1.615,2.2
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Federer R.,Zabaleta M.,11,69,7,6,6,4,,,,,,,2,0,Completed,,,1.45,2.6,1.25,3.3,1.4,2.3,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Ferrero J.C.,Portas A.,4,27,6,2,6,2,,,,,,,2,0,Completed,,,1.26,3.5,1.22,3.55,1.2,3.3,1.25,3.5
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Gasquet R.,Squillari F.,589,54,7,6,3,6,7,5,,,,,2,1,Completed,,,3.2,1.33,,,2.7,1.3,,
23,Monte Carlo,Monte Carlo Masters,15/04/02,Masters,Outdoor,Clay,1st Round,3,Gaudenzi A.,Bjorkman J.,61,55,5,7,6,2,6,3,,,,,2,1,Completed,,,1.67,2.1,1.6,2.05,1.55,2,1.667,2.1
